Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
T1,19/08/2023,Galatasaray,Trabzonspor,2.0,0.0,H,1.0,0.0,1.6,3.8,5.25,1.58,4.2,4.8,1.7,3.95,4.6,1.5,4.0,4.75,2023/24,€255.65m,€118.43m,1.595,0.07123903424387502,1.9985644693890832,0.04466397131277431,0.024294670846394917,0.25049242724254905,3.9875,0.14306903927824507,1.999073801125031,0.03587938289109595,0.019592476489028066,0.2503171803757966,4.85,0.24238399287081655,1.9982217025663567,0.04997608100429208,0.025773195876288568,0.2505776678400368,H
T1,19/08/2023,Hatayspor,Kasimpasa,0.0,0.0,D,0.0,0.0,2.38,3.6,2.63,2.35,3.6,2.65,2.4,3.7,2.7,2.25,3.3,2.62,2023/24,€28.90m,€28.98m,2.345,0.05766281297335395,1.9995607211721536,0.02458968570292279,0.01279317697228155,0.25015775194843515,3.55,0.15000000000000013,1.9986951436529454,0.042253521126760604,0.021126760563380254,0.25048287176008044,2.65,0.030822070014844945,1.9999027028516834,0.011630969816922621,0.006132075471698251,0.25003322884980517,H
T1,20/08/2023,Buyuksehyr,Karagumruk,0.0,2.0,A,0.0,2.0,1.62,4.0,5.0,1.65,4.0,4.6,1.65,4.1,4.8,1.57,3.75,4.4,2023/24,€54.15m,€32.33m,1.6225,0.03269174207655499,1.9997056560662976,0.020148993575688744,0.010400616332819412,0.2501046297252211,3.9625,0.12930100540985742,1.9992249564868776,0.03263116855769273,0.016561514195583493,0.2502810590473183,4.7,0.22360679774997888,1.9983662414541512,0.04757591441488912,0.02659574468085113,0.250568335391847,H
T1,20/08/2023,Besiktas,Pendikspor,1.0,1.0,D,1.0,0.0,1.25,5.5,10.0,1.25,6.0,10.5,1.25,6.0,10.0,1.22,5.5,8.5,2023/24,€146.88m,€23.38m,1.2425,0.012990381056766592,1.9999208304336045,0.01045503505574776,0.00452716297786715,0.2500279988883405,5.75,0.25,1.998635964158572,0.043478260869565216,0.021739130434782705,0.25047258979206055,9.75,0.75,1.9956245525147585,0.07692307692307693,0.03846153846153855,0.2517163166528282,H
T1,20/08/2023,Gaziantep,Sivasspor,1.0,3.0,A,0.0,2.0,2.5,3.5,2.5,2.55,3.5,2.5,2.6,3.6,2.55,2.3,3.3,2.6,2023/24,€24.03m,€30.38m,2.4875,0.1138804197393038,1.998467749934393,0.04578107326203168,0.023869346733668362,0.2505678053385058,3.475,0.10897247358851693,1.9992855534652352,0.031358985205328614,0.01618705035971235,0.25025672352944184,2.5374999999999996,0.04145780987944252,1.9998079528435235,0.016338053154460106,0.008620689655172376,0.25006568995461415,H
T1,21/08/2023,Ankaragucu,Ad. Demirspor,1.0,1.0,D,1.0,1.0,2.6,3.6,2.45,2.65,3.8,2.3,2.65,3.75,2.4,2.6,3.6,2.15,2023/24,€33.38m,€53.30m,2.625,0.02499999999999991,1.9999345706643483,0.00952380952380949,0.004761904761904745,0.2500226757369615,3.6875,0.08926785535678552,1.9995776085997239,0.024208231961162178,0.012711864406779627,0.2501457296001783,2.325,0.11456439237389608,1.9982329141882815,0.049275007472643476,0.026881720430107725,0.2506404220428497,A
T1,21/08/2023,Samsunspor,Fenerbahce,0.0,2.0,A,0.0,0.0,5.25,4.2,1.55,5.0,4.2,1.58,5.25,4.4,1.57,4.8,4.0,1.5,2023/24,€34.88m,€218.30m,5.075,0.1887458608817688,1.9989970557157448,0.03719130263680173,0.019704433497536922,0.2503565993052285,4.2,0.14142135623730964,1.9991818362969063,0.033671751485073724,0.017857142857142794,0.2502844126411917,1.55,0.03082207001484491,1.9997132727260818,0.019885206461190266,0.010483870967741948,0.25010199695469537,A
T1,01/09/2023,Kasimpasa,Trabzonspor,1.0,5.0,A,0.0,3.0,2.75,3.6,2.25,2.9,3.4,2.3,2.85,3.55,2.35,2.8,3.1,2.25,2023/24,€28.98m,€118.43m,2.8249999999999997,0.05590169943749474,1.999717509300712,0.019788212190263627,0.011061946902654718,0.25009796698172726,3.4124999999999996,0.19485571585149866,1.997613221367881,0.05710057607369925,0.030219780219780334,0.2508902578838351,2.2875,0.04145780987944252,1.9997637471521175,0.01812363273418252,0.0095628415300546,0.2500806975327472,A
T1,01/09/2023,Rizespor,Karagumruk,1.0,0.0,H,1.0,0.0,2.05,3.5,3.1,2.15,3.5,3.1,2.2,3.6,3.15,2.05,3.2,3.1,2023/24,€34.15m,€32.33m,2.1125,0.06495190528383303,1.9993194359809172,0.030746464039684278,0.016272189349112454,0.2502334086474982,3.4499999999999997,0.14999999999999994,1.9986178536037424,0.0434782608695652,0.021739130434782483,0.2505124919689536,3.1125000000000003,0.021650635094610887,1.999965189447786,0.006956027339634019,0.003012048192771122,0.25001190457294326,H
T1,02/09/2023,Buyuksehyr,Konyaspor,0.0,1.0,A,0.0,0.0,2.2,3.4,2.88,2.37,3.3,2.85,2.35,3.4,2.95,2.3,3.0,2.8,2023/24,€54.15m,€32.28m,2.305,0.0657647321898295,1.9994087526589546,0.02853133717563102,0.015184381778741818,0.2502120677233919,3.275,0.16393596310755,1.9981619556434993,0.05005678262825954,0.024809160305343525,0.2506923124188241,2.87,0.054313902456001185,1.9997420366118015,0.018924704688502155,0.010452961672473782,0.2500887625617326,H
