Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
B1,22/08/2020,Antwerp,Gent,H,2.6,3.4,2.6,2.7,3.3,2.65,2.6,3.2,2.55,2.62,3.3,2.6,2020/21,€54.40m,€81.65m,2.6300000000000003,0.041231056256176644,1.9998236467244959,0.015677207701968305,0.0076045627376424285,0.2500595186697739,3.3,0.07071067811865465,1.9996687520844425,0.02142747821777414,0.011363636363636465,0.250114942431724,2.5999999999999996,0.03535533905932741,1.9998666065109507,0.013598207330510544,0.007211538461538325,0.2500462534626819
B1,23/08/2020,Standard,Genk,D,2.2,3.4,3.2,2.3,3.3,3.2,2.25,3.2,3.1,2.25,3.3,3.1,2020/21,€85.25m,€140.05m,2.25,0.03535533905932725,1.999821874838928,0.015713484026367668,0.008333333333333304,0.2500617741386221,3.3,0.07071067811865465,1.9996687520844425,0.02142747821777414,0.011363636363636465,0.250114942431724,3.15,0.050000000000000044,1.999818246960343,0.015873015873015886,0.007936507936507908,0.2500629881582263
B1,23/08/2020,Club Brugge,Beerschot VA,A,1.3,5.5,9.0,1.3,5.5,10.0,1.3,5.0,8.75,1.29,5.25,9.5,2020/21,€170.90m,€24.80m,1.2975,0.004330127018922197,1.9999919556590429,0.0033372847930036196,0.0014450867052022698,0.2500028059516104,5.3125,0.2072890493972125,1.9988942420654394,0.039019115180651764,0.020588235294117574,0.2503964325682371,9.3125,0.480071609241788,1.998090836224928,0.051551313744084615,0.028523489932885893,0.25064825520409495
B1,23/08/2020,Anderlecht,Mouscron,D,1.36,4.33,8.5,1.4,4.75,8.0,1.4,4.5,7.5,1.35,4.75,8.5,2020/21,€139.80m,€18.03m,1.3775,0.02277608394786066,1.9998027068352249,0.016534362212603022,0.008620689655172376,0.25006851311085115,4.5825,0.17795715776557006,1.99890721561259,0.03883407698103002,0.020594653573376753,0.2503872051296561,8.125,0.414578098794425,1.998104804772465,0.05102499677469846,0.026923076923076827,0.2506870969746038
B1,24/08/2020,St Truiden,Oostende,D,2.1,3.5,3.3,2.1,3.5,3.5,2.1,3.3,3.25,2.05,3.6,3.3,2020/21,€23.08m,€34.55m,2.0875,0.02165063509461108,1.9999220921179732,0.01037156172196938,0.0044910179640720305,0.25002754820936646,3.4749999999999996,0.10897247358851693,1.9992855534652352,0.031358985205328614,0.01618705035971235,0.2502567235294417,3.3375,0.09601432184835765,1.999408505514097,0.02876833613433937,0.014044943820224587,0.250195692996765
B1,28/08/2020,Oostende,Anderlecht,D,3.5,3.75,1.95,3.5,3.75,2.0,3.45,3.45,1.97,3.6,3.7,1.91,2020/21,€34.55m,€139.80m,3.5125,0.0544862367942584,1.9998269963994477,0.015512095884486377,0.008007117437722311,0.25005898628388795,3.6624999999999996,0.12437342963832743,1.9991577412870327,0.033958615600908515,0.016211604095563326,0.2503104876827276,1.9575,0.032691742076555085,1.9997985563921221,0.01670076223578804,0.0092592592592593,0.2500702591251278
B1,29/08/2020,Eupen,St Truiden,D,2.0,3.5,3.6,2.0,3.6,3.7,2.0,3.35,3.5,2.0,3.6,3.4,2020/21,€21.10m,€23.08m,2.0,0.0,2.0,0.0,0.0,0.25,3.5124999999999997,0.10231690964840563,1.9993836613080742,0.029129369294919754,0.015124555160142439,0.2502211315862659,3.5500000000000003,0.11180339887498958,1.99928432530905,0.0314939151760534,0.017605633802816767,0.25024843967878063
B1,29/08/2020,Cercle Brugge,Kortrijk,A,2.25,3.5,2.9,2.3,3.5,3.0,2.3,3.25,2.95,2.25,3.4,3.0,2020/21,€40.45m,€31.80m,2.275,0.02499999999999991,1.999912889501356,0.01098901098901095,0.005494505494505475,0.25003018959062906,3.4125,0.10231690964840563,1.9993468719668563,0.02998297718634597,0.015567765567765512,0.2502345771767259,2.9625000000000004,0.04145780987944252,1.9998584003633644,0.01399419742765992,0.007383966244725482,0.25004965389611195
B1,29/08/2020,Waasland-Beveren,Oud-Heverlee Leuven,A,2.5,3.5,2.62,2.6,3.5,2.65,2.55,3.25,2.6,2.55,3.5,2.55,2020/21,€20.95m,€32.65m,2.55,0.03535533905932741,1.9998613237697038,0.013864838846795064,0.007352941176470562,0.25004808616330676,3.4375,0.10825317547305482,1.9992756578473219,0.03149183286488868,0.013636363636363669,0.2502669989320043,2.605,0.03640054944640264,1.9998589002884724,0.013973339518772608,0.007677543186180413,0.25004934851724714
B1,29/08/2020,Mouscron,Waregem,A,2.87,3.4,2.37,2.8,3.4,2.5,2.7,3.25,2.45,2.7,3.4,2.45,2020/21,€18.03m,€22.75m,2.7675,0.07189401922274197,1.9995145247508734,0.02597796539213802,0.013775971093044292,0.2501659303401568,3.3625,0.06495190528383286,1.9997288032186364,0.019316551757273714,0.00836431226765777,0.25009758706935187,2.4425,0.046569840025492866,1.9997369512870458,0.019066464698257058,0.009979529170931256,0.2500926191940247
B1,30/08/2020,Genk,Club Brugge,A,2.8,3.6,2.3,3.0,3.5,2.3,3.05,3.15,2.25,3.1,3.4,2.2,2020/21,€140.05m,€170.90m,2.9875,0.1138804197393038,1.998940196235731,0.03811896895039458,0.01987447698744771,0.2503881710798168,3.4125,0.16723860200324572,1.9982497428410542,0.049007648938680065,0.026556776556776684,0.25063876328293777,2.2625,0.04145780987944235,1.9997570444747987,0.018323893869366784,0.00966850828729271,0.2500855135459191
B1,30/08/2020,Beerschot VA,Standard,A,2.9,3.5,2.25,2.95,3.5,2.35,2.9,3.3,2.3,2.9,3.4,2.3,2020/21,€24.80m,€85.25m,2.9125,0.02165063509461108,1.9999602516733954,0.007433694453085349,0.0032188841201716833,0.2500135808057945,3.425,0.08291561975888508,1.9995754864095185,0.024208940075586886,0.012773722627737127,0.25015018575738046,2.3,0.03535533905932741,1.9998295358345703,0.015371886547533659,0.008152173913043459,0.25005911561696337
B1,30/08/2020,Charleroi,Antwerp,H,2.1,3.4,3.3,2.2,3.5,3.2,2.2,3.25,3.15,2.15,3.5,3.1,2020/21,€42.83m,€54.40m,2.1625000000000005,0.04145780987944255,1.9997340157929084,0.019171241562747996,0.01011560693641611,0.250093687726523,3.4125,0.10231690964840563,1.9993468719668563,0.02998297718634597,0.015567765567765512,0.25023457717672604,3.1875,0.07395099728874512,1.9996129729289014,0.023200312874900427,0.012745098039215863,0.25013202978308513
