Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
F1,26/10/2013,Guingamp,Ajaccio,H,1.75,3.4,5.0,1.75,3.5,4.75,1.8,3.4,4.35,1.75,3.25,5.5,2013/14,€21.43m,€28.30m,1.7625,0.021650635094610987,1.9998916585608877,0.012284048280630348,0.005319148936170137,0.2500366766101031,3.3875,0.08926785535678562,1.9994971393500218,0.02635213442266734,0.013837638376383854,0.2501777600084272,4.9,0.4168333000133268,1.9947926135145335,0.08506802041088302,0.04719387755102056,0.25179119846648107,H
F1,26/10/2013,Lorient,Sochaux,H,1.75,3.4,5.0,1.78,3.4,4.75,1.8,3.4,4.35,1.83,3.1,5.0,2013/14,€57.15m,€47.45m,1.79,0.02915475947422653,1.9998086221972204,0.016287575125266216,0.009078212290502874,0.2500663623874024,3.325,0.12990381056766573,1.9988817179859435,0.03906881520832052,0.016917293233082775,0.2504185008370016,4.775,0.26575364531836637,1.9977335272890884,0.05565521367923903,0.028795811518324665,0.250843349241224,H
F1,26/10/2013,Marseille,Reims,A,1.57,3.6,6.5,1.53,3.7,7.0,1.55,3.7,6.0,1.57,3.5,7.0,2013/14,€141.30m,€38.73m,1.555,0.016583123951777013,1.9999178153051145,0.010664388393425732,0.00562700964630225,0.25002873767987416,3.625,0.08291561975888508,1.9996211265560424,0.02287327441624416,0.012068965517241459,0.25013388201524484,6.625,0.414578098794425,1.9971430175424258,0.06257782623312075,0.03301886792452824,0.25104736174368614,H
F1,26/10/2013,Toulouse,Stade Rennais FC,A,2.0,3.2,4.0,1.95,3.2,4.2,1.9,3.35,3.9,2.1,3.2,3.6,2013/14,€67.40m,€92.60m,1.9875000000000003,0.07395099728874527,1.9990063037202903,0.03720804895031208,0.020440251572327206,0.2503360921063647,3.2375000000000003,0.06495190528383286,1.9997118561781726,0.02006236456643486,0.008687258687258614,0.25009611961552153,3.925,0.2165063509461097,1.9977899072371472,0.055160853744231776,0.030254777070063632,0.2507944818207813,H
F1,26/10/2013,Valenciennes,Evian Thonon Gaillard,A,2.0,3.3,3.8,2.05,3.1,3.9,2.1,3.15,3.45,2.1,3.2,3.6,2013/14,€36.65m,€35.00m,2.0625,0.04145780987944255,1.9997075506200475,0.020100756305184268,0.01060606060606073,0.25010309272809017,3.1875000000000004,0.07395099728874512,1.9996129729289014,0.023200312874900424,0.012745098039215863,0.250132029783085,3.6875,0.17455300054711162,1.998379104539007,0.04733640692803027,0.026271186440678163,0.2505695822608319,H
F1,27/10/2013,Bordeaux,Montpellier,H,2.1,3.2,3.6,2.05,3.2,3.8,2.0,3.2,3.75,2.15,3.1,3.6,2013/14,€62.70m,€52.35m,2.075,0.05590169943749474,1.9994763458425027,0.02694057804216614,0.015060240963855609,0.25018170184593463,3.175,0.043301270189221974,1.9998651149454483,0.013638195335188024,0.0059055118110236116,0.25004800000000005,3.6875,0.08926785535678552,1.9995776085997239,0.024208231961162178,0.012711864406779627,0.2501457296001783,H
F1,27/10/2013,Monaco,Lyon,H,1.4,4.33,8.5,1.42,4.2,8.25,1.5,3.9,6.3,1.5,3.6,8.0,2013/14,€242.55m,€108.50m,1.455,0.045552167895721536,1.9992923180101319,0.03130733188709384,0.016323024054982982,0.25024620411439313,4.0075,0.28225653225390557,1.9963904591018504,0.07043207292673875,0.038833437305053176,0.251306379259932,7.7625,0.8626811403989311,1.9907113100128544,0.11113444642820368,0.05515297906602257,0.25394935676962777,H
F1,27/10/2013,St Etienne,Paris SG,D,5.0,3.5,1.73,5.25,3.4,1.72,4.85,3.5,1.7,5.0,3.1,1.83,2013/14,€105.40m,€402.30m,5.025,0.14361406616345082,1.9994134747559458,0.02857991366436832,0.014925373134328401,0.25019880919232707,3.375,0.16393596310755,1.9982701643793321,0.04857361869853333,0.024074074074073915,0.2506498855923388,1.745,0.050249378105604495,1.9994073655516245,0.028796205218111458,0.014326647564469885,0.2501960554975381,A
F1,01/11/2013,Paris SG,Lorient,H,1.18,6.5,15.0,1.2,6.25,14.0,1.17,6.5,14.0,1.2,6.0,15.0,2013/14,€402.30m,€57.15m,1.1875,0.012990381056766592,1.999913608561468,0.010939268258329762,0.0057894736842105665,0.2500300599104069,6.3125,0.2072890493972125,1.9992177193358278,0.0328378692114396,0.017326732673267342,0.25027889076304644,14.5,0.5,1.9991421039919088,0.034482758620689655,0.01724137931034475,0.25029726516052314,H
F1,02/11/2013,Ajaccio,Valenciennes,A,2.5,3.1,2.9,2.45,3.1,3.0,2.3,3.1,3.1,2.6,3.0,2.9,2013/14,€28.30m,€36.65m,2.4625000000000004,0.10825317547305492,1.9985984835561692,0.0439606803951492,0.024111675126903487,0.2504995362660185,3.0749999999999997,0.043301270189221974,1.999856174166598,0.014081713882673813,0.0060975609756099836,0.25005122600915236,2.975,0.08291561975888508,1.9994421229075414,0.027870796557608428,0.014705882352941346,0.2501891281622636,H
