Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
N1,18/09/2004,Nijmegen,PSV Eindhoven,A,4.5,3.5,1.61,4.45,3.55,1.65,5.0,3.7,1.5,5.0,3.5,1.57,2004/5,€16.88m,€86.85m,4.7375,0.2630945647481148,1.9977735843963553,0.05553447277005062,0.02836411609498679,0.25077231527011395,3.5625,0.08196798155377509,1.9996208567234377,0.023008556225621077,0.011403508771929971,0.2501267501448449,1.5825,0.05539629951540083,1.9991121730343753,0.035005560515261186,0.019352290679304884,0.25031468692985914,A
N1,18/09/2004,Twente,Willem II,D,2.1,3.2,3.0,2.0,3.35,3.2,1.9,3.1,3.5,2.0,3.3,3.1,2004/5,€13.25m,€13.98m,2.0,0.07071067811865482,1.999097939521405,0.03535533905932741,0.018750000000000044,0.2503136743206856,3.2375000000000003,0.09601432184835755,1.999363658797307,0.029656933389454066,0.01640926640926632,0.2502238512417124,3.2,0.18708286933869706,1.997564772786543,0.058463396668342826,0.03125,0.2507940177366332,H
N1,18/09/2004,Waalwijk,Roosendaal,H,1.83,3.2,3.75,1.9,3.4,3.4,1.9,3.1,3.5,1.8,3.4,3.6,2004/5,€19.33m,€10.70m,1.8575,0.04380353866983801,1.9995982674146646,0.023581985824946437,0.012449528936742782,0.250140200271962,3.275,0.1299038105676657,1.998861483773968,0.03966528566951624,0.020992366412213803,0.25040055507923104,3.5625,0.12930100540985756,1.9990521922724263,0.03629501906241616,0.020175438596491402,0.2503244510056134,H
N1,19/09/2004,Den Bosch,Ajax,A,6.0,3.75,1.44,5.6,3.75,1.5,6.0,3.9,1.4,6.0,3.75,1.44,2004/5,€8.35m,€114.50m,5.9,0.17320508075688787,1.9993710881552347,0.029356793348625062,0.01271186440677985,0.25023084025854114,3.7875,0.06495190528383286,1.9997892361698864,0.017149017896721547,0.007425742574257432,0.25007069469318505,1.4449999999999998,0.03570714214271428,1.9995609310092197,0.024710825012259022,0.012975778546712835,0.25014983456621864,A
N1,19/09/2004,Feyenoord,Utrecht,A,1.33,4.33,7.0,1.3,4.5,8.25,1.35,4.0,7.0,1.33,4.0,8.0,2004/5,€66.43m,€20.30m,1.3275000000000001,0.01785357107135714,1.9998692765313144,0.013449017756201234,0.0070621468926554964,0.25004574567126514,4.2075,0.21602951187279945,1.9981045832288684,0.05134391250690421,0.0271836007130124,0.25064537458850594,7.5625,0.5694020986965187,1.9959138027782741,0.07529283949706032,0.03925619834710736,0.2514040830434787,H
N1,19/09/2004,Roda,AZ Alkmaar,D,2.2,3.25,2.75,2.1,3.3,3.0,2.1,3.0,3.1,2.15,3.3,2.8,2004/5,€20.93m,€50.00m,2.1375,0.04145780987944252,1.9997294787125228,0.019395466610265505,0.010233918128654818,0.2500923110115053,3.2125,0.12437342963832743,1.9989032755025298,0.038715464478856786,0.018482490272373697,0.2504078958861037,2.9125,0.14306903927824502,1.9982622525530804,0.049122416919569103,0.02682403433476388,0.25059662181526043,H
N1,25/09/2004,Ajax,Roda,H,1.25,5.0,8.0,1.25,5.25,8.0,1.25,4.5,9.0,1.28,4.5,8.0,2004/5,€114.50m,€20.93m,1.2575,0.012990381056766592,1.9999233239043688,0.01033032290796548,0.004473161033797135,0.2500260536280159,4.8125,0.3247595264191645,1.9967277377335448,0.06748249899619002,0.03571428571428581,0.25110960112188985,8.25,0.4330127018922193,1.998050937146914,0.05248638810814779,0.022727272727272707,0.25061224489795925,H
N1,25/09/2004,AZ Alkmaar,Willem II,H,1.83,3.2,3.75,1.8,3.4,3.8,1.8,3.1,3.8,1.75,3.35,3.9,2004/5,€50.00m,€13.98m,1.795,0.02872281323269017,1.999814783606728,0.016001567260551627,0.008356545961002881,0.25006510271510346,3.2624999999999997,0.11924240017711814,1.9990338884868193,0.03654939469030441,0.02011494252873569,0.25033906730373645,3.8125,0.0544862367942584,1.999853114739195,0.01429147194603499,0.007377049180327999,0.25005014373655776,H
N1,25/09/2004,PSV Eindhoven,Heerenveen,H,1.36,4.0,7.0,1.3,4.5,8.25,1.35,4.0,7.0,1.3,4.33,8.0,2004/5,€86.85m,€31.20m,1.3275000000000001,0.027726341266023566,1.9996854078676067,0.020886132780432064,0.010828625235405065,0.2501088461458593,4.2075,0.21602951187279945,1.9981045832288684,0.05134391250690421,0.0271836007130124,0.250645374588506,7.5625,0.5694020986965187,1.9959138027782741,0.07529283949706032,0.03925619834710736,0.2514040830434787,H
N1,25/09/2004,Roosendaal,Feyenoord,A,4.33,3.4,1.66,5.25,3.6,1.55,4.6,3.4,1.6,4.5,3.5,1.61,2004/5,€10.70m,€66.43m,4.67,0.3484967718645325,1.9960642011393566,0.07462457641638812,0.03827623126338331,0.2512319263036116,3.475,0.08291561975888508,1.9995908651694054,0.023860610002556855,0.0125899280575541,0.25013912875740074,1.605,0.03905124837953323,1.9995728812351885,0.024330995875098585,0.013239875389408073,0.2501482538895872,A
N1,25/09/2004,Vitesse,Den Bosch,D,1.53,3.6,5.0,1.5,3.75,5.6,1.45,3.8,5.4,1.55,3.5,5.2,2004/5,€21.40m,€8.35m,1.5075,0.03766629793329844,1.9995477833162871,0.02498593561081157,0.013681592039801016,0.2501600485142669,3.6624999999999996,0.11924240017711814,1.9992336322417097,0.03255765192549301,0.017918088737201465,0.25026856347142434,5.300000000000001,0.22360679774997888,1.9987153810531701,0.04218996183961865,0.02358490566037741,0.25044652356285707,H
N1,26/09/2004,Graafschap,Twente,D,2.5,3.1,2.5,2.45,3.2,2.55,2.7,3.0,2.3,2.35,3.3,2.55,2004/5,€12.28m,€13.25m,2.5,0.12747548783981966,1.9981402247944366,0.05099019513592786,0.027499999999999858,0.25061884340672524,3.1500000000000004,0.11180339887498944,1.9990909597770783,0.03549314249999665,0.019841269841269993,0.250315704154906,2.4749999999999996,0.10307764064044153,1.9987301334712693,0.041647531571895574,0.02020202020202011,0.25047366194714,H
N1,26/09/2004,Groningen,Nijmegen,D,2.25,3.2,2.75,2.15,3.3,2.9,2.2,3.0,2.9,2.15,3.3,2.8,2004/5,€12.95m,€16.88m,2.1875,0.04145780987944255,1.9997416863508612,0.01895214165917374,0.010000000000000009,0.25008817582438314,3.2,0.12247448713915883,1.998931798860051,0.038273277230987134,0.01953125,0.25039080291402804,2.8375,0.06495190528383288,1.9996213713707367,0.022890539307077667,0.012114537444933848,0.25013233603682866,H
N1,26/09/2004,NAC Breda,Waalwijk,A,1.9,3.2,3.5,1.9,3.4,3.4,1.85,3.1,3.6,1.75,3.3,4.0,2004/5,€17.45m,€19.33m,1.85,0.061237243569579415,1.99920220925694,0.0331012127403132,0.016891891891891886,0.2502896749647363,3.2499999999999996,0.11180339887498938,1.999146057925888,0.034401045807689046,0.019230769230769384,0.25029653156166315,3.625,0.22776083947860748,1.9971982897183616,0.06283057640789172,0.03275862068965529,0.25089543538148407,H
N1,26/09/2004,Utrecht,Den Haag,H,1.53,3.6,5.5,1.4,4.0,6.75,1.45,3.8,5.4,1.5,3.4,6.0,2004/5,€20.30m,€9.92m,1.47,0.049497474683058366,1.9991798551581017,0.03367175148507372,0.018707482993197244,0.25028826995443454,3.7,0.22360679774997896,1.9973627848128312,0.060434269662156474,0.03378378378378377,0.2509195172780147,5.9125,0.5342927568290626,1.9942071644678274,0.09036663963282243,0.0480972515856235,0.2518457552202408,H
