Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Poland,Ekstraklasa,2020/2021,29/01/2021,17:00,Zaglebie,Wisla Plock,0,2,A,2.64,3.17,3.0,2.64,3.28,3.1,2.48,3.08,2.93
Poland,Ekstraklasa,2020/2021,29/01/2021,19:30,Rakow,Pogon Szczecin,0,1,A,2.03,3.39,4.14,2.15,3.44,4.23,1.98,3.28,3.88
Poland,Ekstraklasa,2020/2021,30/01/2021,14:00,Warta Poznan,Cracovia,1,0,H,3.46,3.09,2.41,3.46,3.34,2.47,3.23,3.05,2.32
Poland,Ekstraklasa,2020/2021,30/01/2021,16:30,Lechia Gdansk,Jagiellonia,0,2,A,1.86,3.92,4.19,2.0,3.92,4.33,1.85,3.7,3.86
Poland,Ekstraklasa,2020/2021,30/01/2021,19:00,Gornik Z.,Lech Poznan,1,1,D,3.38,3.47,2.25,3.38,3.55,2.45,3.16,3.33,2.21
Poland,Ekstraklasa,2020/2021,31/01/2021,14:00,Wisla,Piast Gliwice,3,4,A,2.99,3.39,2.51,3.0,3.39,2.61,2.87,3.21,2.45
Poland,Ekstraklasa,2020/2021,31/01/2021,16:30,Podbeskidzie,Legia,1,0,H,7.76,4.95,1.43,8.5,4.95,1.46,7.36,4.66,1.39
Poland,Ekstraklasa,2020/2021,01/02/2021,17:00,Stal Mielec,Slask Wroclaw,0,0,D,3.03,3.34,2.51,3.03,3.48,2.65,2.82,3.25,2.47
Poland,Ekstraklasa,2020/2021,05/02/2021,17:00,Lechia Gdansk,Warta Poznan,1,1,D,1.94,3.41,4.51,1.96,3.6,4.61,1.87,3.33,4.29
Poland,Ekstraklasa,2020/2021,05/02/2021,19:30,Lech Poznan,Zaglebie,0,0,D,1.56,4.45,6.06,1.57,4.65,6.59,1.51,4.31,5.78
Poland,Ekstraklasa,2020/2021,06/02/2021,14:00,Piast Gliwice,Slask Wroclaw,2,0,H,2.05,3.57,3.83,2.14,3.58,4.06,2.01,3.37,3.64
Poland,Ekstraklasa,2020/2021,06/02/2021,16:30,Pogon Szczecin,Cracovia,1,0,H,2.09,3.18,4.24,2.17,3.2,4.4,2.04,3.04,4.01
Poland,Ekstraklasa,2020/2021,06/02/2021,19:00,Legia,Rakow,2,0,H,2.06,3.42,3.97,2.15,3.44,4.1,2.05,3.22,3.7
Poland,Ekstraklasa,2020/2021,07/02/2021,14:00,Podbeskidzie,Gornik Z.,2,1,H,4.2,3.6,1.94,4.23,3.6,2.02,3.95,3.38,1.93
Poland,Ekstraklasa,2020/2021,07/02/2021,16:30,Wisla,Jagiellonia,2,0,H,2.12,3.66,3.51,2.22,3.69,3.54,2.09,3.51,3.27
Poland,Ekstraklasa,2020/2021,12/02/2021,19:30,Slask Wroclaw,Wisla,1,1,D,3.56,3.5,2.17,3.56,3.52,2.26,3.33,3.35,2.12
Poland,Ekstraklasa,2020/2021,13/02/2021,14:00,Cracovia,Podbeskidzie,1,1,D,2.03,3.42,4.08,2.56,3.54,4.08,2.01,3.3,3.76
Poland,Ekstraklasa,2020/2021,13/02/2021,16:30,Pogon Szczecin,Piast Gliwice,0,0,D,2.14,3.21,3.76,2.22,3.4,3.84,2.12,3.17,3.55
Poland,Ekstraklasa,2020/2021,13/02/2021,19:00,Rakow,Lechia Gdansk,0,1,A,1.85,3.53,4.88,1.87,3.62,4.9,1.81,3.4,4.48
Poland,Ekstraklasa,2020/2021,14/02/2021,14:00,Wisla Plock,Lech Poznan,1,0,H,3.11,3.32,2.47,3.16,3.35,2.57,2.92,3.19,2.42
Poland,Ekstraklasa,2020/2021,14/02/2021,16:30,Jagiellonia,Legia,1,1,D,5.42,4.33,1.63,5.6,4.33,1.69,5.03,4.01,1.61
Poland,Ekstraklasa,2020/2021,15/02/2021,17:00,Warta Poznan,Zaglebie,1,0,H,3.03,3.06,2.7,3.03,3.14,2.8,2.88,2.96,2.59
Poland,Ekstraklasa,2020/2021,15/02/2021,19:30,Gornik Z.,Stal Mielec,2,1,H,1.92,3.6,4.35,1.96,3.64,4.42,1.88,3.45,4.07
