Season,Date,PSCH,PSCD,PSCA
2013/14,23/08/2013,1.87,3.61,4.7
2013/14,24/08/2013,1.83,3.78,4.65
2013/14,24/08/2013,2.27,3.32,3.51
2013/14,24/08/2013,1.68,3.91,5.74
2013/14,25/08/2013,1.67,4.0,5.7
2013/14,25/08/2013,3.57,3.26,2.29
2013/14,26/08/2013,2.21,3.32,3.63
2013/14,30/08/2013,2.25,3.27,3.59
2013/14,30/08/2013,2.26,3.49,3.33
2013/14,31/08/2013,2.96,3.31,2.58
2013/14,31/08/2013,2.91,3.09,2.79
2013/14,31/08/2013,6.3,4.05,1.61
2013/14,01/09/2013,2.97,3.3,2.59
2013/14,01/09/2013,1.69,3.89,5.62
2013/14,02/09/2013,2.96,3.27,2.62
2013/14,13/09/2013,2.39,3.3,3.29
2013/14,13/09/2013,1.9,3.61,4.48
2013/14,14/09/2013,2.03,3.5,4.08
2013/14,14/09/2013,2.76,3.2,2.86
2013/14,14/09/2013,5.59,3.79,1.72
2013/14,15/09/2013,1.79,3.62,5.23
2013/14,15/09/2013,2.78,3.13,2.89
2013/14,16/09/2013,1.87,3.58,4.54
2013/14,19/09/2013,2.96,3.37,2.56
2013/14,20/09/2013,2.04,3.38,4.19
2013/14,20/09/2013,1.71,3.72,5.84
2013/14,21/09/2013,2.01,3.31,4.42
2013/14,21/09/2013,3.58,3.25,2.28
2013/14,21/09/2013,2.11,3.31,3.99
2013/14,22/09/2013,3.9,3.58,2.04
2013/14,22/09/2013,1.63,3.98,6.23
2013/14,23/09/2013,1.74,3.76,5.47
2013/14,23/09/2013,3.22,3.34,2.42
2013/14,24/09/2013,2.25,3.27,3.61
2013/14,24/09/2013,2.34,3.23,3.46
2013/14,25/09/2013,1.55,3.72,6.39
2013/14,25/09/2013,2.38,3.13,3.0
2013/14,25/09/2013,3.95,3.47,2.06
2013/14,26/09/2013,3.54,3.27,2.29
2013/14,27/09/2013,2.81,3.32,2.73
2013/14,28/09/2013,2.94,3.18,2.69
2013/14,28/09/2013,3.57,3.16,2.33
2013/14,28/09/2013,1.55,4.23,7.04
