Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
B1,17/09/2005,St Truiden,Lokeren,1.0,2.0,A,0.0,0.0,2.25,3.25,2.8,2.3,3.25,2.7,2.3,3.0,2.7,2.1,3.2,3.0,2.2,3.3,2.7,2005/6,€13.90m,€23.40m,2.2,3.25,2.8
B1,18/09/2005,Beveren,Club Brugge,0.0,1.0,A,0.0,1.0,5.5,3.5,1.53,5.5,3.5,1.55,4.6,3.4,1.6,5.0,3.25,1.62,4.7,3.5,1.6,2005/6,€16.75m,€50.60m,5.0,3.6,1.55
B1,18/09/2005,Genk,Waregem,3.0,1.0,H,1.0,1.0,1.61,3.5,4.5,1.65,3.5,4.5,1.65,3.3,4.4,1.62,3.5,4.5,1.6,3.5,4.7,2005/6,€35.15m,€10.88m,1.55,3.5,5.0
B1,18/09/2005,Germinal,Louvieroise,1.0,1.0,D,1.0,1.0,1.9,3.25,3.5,2.05,3.2,3.2,1.9,3.1,3.5,2.0,3.2,3.2,1.85,3.35,3.5,2005/6,€23.18m,€11.80m,1.85,3.4,3.6
B1,18/09/2005,Roeselare,Westerlo,0.0,2.0,A,0.0,1.0,2.3,3.25,2.75,2.25,3.2,2.8,2.4,3.0,2.6,2.25,3.2,2.75,2.3,3.25,2.6,2005/6,€9.28m,€17.55m,2.25,3.4,2.65
B1,20/09/2005,Charleroi,St Truiden,0.0,1.0,A,0.0,0.0,1.57,3.5,4.5,1.65,3.3,4.9,1.55,3.5,4.8,1.62,3.5,4.5,1.6,3.5,4.6,2005/6,€15.10m,€13.90m,1.65,3.25,5.0
B1,20/09/2005,Gent,FC Brussels,2.0,1.0,H,2.0,0.0,1.5,3.6,5.5,1.55,3.5,5.5,1.5,3.7,5.0,1.6,3.6,5.5,1.5,3.65,5.5,2005/6,€22.35m,€14.25m,1.5,3.8,5.5
B1,21/09/2005,Anderlecht,Roeselare,5.0,1.0,H,3.0,0.0,1.14,6.0,12.0,1.15,6.0,13.0,1.12,6.5,13.0,1.2,5.0,11.0,1.1,7.0,14.0,2005/6,€71.95m,€9.28m,1.15,6.0,10.0
B1,21/09/2005,Cercle Brugge,Germinal,3.0,0.0,H,2.0,0.0,2.2,3.25,2.75,2.2,3.3,2.8,2.2,3.1,2.8,2.1,3.4,2.8,2.25,3.3,2.65,2005/6,€12.00m,€23.18m,2.25,3.25,2.7
B1,21/09/2005,Lokeren,Beveren,1.0,2.0,A,0.0,1.0,1.72,3.4,4.0,1.75,3.4,4.05,1.7,3.2,4.2,1.7,3.5,4.0,1.75,3.45,3.8,2005/6,€23.40m,€16.75m,1.65,3.5,4.5
