Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,LBH,LBD,LBA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,20/09/2004,Man United,Liverpool,2.0,1.0,H,1.0,0.0,H,G Poll,14.0,6.0,9.0,3.0,22.0,15.0,7.0,2.0,1.0,2.0,0.0,0.0,2.0,3.2,3.75,1.9,3.2,3.8,2.0,3.2,3.75,1.83,3.2,3.75,,,,,,
E0,25/09/2004,Aston Villa,Crystal Palace,1.0,1.0,D,1.0,1.0,D,M Clattenburg,10.0,13.0,5.0,8.0,10.0,15.0,5.0,8.0,2.0,1.0,0.0,0.0,1.5,3.6,7.5,1.4,4.0,7.25,1.45,3.9,7.5,1.36,3.75,8.0,,,,,,
E0,25/09/2004,Bolton,Birmingham,1.0,1.0,D,1.0,0.0,H,R Styles,16.0,6.0,12.0,2.0,7.0,18.0,7.0,2.0,2.0,1.0,0.0,0.0,2.0,3.2,3.75,1.85,3.3,3.85,2.0,3.25,3.7,1.8,3.2,4.0,,,,,,
E0,25/09/2004,Fulham,Southampton,1.0,0.0,H,1.0,0.0,H,G Poll,11.0,15.0,6.0,5.0,11.0,19.0,5.0,4.0,0.0,1.0,0.0,0.0,2.0,3.2,3.75,1.95,3.2,3.6,2.0,3.2,3.75,1.83,3.2,3.75,,,,,,
E0,25/09/2004,Liverpool,Norwich,3.0,0.0,H,2.0,0.0,H,A Wiley,20.0,2.0,12.0,1.0,10.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,1.4,4.0,9.0,1.35,4.0,9.0,1.45,3.9,7.5,1.36,3.75,8.0,,,,,,
E0,25/09/2004,Man City,Arsenal,0.0,1.0,A,0.0,1.0,A,N Barry,11.0,12.0,7.0,9.0,16.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,6.5,3.5,1.57,5.65,3.55,1.55,5.5,3.5,1.62,6.0,3.4,1.5,,,,,,
E0,25/09/2004,Middlesbrough,Chelsea,0.0,1.0,A,0.0,0.0,D,M Halsey,8.0,17.0,4.0,12.0,10.0,15.0,3.0,7.0,0.0,1.0,0.0,0.0,3.5,3.2,2.1,3.2,3.2,2.1,3.3,3.2,2.15,3.75,3.2,1.83,,,,,,
E0,25/09/2004,Newcastle,West Brom,3.0,1.0,H,0.0,0.0,D,M Riley,31.0,7.0,10.0,3.0,15.0,15.0,8.0,3.0,3.0,2.0,0.0,1.0,1.5,3.75,7.0,1.4,4.0,7.25,1.45,3.9,7.5,1.4,3.75,7.0,,,,,,
E0,25/09/2004,Tottenham,Man United,0.0,1.0,A,0.0,1.0,A,P Walton,11.0,6.0,5.0,4.0,9.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,3.4,3.25,2.1,3.2,3.2,2.1,3.3,3.2,2.15,3.0,3.2,2.1,,,,,,
E0,26/09/2004,Portsmouth,Everton,0.0,1.0,A,0.0,0.0,D,D Gallagher,11.0,9.0,6.0,2.0,12.0,16.0,3.0,6.0,1.0,1.0,0.0,0.0,2.25,3.2,3.1,2.25,3.1,3.0,2.25,3.2,3.1,2.25,3.2,2.75,,,,,,
