Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,LBH,LBD,LBA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HY,AY,HR,AR,VCH,VCD,VCA,HC,AC,HF,AF,PSCH,PSCD,PSCA
F1,16/09/2012,Lyon,Ajaccio,2.0,0.0,H,1.0,0.0,H,1.44,4.2,7.5,1.4,4.25,8.25,1.4,4.25,8.25,1.33,4.5,7.5,2012/13,€155.65m,€34.10m,15.0,7.0,9.0,1.0,1.0,2.0,0.0,0.0,1.45,4.5,9.0,4.0,6.0,7.0,11.0,1.48,4.55,8.05
F1,16/09/2012,Nancy,Marseille,0.0,1.0,A,0.0,0.0,D,3.4,3.1,2.25,3.3,3.1,2.25,3.3,3.1,2.25,3.5,3.1,2.2,2012/13,€36.85m,€150.65m,12.0,15.0,1.0,6.0,2.0,0.0,0.0,0.0,3.6,3.12,2.3,3.0,6.0,11.0,12.0,3.85,3.38,2.15
F1,16/09/2012,Stade Rennais FC,Lorient,1.0,2.0,A,0.0,2.0,A,1.83,3.25,4.75,1.83,3.5,4.6,1.83,3.5,4.6,1.83,3.4,4.5,2012/13,€97.80m,€63.75m,16.0,10.0,5.0,6.0,1.0,1.0,1.0,2.0,1.91,3.3,5.0,7.0,5.0,13.0,16.0,1.93,3.44,4.75
F1,21/09/2012,Montpellier,St Etienne,1.0,1.0,D,0.0,1.0,A,2.0,3.2,4.0,2.2,3.3,3.5,2.2,3.3,3.5,2.2,3.2,3.4,2012/13,€78.70m,€97.60m,13.0,14.0,3.0,3.0,0.0,2.0,0.0,0.0,2.2,3.12,3.9,5.0,11.0,15.0,14.0,1.99,3.52,4.28
F1,22/09/2012,Bastia,Paris SG,0.0,4.0,A,0.0,2.0,A,5.25,3.6,1.67,4.75,3.8,1.67,4.75,3.8,1.67,5.0,3.6,1.7,2012/13,€36.05m,€313.60m,10.0,9.0,4.0,4.0,3.0,4.0,0.0,0.0,5.4,4.0,1.67,8.0,1.0,17.0,17.0,5.25,3.69,1.79
F1,22/09/2012,Brest,Valenciennes,2.0,1.0,H,0.0,1.0,A,2.7,3.0,2.75,2.75,3.1,2.85,2.75,3.1,2.85,2.62,3.0,2.75,2012/13,€36.10m,€49.75m,15.0,17.0,6.0,3.0,2.0,2.0,0.0,1.0,2.8,3.1,2.88,3.0,3.0,15.0,17.0,3.0,3.11,2.75
F1,22/09/2012,Lorient,Nice,1.0,1.0,D,0.0,1.0,A,1.91,3.3,4.2,1.87,3.3,4.33,1.87,3.3,4.33,1.83,3.4,4.5,2012/13,€63.75m,€59.15m,15.0,7.0,4.0,4.0,3.0,2.0,1.0,0.0,1.91,3.4,4.8,12.0,2.0,12.0,14.0,1.75,3.73,5.59
F1,22/09/2012,Reims,Nancy,2.0,0.0,H,1.0,0.0,H,2.3,3.0,3.4,2.4,3.0,3.1,2.4,3.0,3.1,2.25,3.0,3.4,2012/13,€29.50m,€36.85m,6.0,19.0,3.0,8.0,2.0,1.0,0.0,0.0,2.45,3.1,3.4,7.0,8.0,17.0,13.0,2.34,3.27,3.47
F1,22/09/2012,Sochaux,Troyes,3.0,1.0,H,1.0,1.0,D,2.2,3.2,3.4,2.2,3.1,3.4,2.2,3.1,3.4,2.2,3.2,3.4,2012/13,€46.85m,€21.80m,17.0,7.0,9.0,5.0,1.0,1.0,0.0,1.0,2.38,3.25,3.4,2.0,3.0,7.0,17.0,2.36,3.31,3.39
F1,22/09/2012,Toulouse,Stade Rennais FC,2.0,2.0,D,1.0,1.0,D,2.1,3.25,3.6,2.1,3.1,3.7,2.1,3.1,3.7,2.1,3.2,3.6,2012/13,€82.00m,€97.80m,9.0,9.0,2.0,6.0,1.0,1.0,0.0,0.0,2.25,3.2,3.7,10.0,6.0,11.0,17.0,2.1,3.33,4.09
F1,23/09/2012,Bordeaux,Ajaccio,2.0,2.0,D,0.0,0.0,D,1.57,3.4,7.5,1.57,3.7,6.25,1.57,3.7,6.25,1.53,3.75,7.0,2012/13,€80.95m,€34.10m,13.0,10.0,7.0,3.0,3.0,1.0,0.0,0.0,1.55,4.0,7.5,2.0,7.0,10.0,11.0,1.53,3.98,8.65
F1,23/09/2012,Lille,Lyon,1.0,1.0,D,1.0,0.0,H,2.1,3.3,3.5,2.2,3.3,3.5,2.2,3.3,3.5,2.25,3.3,3.1,2012/13,€114.60m,€155.65m,9.0,7.0,3.0,3.0,2.0,0.0,0.0,0.0,2.25,3.4,3.5,7.0,3.0,18.0,15.0,2.12,3.44,3.86
F1,23/09/2012,Marseille,Evian Thonon Gaillard,1.0,0.0,H,1.0,0.0,H,1.4,4.5,8.0,1.4,4.2,8.5,1.4,4.2,8.5,1.4,4.33,9.0,2012/13,€150.65m,€34.55m,8.0,7.0,3.0,2.0,1.0,1.0,0.0,0.0,1.4,4.6,9.5,5.0,6.0,9.0,22.0,1.43,4.55,9.66
