Club,2024/25,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/9,2007/8,2006/7,2005/6,2004/5
Brighton & Hove Albion,€574.60m,€524.40m,€529.80m,€318.00m,€290.40m,€200.78m,€194.35m,€148.20m,,,,,,,,,,,,,
Nottingham Forest,€427.70m,€501.35m,€376.25m,,,,,,,,,,,,,,,,,,
Brentford FC,€403.03m,€429.03m,€371.20m,€273.30m,,,,,,,,,,,,,,,,,
Wolverhampton Wanderers,€379.70m,€443.23m,€497.65m,€376.95m,€450.30m,€320.33m,€302.90m,,,,,,,€78.05m,€83.55m,€65.48m,,,,,
Fulham FC,€346.00m,€384.35m,€295.25m,,€239.75m,,€254.25m,,,,,€112.65m,€109.85m,€100.00m,€109.55m,€101.18m,€83.85m,€99.05m,€84.68m,€70.88m,€65.23m
Ipswich Town,€195.40m,,,,,,,,,,,,,,,,,,,,
Hull City,,,,,,,,,€135.85m,,€117.10m,€68.15m,,,,€73.20m,€64.70m,,,,
Middlesbrough FC,,,,,,,,,€128.80m,,,,,,,,€85.45m,€120.90m,€96.32m,€94.38m,€95.43m
Burnley FC,,€273.48m,,€137.85m,€132.30m,€163.88m,€197.25m,€169.30m,€107.18m,,€52.55m,,,,,€48.15m,,,,,
Cardiff City,,,,,,,€113.00m,,,,,€87.90m,,,,,,,,,
Huddersfield Town,,,,,,,€137.45m,€106.05m,,,,,,,,,,,,,
Bolton Wanderers,,,,,,,,,,,,,,€90.05m,€100.15m,€85.80m,€81.65m,€104.20m,€72.38m,€61.85m,€63.58m
Queens Park Rangers,,,,,,,,,,,€112.25m,,€120.05m,€81.38m,,,,,,,
Blackburn Rovers,,,,,,,,,,,,,,€80.00m,€91.53m,€91.63m,€91.20m,€90.85m,€78.90m,€63.80m,€73.70m
Wigan Athletic,,,,,,,,,,,,,€91.55m,€74.25m,€80.50m,€77.60m,€103.75m,€77.75m,€74.93m,€51.92m,
Leeds United,,,€345.15m,€299.45m,€238.10m,,,,,,,,,,,,,,,,
Sheffield United,,€152.45m,,,€149.85m,€138.60m,,,,,,,,,,,,,€43.36m,,
Luton Town,,€140.90m,,,,,,,,,,,,,,,,,,,
