Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,25/09/05,Lazio,Palermo,4.0,2.0,H,0.0,1.0,A,2.6,2.9,2.9,2.7,2.8,2.7,M. Saccani,8.0,10.0,5.0,4.0,23.0,21.0,8.0,7.0,2.0,3.0,0.0,0.0
I1,25/09/05,Livorno,Ascoli,2.0,0.0,H,0.0,0.0,D,1.72,3.1,5.5,1.67,3.1,5.6,C. Brighi,9.0,5.0,2.0,2.0,10.0,15.0,4.0,3.0,0.0,2.0,0.0,1.0
I1,25/09/05,Sampdoria,Chievo,1.0,2.0,A,0.0,1.0,A,1.66,3.2,6.0,1.67,3.1,5.6,S. Cassara',8.0,10.0,5.0,6.0,18.0,26.0,6.0,7.0,2.0,4.0,0.0,0.0
I1,25/09/05,Siena,Messina,4.0,2.0,H,3.0,1.0,H,2.2,3.0,3.4,2.2,2.8,3.5,A. De Marco,12.0,6.0,5.0,3.0,17.0,16.0,6.0,2.0,1.0,2.0,0.0,0.0
I1,25/09/05,Treviso,Milan,0.0,2.0,A,0.0,1.0,A,9.0,4.33,1.36,8.75,3.95,1.37,L. Palanca,6.0,12.0,2.0,6.0,22.0,13.0,4.0,2.0,3.0,0.0,0.0,0.0
I1,01/10/05,Chievo,Treviso,0.0,0.0,D,0.0,0.0,D,1.53,3.5,7.0,1.57,3.15,7.0,M. Mazzoleni,11.0,7.0,0.0,3.0,24.0,22.0,6.0,4.0,3.0,2.0,0.0,0.0
I1,01/10/05,Udinese,Lazio,3.0,0.0,H,0.0,0.0,D,1.9,3.1,4.33,1.9,3.1,4.0,R. Rosetti,19.0,6.0,10.0,1.0,18.0,25.0,10.0,1.0,2.0,3.0,0.0,0.0
I1,02/10/05,Ascoli,Parma,3.0,1.0,H,2.0,1.0,H,2.5,2.87,3.0,2.5,2.8,2.9,D. Preschern,10.0,10.0,6.0,4.0,23.0,22.0,5.0,5.0,3.0,5.0,0.0,1.0
I1,02/10/05,Fiorentina,Livorno,3.0,2.0,H,2.0,0.0,H,1.66,3.4,5.5,1.67,3.2,5.4,N. Ayroldi,11.0,9.0,5.0,5.0,19.0,21.0,2.0,7.0,2.0,2.0,0.0,1.0
I1,02/10/05,Juventus,Inter,2.0,0.0,H,2.0,0.0,H,2.2,2.87,3.6,2.1,2.9,3.6,G. Paparesta,8.0,11.0,5.0,6.0,29.0,22.0,1.0,9.0,2.0,3.0,0.0,0.0
