Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,02/10/05,Sociedad,Betis,1,1,D,0,1,A,2.5,3.2,2.75,2.45,3.0,2.8,16.0,11.0,5.0,3.0,14.0,25.0,4.0,5.0,2.0,2.0,0.0,0.0
SP1,02/10/05,Villarreal,Ath Bilbao,3,1,H,1,1,D,1.83,3.3,4.33,1.8,3.3,4.1,19.0,10.0,6.0,5.0,11.0,15.0,7.0,2.0,3.0,3.0,0.0,1.0
SP1,15/10/05,Alaves,Villarreal,1,1,D,1,1,D,2.62,3.2,2.37,2.85,3.0,2.4,12.0,9.0,4.0,4.0,16.0,18.0,12.0,2.0,2.0,5.0,0.0,0.0
SP1,15/10/05,Ath Madrid,Real Madrid,0,3,A,0,1,A,3.0,3.25,2.1,3.25,3.25,2.05,15.0,14.0,3.0,7.0,16.0,16.0,7.0,5.0,5.0,2.0,1.0,0.0
SP1,15/10/05,La Coruna,Barcelona,3,3,D,1,2,A,3.0,3.25,2.1,3.75,3.25,1.9,9.0,13.0,4.0,6.0,19.0,18.0,2.0,3.0,4.0,4.0,0.0,0.0
SP1,16/10/05,Ath Bilbao,Sevilla,0,1,A,0,1,A,2.2,3.25,2.8,2.1,3.1,3.3,21.0,10.0,3.0,3.0,9.0,17.0,6.0,3.0,1.0,2.0,1.0,0.0
SP1,16/10/05,Betis,Getafe,1,0,H,1,0,H,1.8,3.25,4.0,1.9,3.25,3.7,13.0,13.0,3.0,6.0,26.0,19.0,4.0,5.0,2.0,4.0,0.0,1.0
SP1,16/10/05,Espanol,Cadiz,0,2,A,0,0,D,1.72,3.25,4.33,1.8,3.2,4.25,7.0,8.0,1.0,4.0,18.0,18.0,4.0,4.0,1.0,3.0,1.0,0.0
SP1,16/10/05,Mallorca,Santander,0,0,D,0,0,D,2.2,3.25,2.8,2.25,3.0,3.1,13.0,7.0,3.0,4.0,23.0,21.0,9.0,0.0,2.0,7.0,0.0,0.0
SP1,16/10/05,Osasuna,Celta,2,0,H,0,0,D,2.1,3.25,3.0,2.1,3.05,3.35,10.0,14.0,4.0,3.0,25.0,17.0,3.0,7.0,4.0,2.0,0.0,0.0
SP1,16/10/05,Valencia,Malaga,2,1,H,1,0,H,1.57,3.6,5.0,1.55,3.8,5.15,15.0,11.0,7.0,4.0,21.0,23.0,9.0,4.0,3.0,2.0,0.0,0.0
