Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
SP1,2004/5,21/09/2004,Real Madrid,Osasuna,H,303.7,26.7,4,4,1,0,1.44,3.75,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.0,7.0,1.42,4.25,7.0,1.4,3.9,6.0,1.36,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,4.2,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0,0,1.2043,0.2051,3.7864,0.1703,0.0877,0.0735,2.4893,1.4949,3.5298,0.6005,0.3094,0.0969,3.8214,2.8386,3.3643,0.7428,0.3838,0.1103,H
SP1,2004/5,22/09/2004,Albacete,Mallorca,D,17.75,42.65,4,4,0,0,2.25,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.75,2.35,3.2,2.9,2.1,3.0,3.1,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.1,2.62,0,1,0,1,1.65,0.6538,3.6914,0.3962,0.2049,0.0825,2.0643,1.0654,3.6058,0.5161,0.2622,0.0904,1.9086,0.9139,3.6358,0.4788,0.2476,0.0876,H
SP1,2004/5,22/09/2004,Betis,Ath Bilbao,H,85.15,53.05,4,4,2,1,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,3.0,2.3,3.2,3.0,2.2,2.9,3.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.1,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,0,0,0,0,1.6286,0.6293,3.6969,0.3864,0.1964,0.0821,2.0714,1.074,3.6041,0.5185,0.264,0.0905,1.9357,0.9399,3.6305,0.4855,0.2504,0.0881,H
SP1,2004/5,22/09/2004,Getafe,Espanol,H,13.85,45.15,4,4,1,0,2.62,3.2,2.37,1.0,1.0,1.0,1.0,1.0,1.0,2.65,3.25,2.35,2.85,3.2,2.4,2.8,2.9,2.3,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6,3.1,2.4,0,0,0,0,1.8586,0.8608,3.6469,0.4632,0.2376,0.0867,2.075,1.0778,3.6033,0.5194,0.2652,0.0906,1.675,0.676,3.6866,0.4036,0.2056,0.083,A
SP1,2004/5,22/09/2004,La Coruna,Valencia,A,144.45,195.9,4,4,1,5,2.4,3.2,2.6,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.65,2.4,3.2,2.85,2.2,3.0,2.9,2.38,3.0,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.6,0,0,0,0,1.6914,0.6939,3.6826,0.4103,0.2101,0.0834,2.05,1.0514,3.6085,0.5129,0.2611,0.0902,1.8679,0.8715,3.6446,0.4666,0.2408,0.0868,H
SP1,2004/5,22/09/2004,Levante,Ath Madrid,H,24.25,125.65,4,4,1,0,2.62,3.2,2.37,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.15,2.35,2.75,3.25,2.4,2.8,2.9,2.3,2.6,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6,3.1,2.4,0,0,0,0,1.8514,0.8536,3.6484,0.461,0.2362,0.0865,2.0714,1.0742,3.604,0.5186,0.265,0.0905,1.6843,0.6847,3.6847,0.4065,0.2056,0.0832,A
SP1,2004/5,22/09/2004,Malaga,Numancia,H,32.85,13.4,4,4,4,1,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.2,4.0,1.8,3.3,4.5,1.85,3.0,3.8,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.1,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.0,0,0,0,0,1.4043,0.4052,3.7465,0.2885,0.1475,0.0773,2.0786,1.0805,3.6029,0.5198,0.2653,0.0906,2.5686,1.5771,3.5167,0.614,0.3176,0.098,H
SP1,2004/5,22/09/2004,Sociedad,Santander,A,53.55,32.9,4,4,0,1,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.5,1.8,3.3,4.5,1.75,3.1,4.2,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,1,1,1.3843,0.3853,3.7508,0.2783,0.1424,0.0769,2.1214,1.1232,3.5947,0.5295,0.2701,0.0914,2.615,1.6249,3.5092,0.6214,0.322,0.0986,H
SP1,2004/5,22/09/2004,Villarreal,Sevilla,D,66.25,70.55,4,4,0,0,2.2,3.2,2.87,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.3,3.5,2.1,3.25,3.4,2.0,3.0,3.3,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,0,1,0,1,1.5393,0.5419,3.7163,0.352,0.1815,0.0802,2.0964,1.0981,3.5995,0.5238,0.2664,0.091,2.0943,1.105,3.5977,0.5276,0.2758,0.0908,H
SP1,2004/5,23/09/2004,Barcelona,Zaragoza,H,273.03,51.13,4,4,4,1,1.33,4.0,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,9.0,1.33,4.5,9.0,1.3,4.2,8.0,1.33,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.36,3.75,8.0,0,0,0,0,1.1629,0.1634,3.7931,0.1405,0.0721,0.0728,2.5914,1.6021,3.5127,0.6182,0.3212,0.0983,4.7143,3.7259,3.2937,0.7904,0.4058,0.1157,H
