Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
E0,31/08/2019,Crystal Palace,Aston Villa,H,2.15,3.3,3.5,2.2,3.3,3.4,2019/20,€189.33m,€231.70m,2.22,3.44,3.5,2.29,3.39,3.4,2.2,3.4,3.3,2.175,0.025000000000000133,0.9999046950184836,0.01149425287356328,0.005747126436781436,0.5000660589245607,3.3,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913
E0,31/08/2019,Leicester,Bournemouth,H,1.7,4.0,4.75,1.7,4.0,4.75,2019/20,€411.10m,€272.18m,1.71,4.12,4.95,1.68,4.03,5.4,1.61,4.0,5.25,1.7,0.0,1.0,0.0,0.0,0.5,4.0,0.0,1.0,0.0,0.0,0.5,4.75,0.0,1.0,0.0,0.0,0.5
E0,31/08/2019,Man City,Brighton,H,1.08,10.0,26.0,1.07,11.5,31.0,2019/20,€1.05bn,€200.78m,1.08,13.01,34.71,1.09,13.06,35.17,1.08,11.0,26.0,1.0750000000000002,0.0050000000000000044,0.9999843948053797,0.004651162790697678,0.0023255813953488857,0.5000108166576529,10.75,0.75,0.996485989886783,0.06976744186046512,0.03488372093023262,0.5024337479718768,28.5,2.5,0.9944423248022588,0.08771929824561403,0.04385964912280693,0.5038473376423515
E0,31/08/2019,Newcastle,Watford,D,2.5,3.25,2.87,2.5,3.3,2.85,2019/20,€252.48m,€199.60m,2.73,3.22,2.86,2.53,3.21,3.13,2.55,3.1,2.9,2.5,0.0,1.0,0.0,0.0,0.5,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.8600000000000003,0.010000000000000009,0.9999911811214454,0.003496503496503499,0.0017482517482518833,0.5000061127683505
E0,31/08/2019,West Ham,Norwich,H,1.85,3.9,3.9,1.87,3.8,4.0,2019/20,€303.60m,€145.33m,1.91,3.93,4.04,1.93,4.12,3.8,1.85,4.0,3.75,1.86,0.010000000000000009,0.9999791492948437,0.00537634408602151,0.0026881720430107503,0.5000144525378658,3.8499999999999996,0.050000000000000044,0.9998783322990061,0.012987012987013,0.006493506493506329,0.5000843312531624,3.95,0.050000000000000044,0.9998844148717587,0.012658227848101276,0.006329113924050667,0.5000801153661273
E0,31/08/2019,Burnley,Liverpool,A,9.5,5.5,1.3,9.75,5.5,1.3,2019/20,€163.88m,€1.00bn,10.24,5.37,1.34,9.22,5.77,1.34,8.5,5.25,1.33,9.625,0.125,0.9998783322990062,0.012987012987012988,0.006493506493506551,0.5000843312531624,5.5,0.0,1.0,0.0,0.0,0.5,1.3,0.0,1.0,0.0,0.0,0.5
E0,01/09/2019,Everton,Wolves,H,2.2,3.25,3.5,2.15,3.25,3.6,2019/20,€420.55m,€320.33m,2.17,3.36,3.71,2.08,3.29,4.19,2.0,3.25,4.0,2.175,0.025000000000000133,0.9999046950184836,0.01149425287356328,0.005747126436781436,0.5000660589245607,3.25,0.0,1.0,0.0,0.0,0.5,3.55,0.050000000000000044,0.9998568991526107,0.014084507042253534,0.007042253521126751,0.5000991866693116
E0,01/09/2019,Arsenal,Tottenham,D,2.37,3.6,2.8,2.4,3.6,2.8,2019/20,€607.65m,€806.80m,2.38,3.67,3.0,2.59,3.7,2.72,2.55,3.6,2.62,2.385,0.014999999999999902,0.9999714666241031,0.0062893081761005885,0.0031446540880502027,0.5000197776986669,3.6,0.0,1.0,0.0,0.0,0.5,2.8,0.0,1.0,0.0,2.220446049250313e-16,0.5
E0,14/09/2019,Liverpool,Newcastle,H,1.14,8.5,17.0,1.14,8.25,18.5,2019/20,€1.00bn,€252.48m,1.16,8.41,20.6,1.21,7.29,14.23,1.18,7.5,13.0,1.14,0.0,1.0,0.0,0.0,0.5,8.375,0.125,0.9998393017810485,0.014925373134328358,0.00746268656716409,0.5001113833815994,17.75,0.75,0.9987117514654895,0.04225352112676056,0.021126760563380254,0.5008926800238048
E0,14/09/2019,Brighton,Burnley,D,2.15,3.3,3.5,2.15,3.3,3.5,2019/20,€200.78m,€163.88m,2.17,3.35,3.75,2.15,3.44,3.68,2.05,3.4,3.7,2.15,0.0,1.0,0.0,0.0,0.5,3.3,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.5,0.0,1.0,0.0,0.0,0.5
E0,14/09/2019,Man United,Leicester,H,1.95,3.5,4.0,1.87,3.7,4.1,2019/20,€670.45m,€411.10m,1.99,3.53,4.17,2.19,3.37,3.66,2.1,3.25,3.75,1.9100000000000001,0.039999999999999925,0.999683605051031,0.02094240837696331,0.010471204188481575,0.5002192922343138,3.6,0.10000000000000009,0.9994433330902991,0.0277777777777778,0.013888888888889062,0.5003858024691357,4.05,0.04999999999999982,0.9998900524545516,0.012345679012345635,0.006172839506172867,0.500076207895138
E0,14/09/2019,Sheffield United,Southampton,A,2.45,3.2,3.0,2.45,3.1,3.1,2019/20,€138.60m,€210.75m,2.45,3.35,3.12,2.44,3.3,3.18,2.4,3.3,3.0,2.45,0.0,1.0,0.0,0.0,0.5,3.1500000000000004,0.050000000000000044,0.9998182469603429,0.015873015873015886,0.00793650793650813,0.5001259763164526,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516
E0,14/09/2019,Tottenham,Crystal Palace,H,1.36,5.25,8.0,1.36,5.0,8.5,2019/20,€806.80m,€189.33m,1.4,4.92,8.87,1.44,4.91,7.61,1.36,5.0,8.0,1.36,0.0,1.0,0.0,0.0,0.5,5.125,0.125,0.9995708393473225,0.024390243902439025,0.012195121951219523,0.5002974419988102,8.25,0.25,0.9993375041688846,0.030303030303030304,0.015151515151515138,0.5004591368227732
E0,14/09/2019,Wolves,Chelsea,A,2.9,3.3,2.5,2.95,3.4,2.4,2019/20,€320.33m,€705.85m,3.07,3.37,2.48,3.1,3.43,2.42,3.0,3.4,2.37,2.925,0.025000000000000133,0.9999473039445343,0.008547008547008593,0.004273504273504258,0.5000365256775512,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994,2.45,0.050000000000000044,0.9996995428565172,0.020408163265306138,0.010204081632652962,0.5002082465639317
E0,14/09/2019,Norwich,Man City,H,15.0,9.0,1.14,14.5,8.5,1.16,2019/20,€145.33m,€1.05bn,18.79,9.48,1.14,25.83,13.49,1.09,23.0,11.0,1.08,14.75,0.25,0.999792765854127,0.01694915254237288,0.008474576271186418,0.5001436368859522,8.75,0.25,0.9994110647387552,0.02857142857142857,0.014285714285714235,0.5004081632653061,1.15,0.010000000000000009,0.9999454550766408,0.008695652173913052,0.004347826086956719,0.5000378071833648
E0,15/09/2019,Bournemouth,Everton,H,2.9,3.5,2.4,3.0,3.5,2.3,2019/20,€272.18m,€420.55m,3.05,3.53,2.41,3.37,3.57,2.23,3.2,3.5,2.2,2.95,0.050000000000000044,0.999792765854127,0.016949152542372895,0.008474576271186418,0.5001436368859524,3.5,0.0,1.0,0.0,0.0,0.5,2.3499999999999996,0.050000000000000044,0.9996734260048916,0.021276595744680875,0.010638297872340496,0.5002263467632414
E0,15/09/2019,Watford,Arsenal,D,3.6,3.6,2.0,3.8,3.8,1.91,2019/20,€199.60m,€607.65m,3.66,3.74,2.06,4.22,3.92,1.88,4.0,3.9,1.85,3.7,0.09999999999999987,0.9994730201859837,0.02702702702702699,0.013513513513513598,0.5003652300949597,3.7,0.09999999999999987,0.9994730201859837,0.02702702702702699,0.013513513513513598,0.5003652300949597,1.955,0.04500000000000004,0.9996177791237898,0.02301790281329925,0.011508951406649537,0.5002649119249614
E0,16/09/2019,Aston Villa,West Ham,D,2.62,3.5,2.6,2.6,3.4,2.7,2019/20,€231.70m,€303.60m,2.65,3.6,2.69,2.72,3.71,2.57,2.7,3.5,2.5,2.6100000000000003,0.010000000000000009,0.9999894107648843,0.0038314176245210756,0.0019157088122607746,0.5000073398805067,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,2.6500000000000004,0.050000000000000044,0.9997431860710851,0.0188679245283019,0.009433962264151052,0.5001779992880029
E0,20/09/2019,Southampton,Bournemouth,A,2.05,3.6,3.5,2.0,3.7,3.6,2019/20,€210.75m,€272.18m,2.12,3.65,3.55,2.17,3.6,3.46,2.15,3.5,3.3,2.025,0.02499999999999991,0.9998900524545516,0.012345679012345635,0.006172839506172867,0.500076207895138,3.6500000000000004,0.050000000000000044,0.9998646331239297,0.013698630136986313,0.006849315068493178,0.5000938262338149,3.55,0.050000000000000044,0.9998568991526107,0.014084507042253534,0.007042253521126751,0.5000991866693116
E0,21/09/2019,Leicester,Tottenham,H,2.87,3.5,2.37,2.95,3.4,2.4,2019/20,€411.10m,€806.80m,2.92,3.53,2.5,2.72,3.51,2.69,2.62,3.4,2.6,2.91,0.040000000000000036,0.999863701139491,0.013745704467353964,0.0068728522336767295,0.5000944721956518,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,2.385,0.014999999999999902,0.9999714666241031,0.0062893081761005885,0.0031446540880502027,0.5000197776986669
