Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
N1,14/09/2019,Utrecht,FC Emmen,H,1.28,6.0,8.5,1.3,6.0,8.5,2019/20,€48.58m,€13.23m,1.34,6.09,7.72,1.27,6.71,9.43,1.25,6.0,10.0,1.29,0.010000000000000009,0.9999566519593042,0.007751937984496131,0.003875968992248069,0.5000300462712577,6.0,0.0,1.0,0.0,0.0,0.5,8.5,0.0,1.0,0.0,0.0,0.5
N1,15/09/2019,Zwolle,Waalwijk,H,1.6,4.2,5.25,1.6,4.25,5.25,2019/20,€16.50m,€10.78m,1.65,4.45,4.85,1.65,4.37,4.91,1.57,3.8,6.0,1.6,0.0,1.0,0.0,-2.220446049250313e-16,0.5,4.225,0.02499999999999991,0.9999747434708205,0.0059171597633135885,0.002958579881656931,0.5000175063898323,5.25,0.0,1.0,0.0,0.0,0.5
N1,15/09/2019,Feyenoord,Den Haag,H,1.22,7.0,10.0,1.25,6.25,11.5,2019/20,€102.73m,€19.40m,1.26,6.19,11.58,1.29,6.1,9.88,1.28,5.75,8.5,1.2349999999999999,0.015000000000000013,0.9998935847610623,0.012145748987854263,0.006072874493927127,0.5000737596092379,6.625,0.375,0.9976875760352552,0.05660377358490566,0.028301886792452935,0.5016019935920257,10.75,0.75,0.996485989886783,0.06976744186046512,0.03488372093023262,0.5024337479718768
N1,15/09/2019,Heracles,Willem II,H,2.1,3.4,3.4,2.15,3.7,3.2,2019/20,€22.48m,€21.80m,2.14,3.94,3.19,2.09,3.85,3.37,2.0,3.4,3.75,2.125,0.02499999999999991,0.9999001572094882,0.0117647058823529,0.00588235294117645,0.5000692041522491,3.55,0.15000000000000013,0.9987117514654893,0.042253521126760604,0.021126760563380254,0.5008926800238049,3.3,0.09999999999999987,0.9993375041688846,0.030303030303030266,0.015151515151514916,0.5004591368227731
N1,15/09/2019,For Sittard,Twente,A,3.0,3.6,2.2,3.0,3.75,2.2,2019/20,€13.08m,€21.28m,3.12,3.88,2.19,3.31,3.95,2.08,3.3,3.6,2.05,3.0,0.0,1.0,0.0,0.0,0.5,3.675,0.07499999999999996,0.9996995428565172,0.02040816326530611,0.010204081632653184,0.5002082465639317,2.2,0.0,1.0,0.0,0.0,0.5
N1,20/09/2019,Twente,Heracles,A,2.37,3.4,2.87,2.35,3.75,2.8,2019/20,€21.28m,€22.48m,2.46,3.82,2.73,2.59,3.77,2.61,2.5,3.4,2.7,2.3600000000000003,0.010000000000000009,0.9999870484473025,0.004237288135593224,0.0021186440677967155,0.5000089773053721,3.575,0.17500000000000004,0.9982708123573115,0.04895104895104896,0.02447552447552437,0.5011981025967039,2.835,0.03500000000000014,0.9998900524545516,0.012345679012345729,0.006172839506173089,0.500076207895138
N1,21/09/2019,Sparta Rotterdam,Waalwijk,H,1.45,4.5,6.0,1.5,4.75,5.75,2019/20,€15.50m,€10.78m,1.53,4.51,6.01,1.4,5.51,6.79,1.44,4.75,6.0,1.475,0.025000000000000022,0.999792765854127,0.016949152542372895,0.008474576271186418,0.5001436368859524,4.625,0.125,0.9994730201859837,0.02702702702702703,0.013513513513513598,0.5003652300949598,5.875,0.125,0.999673426004892,0.02127659574468085,0.010638297872340496,0.5002263467632414
N1,21/09/2019,Groningen,Zwolle,H,1.85,3.6,4.0,1.85,3.75,4.1,2019/20,€30.40m,€16.50m,1.89,3.82,4.09,1.85,3.76,4.36,1.8,3.75,4.33,1.85,0.0,1.0,0.0,-2.220446049250313e-16,0.5,3.675,0.07499999999999996,0.9996995428565172,0.02040816326530611,0.010204081632653184,0.5002082465639317,4.05,0.04999999999999982,0.9998900524545516,0.012345679012345635,0.006172839506172867,0.500076207895138
N1,21/09/2019,Willem II,VVV Venlo,H,1.66,4.2,4.5,1.7,4.0,4.75,2019/20,€21.80m,€12.03m,1.7,4.25,4.65,1.71,4.14,4.71,1.66,4.2,4.5,1.68,0.020000000000000018,0.9998977657936449,0.011904761904761916,0.005952380952380931,0.5000708616780045,4.1,0.10000000000000009,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,4.625,0.125,0.9994730201859837,0.02702702702702703,0.013513513513513598,0.5003652300949598
N1,21/09/2019,Vitesse,For Sittard,H,1.25,5.75,11.0,1.28,6.25,9.25,2019/20,€30.53m,€13.08m,1.31,6.26,8.53,1.22,7.56,10.69,1.2,7.0,11.0,1.2650000000000001,0.015000000000000013,0.9998985723909075,0.011857707509881433,0.005928853754940677,0.5000703026136949,6.0,0.25,0.9987472979361685,0.041666666666666664,0.02083333333333326,0.5008680555555555,10.125,0.875,0.9946059813005232,0.08641975308641975,0.043209876543209846,0.5037341868617589
