Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,B365D_Prob,BWD_Prob,B365A_Prob,BWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
D1,26/10/2004,Hertha,Dortmund,A,2.1,3.25,3.0,2.0,3.3,3.4,2004/5,€71.78m,€78.33m,47.619,50.0,30.7692,30.303,33.3333,29.4118,H,48.8095,1.6836,30.5361,0.3297,31.3726,2.7729,Bundesliga1
D1,27/10/2004,Hamburg,Freiburg,H,1.66,3.4,4.5,1.6,3.7,4.8,2004/5,€65.60m,€22.43m,60.241,62.5,29.4118,27.027,22.2222,20.8333,H,61.3705,1.5974,28.2194,1.6863,21.5278,0.9821,Bundesliga1
D1,27/10/2004,Leverkusen,Bielefeld,H,1.57,3.4,5.5,1.5,3.8,5.8,2004/5,€86.93m,€24.65m,63.6943,66.6667,29.4118,26.3158,18.1818,17.2414,H,65.1805,2.1018,27.8638,2.1892,17.7116,0.665,Bundesliga1
D1,27/10/2004,Mainz,Hansa Rostock,H,1.8,3.25,4.0,1.8,3.4,4.0,2004/5,€16.73m,€25.90m,55.5556,55.5556,30.7692,29.4118,25.0,25.0,H,55.5556,0.0,30.0905,0.9598,25.0,0.0,Bundesliga1
D1,27/10/2004,Nurnberg,Schalke 04,A,2.6,3.2,2.4,2.5,3.3,2.5,2004/5,€34.90m,€86.33m,38.4615,40.0,31.25,30.303,41.6667,40.0,A,39.2308,1.0879,30.7765,0.6696,40.8333,1.1785,Bundesliga1
D1,27/10/2004,Stuttgart,Werder Bremen,A,1.83,3.25,3.75,1.85,3.3,3.85,2004/5,€79.50m,€98.48m,54.6448,54.0541,30.7692,30.303,26.6667,25.974,H,54.3494,0.4177,30.5361,0.3297,26.3204,0.4898,Bundesliga1
D1,30/10/2004,Dortmund,Leverkusen,H,2.25,3.25,2.75,2.2,3.3,2.9,2004/5,€78.33m,€86.93m,44.4444,45.4545,30.7692,30.303,36.3636,34.4828,H,44.9494,0.7142,30.5361,0.3297,35.4232,1.3299,Bundesliga1
D1,30/10/2004,Freiburg,Hertha,A,2.37,3.2,2.62,2.5,3.3,2.5,2004/5,€22.43m,€71.78m,42.1941,40.0,31.25,30.303,38.1679,40.0,H,41.097,1.5515,30.7765,0.6696,39.084,1.2955,Bundesliga1
D1,30/10/2004,Hannover,Bochum,H,1.8,3.25,4.0,1.85,3.3,3.85,2004/5,€42.98m,€31.40m,55.5556,54.0541,30.7692,30.303,25.0,25.974,H,54.8048,1.0617,30.5361,0.3297,25.487,0.6887,Bundesliga1
D1,30/10/2004,M'gladbach,Bayern Munich,H,4.5,3.4,1.66,4.3,3.4,1.75,2004/5,€50.93m,€175.30m,22.2222,23.2558,29.4118,29.4118,60.241,57.1429,A,22.739,0.7309,29.4118,0.0,58.692,2.1907,Bundesliga1
