Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,B365D_Prob,BWD_Prob,B365A_Prob,BWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
B1,16/10/2004,Standard,Westerlo,H,1.5,3.6,5.5,1.5,3.65,5.8,2004/5,€43.55m,€13.40m,66.6667,66.6667,27.7778,27.3973,18.1818,17.2414,H,66.6667,0.0,27.5876,0.2691,17.7116,0.665,JupilerLeague
B1,17/10/2004,Cercle Brugge,St Truiden,H,1.9,3.2,3.5,2.0,3.25,3.3,2004/5,€10.98m,€12.10m,52.6316,50.0,31.25,30.7692,28.5714,30.303,H,51.3158,1.8608,31.0096,0.34,29.4372,1.2244,JupilerLeague
B1,17/10/2004,Charleroi,Beveren,H,2.0,3.2,3.2,1.8,3.4,3.8,2004/5,€12.15m,€14.30m,50.0,55.5556,31.25,29.4118,31.25,26.3158,H,52.7778,3.9284,30.3309,1.2998,28.7829,3.489,JupilerLeague
B1,17/10/2004,Lokeren,Club Brugge,A,4.5,3.3,1.66,4.3,3.45,1.7,2004/5,€18.73m,€53.03m,22.2222,23.2558,30.303,28.9855,60.241,58.8235,A,22.739,0.7309,29.6442,0.9316,59.5322,1.0023,JupilerLeague
B1,17/10/2004,Louvieroise,Germinal,D,1.66,3.3,4.5,1.7,3.45,4.3,2004/5,€17.80m,€15.67m,60.241,58.8235,30.303,28.9855,22.2222,23.2558,H,59.5322,1.0023,29.6442,0.9316,22.739,0.7309,JupilerLeague
B1,23/10/2004,Bergen,Lokeren,A,2.5,3.1,2.5,2.4,3.2,2.6,2004/5,€15.63m,€18.73m,40.0,41.6667,32.2581,31.25,40.0,38.4615,H,40.8333,1.1785,31.754,0.7128,39.2308,1.0879,JupilerLeague
B1,23/10/2004,Gent,Charleroi,H,1.83,3.25,3.6,1.85,3.35,3.65,2004/5,€26.63m,€12.15m,54.6448,54.0541,30.7692,29.8507,27.7778,27.3973,H,54.3494,0.4177,30.31,0.6495,27.5876,0.2691,JupilerLeague
B1,23/10/2004,St Truiden,FC Brussels,H,2.0,3.2,3.2,1.95,3.25,3.4,2004/5,€12.10m,€10.22m,50.0,51.2821,31.25,30.7692,31.25,29.4118,H,50.641,0.9066,31.0096,0.34,30.3309,1.2998,JupilerLeague
B1,23/10/2004,Westerlo,Mouscron,A,2.1,3.2,3.0,2.1,3.25,3.05,2004/5,€13.40m,€15.60m,47.619,47.619,31.25,30.7692,33.3333,32.7869,H,47.619,0.0,31.0096,0.34,33.0601,0.3864,JupilerLeague
B1,24/10/2004,Anderlecht,Genk,H,1.4,3.75,7.0,1.35,4.2,7.5,2004/5,€63.60m,€30.45m,71.4286,74.0741,26.6667,23.8095,14.2857,13.3333,H,72.7514,1.8707,25.2381,2.0203,13.8095,0.6734,JupilerLeague
