Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
I1,09/04/2016,Sassuolo,Genoa,A,2.0,3.3,3.8,2.05,3.2,3.7,2.1,3.2,3.4,1.95,3.3,4.0,2.0,3.4,3.75,2015/16,€97.00m,€117.55m,2.0,3.3,4.2,2.0166666666666666,0.04714045207910319,2.584569758480543,0.023375430783026376,0.01239669421487602,0.1667558617206999,3.2833333333333337,0.06871842709362756,2.584646974689887,0.02092947018080027,0.010998307952622494,0.16673907981823186,3.8083333333333336,0.24902587995806563,2.5818713043471857,0.06538972777892314,0.03610503282275715,0.16739390645437022,H
I1,10/04/2016,Empoli,Fiorentina,H,3.0,3.2,2.4,2.95,3.25,2.35,2.85,3.2,2.4,3.0,3.1,2.4,2.9,3.25,2.45,2015/16,€74.60m,€190.53m,3.13,3.2,2.45,2.9716666666666662,0.08858454843945536,2.5843240789737703,0.029809719048610895,0.016358197793980095,0.1668114059701672,3.1999999999999997,0.04999999999999997,2.584785451404268,0.015624999999999991,0.007812499999999917,0.16670868986638593,2.4083333333333337,0.03435921354681389,2.5848155065284097,0.01426680147272549,0.007497116493656059,0.1667008345779199,A
I1,10/04/2016,Napoli,Hellas Verona,H,1.2,6.5,13.0,1.22,6.75,10.0,1.22,5.5,12.0,1.25,6.0,12.0,1.25,6.0,11.0,2015/16,€321.93m,€47.73m,1.22,6.5,15.0,1.2266666666666666,0.01795054935711503,2.5848081405861425,0.014633600019387256,0.007699275362318986,0.16670220768549573,6.208333333333333,0.4187448175467038,2.5816482282045348,0.06744882967195229,0.03691275167785238,0.16747380523131944,12.166666666666666,1.5723301886761005,2.5730957363984612,0.12923261824735074,0.07077625570776261,0.16926976744186045,H
I1,10/04/2016,Palermo,Lazio,A,3.4,3.4,2.1,3.4,3.3,2.1,2.9,3.3,2.3,3.5,3.3,2.1,3.3,3.3,2.2,2015/16,€68.68m,€175.30m,3.7,3.25,2.15,3.3666666666666667,0.24267032964268404,2.5811391653067624,0.0720802959334705,0.03795379537953783,0.16765229190601683,3.3083333333333336,0.04487637339278753,2.5848303896807305,0.01356464686935643,0.00629722921914358,0.16669649890200328,2.158333333333333,0.07312470322826761,2.584143342045714,0.03388017137989233,0.017374517374517368,0.16684612701737822,A
I1,10/04/2016,Sampdoria,Udinese,H,2.0,3.4,3.75,2.0,3.3,3.75,2.1,3.1,3.5,2.05,3.2,3.8,2.05,3.4,3.6,2015/16,€126.53m,€93.00m,2.05,3.25,4.1,2.0416666666666665,0.034359213546813844,2.584758445469015,0.016829002553541476,0.008843537414965935,0.1667135500824935,3.275,0.10704360482220933,2.5841894783946375,0.03268507017472041,0.01823579304495318,0.16684819019115044,3.75,0.18708286933869694,2.5831834795175443,0.04988876515698585,0.026666666666666755,0.1670609498832428,H
I1,10/04/2016,Torino,Atalanta,H,1.83,3.4,4.5,1.87,3.3,4.25,1.9,3.3,4.0,1.85,3.3,4.5,1.91,3.3,4.33,2015/16,€89.83m,€78.45m,1.87,3.4,4.75,1.8716666666666664,0.027335365778094475,2.584808605688953,0.01460482588322056,0.008162659542890888,0.16670226438742988,3.3333333333333335,0.04714045207910321,2.58481870497303,0.014142135623730963,0.006666666666666515,0.1666993432016469,4.388333333333333,0.23419483816306075,2.5829004474451347,0.05336760459469672,0.02956070388656787,0.16715398372591977,H
I1,11/04/2016,Roma,Bologna,D,1.33,4.75,10.0,1.33,4.75,9.0,1.35,4.8,7.6,1.33,4.75,10.0,1.36,4.6,9.0,2015/16,€332.90m,€75.23m,1.3,5.4,12.0,1.3333333333333333,0.018856180831641284,2.584817990436497,0.014142135623730963,0.007499999999999979,0.16670034609709594,4.841666666666666,0.2572558173405524,2.58297817675315,0.05313373163660292,0.023809523809523864,0.16707016243059697,9.6,1.3416407864998738,2.5710115330585954,0.13975424859373686,0.07523148148148154,0.1698496285099476,H
I1,16/04/2016,Bologna,Torino,A,2.8,3.1,2.7,2.75,2.95,2.75,2.75,3.0,2.65,2.8,3.0,2.7,2.8,2.9,2.8,2015/16,€75.23m,€89.83m,2.9,3.0,2.75,2.8000000000000003,0.04999999999999997,2.584733812329983,0.017857142857142846,0.008928571428571314,0.16671801302649134,2.991666666666667,0.06066758241067102,2.5846664514184066,0.02027885763030786,0.010677808727947907,0.1667344451278916,2.725,0.047871355387816845,2.5847398577658427,0.01756746986708875,0.009683995922528027,0.16671815308794935,A
I1,16/04/2016,Carpi,Genoa,H,2.75,3.1,2.75,2.75,2.9,2.75,2.4,3.2,2.85,2.7,3.0,2.75,2.8,2.9,2.8,2015/16,€52.05m,€117.55m,2.8,3.1,2.8,2.6999999999999997,0.13844373104863458,2.583012209953739,0.05127545594393874,0.023662551440329166,0.16718557006243379,3.0333333333333337,0.11055415967851343,2.5840046026731964,0.03644642626764179,0.020146520146520214,0.16688769772669498,2.783333333333333,0.037267799624996496,2.584833529571625,0.013389628607783173,0.006986027944111767,0.16669606232582523,H
I1,16/04/2016,Inter,Napoli,H,3.0,3.2,2.5,2.65,3.3,2.55,2.75,3.2,2.5,2.8,3.1,2.5,2.8,3.1,2.62,2015/16,€294.28m,€321.93m,3.0,3.2,2.55,2.8333333333333335,0.12801909579781018,2.583493315316585,0.04518321028158006,0.02450980392156868,0.16700241344292208,3.1833333333333336,0.06871842709362762,2.5846268532566117,0.021586940448259984,0.011343804537521512,0.16674368442769105,2.5366666666666666,0.043461349368017675,2.5847517941622877,0.01713325205046689,0.008760402978537224,0.16671417172402936,A
