Div,Date,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeTeam,AwayTeam,VCH,VCD,VCA,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
G1,02/10/2005,A,1.57,3.5,5.0,1.5,3.5,6.5,1.55,3.5,4.8,1.57,3.5,5.0,1.5,3.5,5.8,2005/6,Iraklis,Kalamaria,1.55,3.4,5.5,€17.15m,€10.20m,63.6943,66.6667,66.6667,64.5161,64.5161,63.6943,28.5714,28.5714,28.5714,28.5714,29.4118,28.5714,20.0,15.3846,17.2414,20.8333,18.1818,20.0,H,64.959,1.3729,28.7115,0.3431,18.6068,2.0624,EthnikiKatigoria
G1,02/10/2005,D,1.53,3.6,5.0,1.5,3.6,6.5,1.55,3.4,5.0,1.53,3.5,5.5,1.5,3.5,5.8,2005/6,PAOK,Larisa,1.55,3.4,5.5,€25.80m,€11.90m,65.3595,66.6667,66.6667,64.5161,64.5161,65.3595,27.7778,27.7778,28.5714,29.4118,29.4118,28.5714,20.0,15.3846,17.2414,20.0,18.1818,18.1818,H,65.5141,0.9692,28.587,0.7308,18.1649,1.7504,EthnikiKatigoria
G1,03/10/2005,A,2.3,3.0,2.8,2.35,2.9,3.0,2.2,3.0,2.9,2.25,2.9,3.0,2.4,2.8,2.85,2005/6,Atromitos,Xanthi,2.3,2.9,3.0,€11.80m,€23.15m,43.4783,42.5532,41.6667,45.4545,43.4783,44.4444,33.3333,34.4828,35.7143,33.3333,34.4828,34.4828,35.7143,33.3333,35.0877,34.4828,33.3333,33.3333,H,43.5126,1.3394,34.3049,0.891,34.2141,1.0405,EthnikiKatigoria
G1,15/10/2005,H,1.66,3.4,4.33,1.6,3.35,5.75,1.5,3.7,5.0,1.67,3.25,4.5,1.65,3.25,4.75,2005/6,Atromitos,Levadeiakos,1.65,3.25,5.5,€11.80m,€9.45m,60.241,62.5,60.6061,66.6667,60.6061,59.8802,29.4118,29.8507,30.7692,27.027,30.7692,30.7692,23.0947,17.3913,21.0526,20.0,18.1818,22.2222,H,61.75,2.574,29.7662,1.4597,20.3238,2.2408,EthnikiKatigoria
G1,15/10/2005,D,2.5,3.0,2.62,2.55,2.9,2.75,2.55,3.0,2.45,2.5,2.88,2.62,2.6,2.9,2.5,2005/6,Kalamaria,Egaleo,2.6,3.0,2.65,€10.20m,€16.68m,40.0,39.2157,38.4615,39.2157,38.4615,40.0,33.3333,34.4828,34.4828,33.3333,33.3333,34.7222,38.1679,36.3636,40.0,40.8163,37.7358,38.1679,H,39.2257,0.6881,33.948,0.679,38.5419,1.6108,EthnikiKatigoria
G1,15/10/2005,H,1.12,6.5,13.0,1.11,7.0,17.0,1.15,6.0,12.0,1.1,7.0,14.0,1.15,6.0,11.0,2005/6,Panathinaikos,Akratitos,1.14,6.5,13.0,€60.68m,€9.95m,89.2857,90.0901,86.9565,86.9565,87.7193,90.9091,15.3846,14.2857,16.6667,16.6667,15.3846,14.2857,7.6923,5.8824,9.0909,8.3333,7.6923,7.1429,H,88.6529,1.6843,15.4457,1.0659,7.639,1.0888,EthnikiKatigoria
G1,16/10/2005,A,3.75,3.2,1.83,5.0,3.25,1.7,4.0,3.0,1.8,3.5,3.2,1.9,4.0,3.1,1.8,2005/6,Ionikos,AEK,4.5,3.2,1.8,€9.13m,€41.05m,26.6667,20.0,25.0,25.0,22.2222,28.5714,31.25,30.7692,32.2581,33.3333,31.25,31.25,54.6448,58.8235,55.5556,55.5556,55.5556,52.6316,A,24.5767,3.0716,31.6851,0.9436,55.4611,2.0002,EthnikiKatigoria
G1,16/10/2005,H,2.3,3.0,2.8,2.25,3.1,3.0,2.3,3.0,2.7,2.3,3.0,2.8,2.3,3.0,2.8,2005/6,OFI Crete,Larisa,2.3,3.0,2.9,€14.55m,€11.90m,43.4783,44.4444,43.4783,43.4783,43.4783,43.4783,33.3333,32.2581,33.3333,33.3333,33.3333,33.3333,35.7143,33.3333,35.7143,37.037,34.4828,35.7143,H,43.6393,0.3944,33.1541,0.4389,35.3327,1.2698,EthnikiKatigoria
G1,16/10/2005,A,1.4,3.75,7.0,1.4,3.75,8.25,1.4,3.9,6.0,1.4,3.75,7.0,1.3,4.2,8.5,2005/6,Olympiakos,PAOK,1.4,3.8,8.0,€62.55m,€25.80m,71.4286,71.4286,76.9231,71.4286,71.4286,71.4286,26.6667,26.6667,23.8095,25.641,26.3158,26.6667,14.2857,12.1212,11.7647,16.6667,12.5,14.2857,H,72.3444,2.2431,25.9611,1.1271,13.604,1.8499,EthnikiKatigoria
G1,16/10/2005,H,1.83,3.2,3.75,1.9,3.1,4.0,1.9,2.9,3.8,1.83,3.2,3.75,1.9,3.1,3.6,2005/6,Panionios,Kallithea,1.84,3.25,4.0,€14.50m,€9.15m,54.6448,52.6316,52.6316,52.6316,54.3478,54.6448,31.25,32.2581,32.2581,34.4828,30.7692,31.25,26.6667,25.0,27.7778,26.3158,25.0,26.6667,H,53.5887,1.054,32.0447,1.3361,26.2378,1.078,EthnikiKatigoria
