Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA
SC0,29/10/2005,Falkirk,Livingston,1,1,D,1,0,H,B Winter,13,6,6,4,12,11,6,3,1,2,0,0,2.0,3.2,3.4,1.85,3.3,3.75,1.8,3.25,3.75,2005/6,€8.08m,€10.08m,1.8,3.25,4.0
SC0,29/10/2005,Hibernian,Hearts,2,0,H,0,0,D,J Underhill,13,6,3,4,16,23,7,5,0,5,0,1,3.2,3.2,2.1,3.1,3.2,2.1,3.0,3.2,2.1,2005/6,€17.43m,€30.53m,3.25,3.25,2.0
SC0,29/10/2005,Kilmarnock,Aberdeen,4,2,H,2,1,H,K Toner,9,10,6,5,21,10,3,6,2,2,0,0,2.3,3.2,2.8,2.1,3.2,3.1,2.1,3.2,3.0,2005/6,€6.33m,€6.45m,2.2,3.25,2.8
SC0,29/10/2005,Rangers,Inverness C,1,1,D,0,1,A,I Brines,18,5,10,2,10,13,18,1,3,4,0,1,1.22,5.0,12.0,1.2,5.5,10.5,1.17,5.5,12.0,2005/6,€77.98m,€8.05m,1.2,6.0,9.0
SC0,30/10/2005,Dundee United,Celtic,2,4,A,2,3,A,A Freeland,4,14,1,9,12,14,7,10,0,1,0,0,8.0,4.0,1.36,8.75,5.0,1.25,8.0,4.0,1.33,2005/6,€9.25m,€72.83m,8.5,4.5,1.28
SC0,05/11/2005,Hearts,Dundee United,3,0,H,2,0,H,C Thomson,19,9,12,3,17,17,11,2,1,1,0,0,1.36,3.75,9.5,1.3,4.95,7.2,1.33,4.0,8.0,2005/6,€30.53m,€9.25m,1.3,4.35,8.5
SC0,05/11/2005,Inverness C,Dunfermline,2,1,H,2,0,H,C Richmond,10,3,7,1,13,13,7,2,2,2,0,0,1.61,3.5,5.0,1.75,3.4,4.1,1.67,3.25,4.5,2005/6,€8.05m,€8.43m,1.73,3.25,4.35
SC0,05/11/2005,Livingston,Hibernian,1,2,A,1,0,H,D McDonald,13,18,4,9,11,11,5,9,3,0,0,0,4.5,3.5,1.66,4.6,3.45,1.65,4.5,3.5,1.62,2005/6,€10.08m,€17.43m,4.5,3.4,1.65
SC0,05/11/2005,Motherwell,Kilmarnock,2,2,D,1,1,D,K Clark,9,8,6,6,15,15,4,8,1,3,0,0,2.1,3.2,3.2,2.15,3.2,3.0,2.25,3.2,2.75,2005/6,€9.18m,€6.33m,2.2,3.25,2.8
SC0,05/11/2005,Rangers,Aberdeen,0,0,D,0,0,D,S Dougal,26,3,9,1,15,9,11,2,1,1,0,0,1.33,4.33,8.0,1.25,5.0,8.75,1.29,4.5,8.0,2005/6,€77.98m,€6.45m,1.33,4.35,7.5
SC0,06/11/2005,Falkirk,Celtic,0,3,A,0,2,A,C Murray,3,12,1,7,16,11,4,4,2,1,0,0,11.0,5.5,1.25,10.5,5.5,1.2,10.0,4.5,1.25,2005/6,€8.08m,€72.83m,8.5,5.0,1.25
SC0,19/11/2005,Celtic,Rangers,3,0,H,1,0,H,D McDonald,3,11,2,4,12,10,3,4,2,2,0,0,1.8,3.3,4.5,1.8,3.3,4.15,1.73,3.2,4.33,2005/6,€72.83m,€77.98m,1.8,3.25,4.0
SC0,19/11/2005,Dundee United,Motherwell,1,1,D,0,0,D,M McCurry,16,12,11,7,16,18,9,5,2,1,1,0,2.3,3.25,2.75,2.2,3.2,2.9,2.25,3.2,2.75,2005/6,€9.25m,€9.18m,2.3,3.2,2.7
SC0,19/11/2005,Dunfermline,Livingston,0,1,A,0,0,D,K Clark,6,8,2,3,11,14,3,6,0,1,0,0,1.9,3.25,3.6,1.9,3.3,3.6,2.1,3.2,3.0,2005/6,€8.43m,€10.08m,2.1,3.25,3.0
SC0,19/11/2005,Hibernian,Falkirk,2,3,A,2,0,H,S Conroy,17,15,9,6,10,14,7,4,1,3,0,0,1.4,4.0,7.0,1.5,3.6,6.0,1.4,3.75,7.0,2005/6,€17.43m,€8.08m,1.45,3.75,6.5
SC0,19/11/2005,Kilmarnock,Inverness C,2,2,D,0,1,A,A Freeland,7,9,6,3,16,10,4,8,0,1,0,0,1.8,3.3,4.0,1.85,3.3,3.75,1.73,3.2,4.33,2005/6,€6.33m,€8.05m,1.9,3.25,3.5
SC0,20/11/2005,Aberdeen,Hearts,1,1,D,1,0,H,C Thomson,7,8,3,5,22,19,2,3,5,1,0,0,4.0,3.25,1.9,3.4,3.3,1.95,3.75,3.25,1.8,2005/6,€6.45m,€30.53m,3.75,3.4,1.8
SC0,26/11/2005,Celtic,Dunfermline,0,1,A,0,1,A,C MacKay,8,3,2,2,10,6,6,4,0,0,0,0,1.1,7.5,17.0,1.1,7.0,17.0,1.1,6.5,17.0,2005/6,€72.83m,€8.43m,1.11,6.5,17.0
SC0,26/11/2005,Falkirk,Aberdeen,1,2,A,0,1,A,J Underhill,7,5,4,2,6,11,3,4,0,3,0,0,2.5,3.25,2.5,2.4,3.2,2.6,2.25,3.2,2.75,2005/6,€8.08m,€6.45m,2.35,3.2,2.65
SC0,26/11/2005,Inverness C,Dundee United,1,1,D,1,1,D,C Murray,11,3,5,1,7,15,4,7,2,1,0,0,2.1,3.2,3.2,2.1,3.2,3.1,2.2,3.25,2.75,2005/6,€8.05m,€9.25m,2.1,3.25,3.0
