Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
P1,11/12/2004,Rio Ave,Setubal,1.0,0.0,H,1.0,0.0,2.1,3.2,3.0,2.1,3.25,3.05,2.0,2.9,3.4,2.15,3.1,2.95,2004/5,€11.10m,€9.58m
P1,11/12/2004,Sp Lisbon,Sp Braga,0.0,0.0,D,0.0,0.0,1.5,3.6,5.5,1.55,3.6,5.3,1.5,3.5,5.4,1.4,3.75,7.0,2004/5,€89.40m,€33.05m
P1,12/12/2004,Beira Mar,Moreirense,1.0,3.0,A,1.0,2.0,1.66,3.4,4.33,1.8,3.4,3.8,1.75,3.2,4.0,1.75,3.3,4.0,2004/5,€8.10m,€6.15m
P1,12/12/2004,Belenenses,Benfica,4.0,1.0,H,3.0,0.0,3.6,3.25,1.83,3.7,3.3,1.85,3.6,3.1,1.85,3.8,3.25,1.8,2004/5,€24.35m,€120.05m
P1,12/12/2004,Estoril,Nacional,2.0,0.0,H,1.0,0.0,2.0,3.2,3.2,1.9,3.3,3.55,1.9,3.1,3.5,2.0,3.2,3.2,2004/5,€6.63m,€10.25m
P1,12/12/2004,Leiria,Gil Vicente,1.0,1.0,D,0.0,1.0,1.61,3.25,5.0,1.65,3.35,4.8,1.7,3.2,4.2,1.65,3.35,4.5,2004/5,€17.83m,€8.20m
P1,12/12/2004,Penafiel,Guimaraes,1.0,3.0,A,0.0,2.0,2.1,3.2,3.0,1.95,3.25,3.45,2.2,2.9,3.0,2.1,3.2,3.0,2004/5,€5.73m,€20.40m
P1,17/12/2004,Porto,Moreirense,1.0,0.0,H,1.0,0.0,1.2,5.0,11.0,1.15,6.0,13.0,1.22,4.8,9.5,1.22,5.0,9.5,2004/5,€158.15m,€6.15m
P1,18/12/2004,Benfica,Penafiel,1.0,0.0,H,1.0,0.0,1.3,4.33,8.0,1.3,4.5,8.25,1.27,4.3,8.5,1.3,4.33,8.0,2004/5,€120.05m,€5.73m
P1,18/12/2004,Sp Braga,Boavista,3.0,0.0,H,2.0,0.0,2.37,3.1,2.62,2.3,3.2,2.75,2.3,2.8,2.9,2.3,3.1,2.7,2004/5,€33.05m,€29.10m
P1,19/12/2004,Academica,Beira Mar,1.0,1.0,D,1.0,0.0,2.0,3.2,3.2,2.3,3.2,2.75,1.9,3.1,3.5,2.0,3.2,3.2,2004/5,€13.73m,€8.10m
P1,19/12/2004,Gil Vicente,Estoril,2.0,0.0,H,0.0,0.0,1.8,3.3,3.75,1.8,3.4,3.8,1.85,3.1,3.6,1.8,3.3,3.75,2004/5,€8.20m,€6.63m
P1,19/12/2004,Maritimo,Rio Ave,1.0,1.0,D,1.0,0.0,1.8,3.2,4.0,1.85,3.35,3.65,1.85,3.1,3.6,1.8,3.3,3.75,2004/5,€21.20m,€11.10m
P1,19/12/2004,Nacional,Belenenses,2.0,0.0,H,1.0,0.0,2.1,3.0,3.2,2.25,3.2,2.8,2.3,2.8,2.9,2.2,3.1,2.9,2004/5,€10.25m,€24.35m
