Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
B1,10/11/2004,Genk,Gent,1.0,1.0,D,0.0,0.0,1.83,3.25,3.75,1.75,3.4,4.05,1.8,3.1,3.8,1.7,3.25,4.3,2004/5,€30.45m,€26.63m
B1,10/11/2004,Germinal,Club Brugge,0.0,1.0,A,0.0,1.0,5.0,3.5,1.57,5.8,3.65,1.5,5.0,3.7,1.5,5.0,3.55,1.55,2004/5,€15.67m,€53.03m
B1,10/11/2004,Lokeren,Beveren,1.0,1.0,D,0.0,0.0,1.72,3.4,4.0,1.7,3.45,4.3,1.8,3.1,3.8,1.7,3.25,4.3,2004/5,€18.73m,€14.30m
B1,10/11/2004,Louvieroise,St Truiden,1.0,0.0,H,0.0,0.0,1.57,3.5,5.0,1.5,3.65,5.8,1.65,3.3,4.4,1.55,3.55,5.0,2004/5,€17.80m,€12.10m
B1,10/11/2004,Mouscron,Charleroi,0.0,1.0,A,0.0,0.0,1.9,3.2,3.4,1.95,3.25,3.4,1.9,3.1,3.5,2.05,3.15,3.1,2004/5,€15.60m,€12.15m
B1,10/11/2004,Standard,Anderlecht,1.0,0.0,H,0.0,0.0,3.0,3.2,2.1,3.3,3.25,2.0,2.7,3.0,2.3,3.2,3.05,2.05,2004/5,€43.55m,€63.60m
B1,10/11/2004,Westerlo,Bergen,2.0,1.0,H,2.0,0.0,1.66,3.4,4.33,1.6,3.5,4.9,1.75,3.2,4.0,1.7,3.4,4.1,2004/5,€13.40m,€15.63m
B1,27/11/2004,Anderlecht,Westerlo,4.0,0.0,H,2.0,0.0,1.25,4.5,10.0,1.25,5.0,9.0,1.25,4.5,9.0,1.2,5.0,11.0,2004/5,€63.60m,€13.40m
B1,27/11/2004,Beveren,Louvieroise,0.0,2.0,A,0.0,0.0,2.3,3.25,2.62,2.3,3.2,2.75,2.2,3.0,2.9,2.3,3.2,2.62,2004/5,€14.30m,€17.80m
B1,27/11/2004,Charleroi,Cercle Brugge,5.0,1.0,H,2.0,1.0,1.83,3.3,3.6,1.85,3.3,3.7,1.9,3.1,3.5,1.8,3.25,3.8,2004/5,€12.15m,€10.98m
B1,27/11/2004,Gent,Lokeren,3.0,1.0,H,2.0,1.0,1.8,3.3,3.75,1.8,3.4,3.8,1.85,3.1,3.6,1.72,3.2,4.33,2004/5,€26.63m,€18.73m
B1,27/11/2004,Oostende,Genk,1.0,3.0,A,0.0,1.0,3.5,3.4,1.83,3.8,3.4,1.8,3.8,3.1,1.8,4.2,3.25,1.72,2004/5,€8.60m,€30.45m
B1,28/11/2004,Bergen,Germinal,0.0,1.0,A,0.0,0.0,2.5,3.1,2.5,2.6,3.2,2.4,2.4,3.0,2.6,2.5,3.1,2.5,2004/5,€15.63m,€15.67m
