Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
F1,25/09/2004,Nice,Stade Rennais FC,2.0,0.0,H,2.0,0.0,2.2,3.0,3.1,2.25,3.1,2.9,2.2,2.9,3.0,2.2,3.0,3.0,2004/5,€34.45m,€61.30m
F1,25/09/2004,Paris SG,Strasbourg,1.0,0.0,H,0.0,0.0,1.57,3.4,5.5,1.45,3.7,6.5,1.5,3.5,5.4,1.53,3.25,6.0,2004/5,€81.75m,€35.10m
F1,25/09/2004,Sochaux,St Etienne,2.0,1.0,H,1.0,1.0,1.72,3.25,4.33,1.7,3.1,5.0,1.75,3.2,4.0,1.83,3.0,4.0,2004/5,€49.65m,€37.50m
F1,26/09/2004,Nantes,Lens,1.0,0.0,H,0.0,0.0,2.1,3.0,3.25,2.1,3.1,3.2,2.2,2.9,3.0,2.15,2.9,3.2,2004/5,€47.35m,€52.50m
F1,02/10/2004,Bastia,Paris SG,1.0,2.0,A,1.0,2.0,2.37,3.0,2.75,2.5,3.15,2.6,2.3,2.9,2.8,2.4,2.87,2.8,2004/5,€31.85m,€81.75m
F1,02/10/2004,Caen,Bordeaux,1.0,1.0,D,1.0,0.0,2.37,3.2,2.62,2.35,3.15,2.8,2.4,2.9,2.7,2.5,2.9,2.62,2004/5,€22.70m,€52.60m
F1,02/10/2004,Istres,Marseille,0.0,2.0,A,0.0,1.0,3.1,3.0,2.2,3.2,3.2,2.05,3.4,2.9,2.0,3.75,3.0,1.9,2004/5,€18.50m,€78.60m
F1,02/10/2004,Lens,Ajaccio,1.0,1.0,D,1.0,1.0,1.61,3.25,5.0,1.6,3.4,5.5,1.6,3.3,4.8,1.61,3.1,5.5,2004/5,€52.50m,€24.55m
F1,02/10/2004,Monaco,Nice,3.0,4.0,A,2.0,0.0,1.44,3.6,7.0,1.4,3.9,7.5,1.55,3.4,5.0,1.5,3.3,6.5,2004/5,€103.80m,€34.45m
F1,02/10/2004,Strasbourg,Nantes,0.0,2.0,A,0.0,1.0,2.37,3.0,2.75,2.3,3.1,2.9,2.4,2.9,2.7,2.4,2.87,2.8,2004/5,€35.10m,€47.35m
F1,03/10/2004,Metz,Sochaux,0.0,0.0,D,0.0,0.0,2.2,3.0,3.1,2.0,3.25,3.4,2.2,2.9,3.0,2.1,2.87,3.3,2004/5,€35.70m,€49.65m
F1,03/10/2004,Stade Rennais FC,Lille,0.0,1.0,A,0.0,0.0,2.1,3.0,3.25,2.1,3.15,3.25,1.9,3.1,3.5,2.0,2.87,3.6,2004/5,€61.30m,€56.25m
F1,03/10/2004,St Etienne,Lyon,2.0,3.0,A,0.0,1.0,3.5,3.0,2.0,3.75,3.25,1.9,3.2,2.9,2.1,3.75,3.0,1.9,2004/5,€37.50m,€133.90m
F1,03/10/2004,Toulouse,Auxerre,1.0,2.0,A,1.0,0.0,2.2,3.0,3.1,2.15,3.15,3.15,2.2,2.9,3.0,2.15,3.0,3.1,2004/5,€37.10m,€47.85m
F1,15/10/2004,Lyon,Caen,4.0,0.0,H,3.0,0.0,1.36,4.0,7.5,1.35,4.0,9.0,1.4,3.7,6.5,1.4,3.5,8.0,2004/5,€133.90m,€22.70m
F1,16/10/2004,Ajaccio,Strasbourg,2.0,2.0,D,0.0,1.0,2.0,3.0,3.5,2.05,3.0,3.55,1.9,3.1,3.5,1.9,3.0,3.75,2004/5,€24.55m,€35.10m
F1,16/10/2004,Auxerre,Lens,3.0,0.0,H,2.0,0.0,1.72,3.25,4.33,1.7,3.3,4.75,1.8,3.1,3.8,1.8,3.0,4.2,2004/5,€47.85m,€52.50m
F1,16/10/2004,Bordeaux,Istres,2.0,2.0,D,1.0,1.0,1.4,3.75,7.5,1.55,3.5,5.75,1.45,3.6,5.8,1.5,3.3,6.5,2004/5,€52.60m,€18.50m
F1,16/10/2004,Lille,Bastia,2.0,1.0,H,1.0,1.0,1.61,3.4,5.0,1.6,3.5,5.25,1.7,3.2,4.2,1.7,3.0,5.0,2004/5,€56.25m,€31.85m
F1,16/10/2004,Metz,Monaco,1.0,1.0,D,0.0,0.0,3.0,3.0,2.25,2.75,3.1,2.4,2.8,2.9,2.3,3.1,2.87,2.2,2004/5,€35.70m,€103.80m
F1,16/10/2004,Nantes,Paris SG,1.0,0.0,H,0.0,0.0,2.25,3.0,3.0,2.4,3.1,2.75,2.2,3.0,2.9,2.37,2.9,2.8,2004/5,€47.35m,€81.75m
F1,16/10/2004,Nice,Toulouse,1.0,0.0,H,1.0,0.0,2.0,3.0,3.5,2.15,3.1,3.2,2.1,2.8,3.3,2.0,3.0,3.4,2004/5,€34.45m,€37.10m
F1,16/10/2004,Sochaux,Stade Rennais FC,3.0,0.0,H,1.0,0.0,1.83,3.25,3.75,1.95,3.15,3.65,1.9,3.1,3.5,1.83,3.0,4.0,2004/5,€49.65m,€61.30m
F1,17/10/2004,Marseille,St Etienne,1.0,1.0,D,0.0,1.0,1.5,3.5,6.0,1.4,4.0,7.25,1.45,3.6,5.8,1.44,3.5,7.0,2004/5,€78.60m,€37.50m
F1,23/10/2004,Caen,Nantes,2.0,1.0,H,1.0,1.0,2.3,2.87,3.0,2.35,3.05,2.85,2.4,2.9,2.7,2.3,2.9,2.9,2004/5,€22.70m,€47.35m
F1,23/10/2004,Istres,Lyon,0.0,0.0,D,0.0,0.0,5.0,3.2,1.66,5.0,3.4,1.65,4.4,3.3,1.65,5.0,3.3,1.61,2004/5,€18.50m,€133.90m
F1,23/10/2004,Paris SG,Ajaccio,1.0,0.0,H,1.0,0.0,1.57,3.4,5.5,1.5,3.55,6.5,1.5,3.5,5.4,1.53,3.3,6.0,2004/5,€81.75m,€24.55m
