Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,30/09/2017,PSV Eindhoven,Willem II,4.0,0.0,H,0.0,0.0,D,1.17,7.0,15.0,1.17,6.75,14.5,1.18,6.5,15.0,2017/18,€174.45m,€18.65m,1.18,7.0,17.0,20.0,7.0,9.0,5.0,9.0,10.0,3.0,2.0,0.0,3.0,0.0,0.0
N1,30/09/2017,Zwolle,Groningen,3.0,2.0,H,1.0,1.0,D,2.0,3.4,3.75,2.05,3.6,3.3,2.0,3.5,3.4,2017/18,€26.33m,€30.30m,2.0,3.75,3.5,23.0,13.0,12.0,5.0,13.0,14.0,3.0,4.0,4.0,1.0,0.0,1.0
N1,01/10/2017,AZ Alkmaar,Feyenoord,0.0,4.0,A,0.0,3.0,A,3.1,3.4,2.25,3.0,3.4,2.25,2.87,3.4,2.25,2017/18,€70.68m,€104.20m,3.0,3.6,2.3,9.0,10.0,2.0,4.0,16.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0
N1,01/10/2017,Heerenveen,Ajax,0.0,4.0,A,0.0,2.0,A,4.75,4.0,1.67,4.5,4.0,1.67,4.33,3.75,1.7,2017/18,€39.13m,€251.00m,4.6,4.0,1.73,14.0,19.0,4.0,8.0,17.0,18.0,6.0,4.0,5.0,3.0,0.0,0.0
N1,01/10/2017,Sparta Rotterdam,Roda,1.0,2.0,A,0.0,2.0,A,1.73,3.5,5.0,1.78,3.5,4.5,1.83,3.5,4.0,2017/18,€15.45m,€13.28m,1.8,3.6,4.6,21.0,5.0,8.0,2.0,15.0,15.0,12.0,5.0,1.0,3.0,0.0,0.0
N1,01/10/2017,Vitesse,Utrecht,1.0,1.0,D,0.0,0.0,D,2.2,3.25,3.3,2.15,3.4,3.2,2.2,3.3,3.0,2017/18,€39.78m,€46.63m,2.3,3.5,3.0,14.0,7.0,4.0,1.0,10.0,18.0,4.0,3.0,2.0,2.0,0.0,0.0
N1,14/10/2017,Ajax,Sparta Rotterdam,4.0,0.0,H,1.0,0.0,H,1.13,8.5,17.0,1.12,9.25,19.0,1.11,8.5,23.0,2017/18,€251.00m,€15.45m,1.11,9.0,26.0,25.0,6.0,14.0,2.0,16.0,18.0,8.0,1.0,1.0,1.0,0.0,0.0
N1,14/10/2017,Feyenoord,Zwolle,0.0,0.0,D,0.0,0.0,D,1.33,5.0,9.0,1.4,4.75,8.0,1.33,4.8,7.5,2017/18,€104.20m,€26.33m,1.33,5.5,8.5,18.0,10.0,5.0,3.0,9.0,18.0,10.0,4.0,2.0,3.0,0.0,0.0
N1,14/10/2017,Roda,NAC Breda,1.0,0.0,H,0.0,0.0,D,2.88,3.25,2.45,2.8,3.5,2.45,2.7,3.25,2.45,2017/18,€13.28m,€17.15m,2.88,3.3,2.5,12.0,9.0,4.0,3.0,14.0,12.0,4.0,1.0,1.0,2.0,0.0,0.0
N1,14/10/2017,Utrecht,Heerenveen,3.0,1.0,H,2.0,1.0,H,1.91,3.6,3.8,1.95,3.9,3.6,1.95,3.5,3.5,2017/18,€46.63m,€39.13m,1.95,3.75,3.7,10.0,8.0,4.0,2.0,10.0,15.0,2.0,8.0,2.0,2.0,0.0,0.0
N1,15/10/2017,Den Haag,Excelsior,1.0,2.0,A,1.0,1.0,D,2.1,3.4,3.4,2.1,3.6,3.4,2.1,3.3,3.25,2017/18,€23.63m,€14.80m,2.15,3.5,3.4,8.0,11.0,3.0,6.0,12.0,23.0,8.0,4.0,4.0,4.0,1.0,0.0
N1,15/10/2017,Groningen,AZ Alkmaar,1.0,1.0,D,0.0,1.0,A,3.5,3.5,2.05,3.6,3.5,2.05,3.1,3.6,2.05,2017/18,€30.30m,€70.68m,3.1,3.75,2.15,8.0,22.0,4.0,8.0,14.0,10.0,4.0,7.0,4.0,1.0,0.0,0.0
N1,15/10/2017,Heracles,Vitesse,1.0,1.0,D,0.0,0.0,D,3.4,3.4,2.1,3.5,3.6,2.05,3.25,3.5,2.05,2017/18,€22.25m,€39.78m,3.5,3.6,2.05,12.0,12.0,4.0,3.0,16.0,20.0,2.0,4.0,1.0,1.0,0.0,0.0
N1,15/10/2017,VVV Venlo,PSV Eindhoven,2.0,5.0,A,1.0,1.0,D,7.0,4.33,1.44,6.75,4.5,1.48,6.0,4.2,1.44,2017/18,€13.58m,€174.45m,6.0,4.5,1.5,9.0,34.0,6.0,13.0,8.0,9.0,4.0,11.0,1.0,2.0,1.0,0.0
N1,15/10/2017,Willem II,Twente,3.0,1.0,H,1.0,1.0,D,2.45,3.3,2.8,2.55,3.3,2.8,2.45,3.3,2.65,2017/18,€18.65m,€22.15m,2.55,3.4,2.75,6.0,10.0,4.0,3.0,17.0,16.0,2.0,1.0,3.0,1.0,0.0,0.0
N1,20/10/2017,Groningen,Willem II,0.0,1.0,A,0.0,1.0,A,1.83,3.6,4.2,1.85,3.8,4.1,1.91,3.5,3.7,2017/18,€30.30m,€18.65m,1.85,3.8,4.1,15.0,10.0,5.0,3.0,11.0,17.0,4.0,7.0,2.0,0.0,1.0,0.0
N1,21/10/2017,Excelsior,Sparta Rotterdam,1.0,1.0,D,0.0,0.0,D,2.0,3.5,3.6,2.05,3.5,3.6,2.0,3.4,3.4,2017/18,€14.80m,€15.45m,2.05,3.5,3.6,8.0,15.0,4.0,6.0,20.0,14.0,4.0,12.0,4.0,2.0,0.0,0.0
N1,21/10/2017,NAC Breda,Zwolle,0.0,2.0,A,0.0,1.0,A,2.87,3.39,2.37,2.7,3.6,2.5,2.75,3.3,2.35,2017/18,€17.15m,€26.33m,2.8,3.5,2.45,15.0,22.0,6.0,8.0,11.0,12.0,9.0,7.0,2.0,2.0,0.0,0.0
N1,21/10/2017,Twente,Roda,3.0,0.0,H,1.0,0.0,H,1.55,4.0,5.75,1.57,4.0,6.25,1.57,3.9,5.2,2017/18,€22.15m,€13.28m,1.57,4.2,5.75,13.0,5.0,5.0,2.0,10.0,11.0,4.0,2.0,2.0,2.0,0.0,0.0
N1,21/10/2017,VVV Venlo,Den Haag,0.0,2.0,A,0.0,0.0,D,1.85,3.89,3.75,1.91,3.6,4.0,1.85,3.4,4.0,2017/18,€13.58m,€23.63m,1.85,3.7,4.2,9.0,5.0,4.0,2.0,10.0,11.0,7.0,3.0,2.0,0.0,0.0,0.0
N1,22/10/2017,AZ Alkmaar,Utrecht,3.0,0.0,H,1.0,0.0,H,2.0,3.75,3.39,2.05,3.8,3.3,2.0,3.6,3.2,2017/18,€70.68m,€46.63m,2.1,3.9,3.1,14.0,10.0,6.0,3.0,16.0,14.0,5.0,5.0,3.0,2.0,0.0,0.0
N1,22/10/2017,Feyenoord,Ajax,1.0,4.0,A,0.0,0.0,D,2.79,3.39,2.39,3.0,3.5,2.3,2.8,3.3,2.3,2017/18,€104.20m,€251.00m,2.8,3.5,2.45,10.0,13.0,4.0,7.0,18.0,20.0,1.0,5.0,2.0,4.0,0.0,0.0
N1,22/10/2017,Heerenveen,Vitesse,0.0,4.0,A,0.0,2.0,A,2.04,3.6,3.29,2.0,3.7,3.6,2.0,3.5,3.3,2017/18,€39.13m,€39.78m,2.15,3.6,3.25,9.0,13.0,2.0,5.0,17.0,13.0,2.0,4.0,0.0,0.0,0.0,0.0
N1,22/10/2017,PSV Eindhoven,Heracles,3.0,0.0,H,1.0,0.0,H,1.16,7.0,15.0,1.19,7.5,13.0,1.17,7.0,15.0,2017/18,€174.45m,€22.25m,1.17,8.0,15.0,24.0,7.0,6.0,3.0,14.0,16.0,11.0,4.0,1.0,3.0,0.0,1.0
N1,27/10/2017,Twente,Excelsior,1.0,3.0,A,1.0,1.0,D,1.72,3.79,4.5,1.83,3.7,4.33,1.75,3.7,4.2,2017/18,€22.15m,€14.80m,1.75,3.9,4.5,17.0,8.0,7.0,5.0,11.0,18.0,10.0,3.0,2.0,1.0,0.0,0.0
N1,28/10/2017,Heracles,VVV Venlo,3.0,0.0,H,2.0,0.0,H,2.37,3.6,2.75,2.3,3.6,2.95,2.35,3.4,2.75,2017/18,€22.25m,€13.58m,2.4,3.6,2.8,19.0,14.0,9.0,5.0,10.0,10.0,8.0,3.0,1.0,1.0,0.0,0.0
