Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
T1,18/09/2004,Samsunspor,Istanbulspor,2.0,1.0,H,1.0,0.0,1.72,3.5,4.0,1.65,3.4,4.7,1.85,3.1,3.6,1.75,3.4,3.85,2004/5,€34.65m,€27.55m
T1,19/09/2004,Ankaragucu,Genclerbirligi,1.0,0.0,H,1.0,0.0,2.25,3.2,2.75,2.3,3.2,2.75,2.5,3.0,2.5,2.65,3.2,2.3,2004/5,€32.76m,€46.95m
T1,19/09/2004,Besiktas,Galatasaray,0.0,0.0,D,0.0,0.0,2.25,3.0,2.87,2.1,3.2,3.1,2.3,3.0,2.7,2.2,3.0,3.0,2004/5,€76.25m,€79.65m
T1,19/09/2004,Rizespor,Kayserispor,2.0,1.0,H,1.0,1.0,1.66,3.4,4.33,1.5,3.6,6.0,1.6,3.4,4.6,1.6,3.4,4.8,2004/5,€22.85m,€30.03m
T1,19/09/2004,Trabzonspor,Gaziantepspor,0.0,0.0,D,0.0,0.0,1.57,3.5,5.0,1.65,3.5,4.5,1.5,3.7,5.0,1.65,3.4,4.5,2004/5,€63.60m,€38.60m
T1,24/09/2004,Genclerbirligi,Fenerbahce,1.0,2.0,A,0.0,0.0,3.6,3.4,1.8,4.5,3.5,1.65,3.2,3.1,2.0,4.2,3.4,1.7,2004/5,€46.95m,€90.60m
T1,25/09/2004,A. Sebatspor,Rizespor,0.0,0.0,D,0.0,0.0,2.5,3.1,2.5,2.75,3.4,2.2,2.5,3.0,2.5,2.65,3.2,2.3,2004/5,€26.73m,€22.85m
T1,25/09/2004,Besiktas,Ankaraspor,2.0,3.0,A,0.0,1.0,1.33,4.33,7.0,1.3,4.3,8.5,1.3,4.2,8.0,1.36,4.0,7.0,2004/5,€76.25m,€32.75m
T1,25/09/2004,Kayserispor,Samsunspor,1.0,4.0,A,0.0,1.0,2.37,3.2,2.6,2.4,3.4,2.5,2.3,3.0,2.7,2.35,3.2,2.6,2004/5,€30.03m,€34.65m
T1,25/09/2004,Sakaryaspor,Trabzonspor,1.0,3.0,A,1.0,1.0,7.0,3.75,1.4,8.25,4.5,1.3,5.4,3.8,1.45,6.4,3.85,1.4,2004/5,€14.85m,€63.60m
T1,26/09/2004,Denizlispor,Ankaragucu,2.0,0.0,H,0.0,0.0,1.72,3.2,4.33,1.8,3.35,3.85,1.75,3.2,4.0,1.7,3.4,4.1,2004/5,€27.24m,€32.76m
T1,26/09/2004,Galatasaray,Istanbulspor,4.0,1.0,H,1.0,0.0,1.2,5.0,11.0,1.15,6.5,11.5,1.3,4.2,8.0,1.25,5.0,8.0,2004/5,€79.65m,€27.55m
T1,26/09/2004,Gaziantepspor,Diyarbakirspor,1.0,1.0,D,0.0,0.0,1.5,3.6,5.5,1.5,3.6,6.0,1.45,3.8,5.4,1.45,3.75,6.0,2004/5,€38.60m,€22.93m
T1,01/10/2004,Ankaraspor,Galatasaray,0.0,2.0,A,0.0,1.0,4.5,3.5,1.61,4.5,3.5,1.65,4.0,3.2,1.75,4.5,3.3,1.66,2004/5,€32.75m,€79.65m
T1,02/10/2004,Ankaragucu,Gaziantepspor,2.0,1.0,H,1.0,1.0,2.6,3.2,2.4,2.55,3.2,2.45,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€32.76m,€38.60m
T1,02/10/2004,Diyarbakirspor,Sakaryaspor,1.0,0.0,H,0.0,0.0,1.53,3.5,5.5,1.55,3.5,5.5,1.65,3.3,4.4,1.55,3.6,5.0,2004/5,€22.93m,€14.85m
T1,02/10/2004,Fenerbahce,Denizlispor,2.0,0.0,H,0.0,0.0,1.36,4.0,7.0,1.35,4.2,7.5,1.4,3.9,6.0,1.33,4.2,7.5,2004/5,€90.60m,€27.24m
T1,02/10/2004,Rizespor,Malatyaspor,0.0,1.0,A,0.0,1.0,2.2,3.2,2.8,2.25,3.3,2.75,2.2,3.0,2.9,2.1,3.25,2.9,2004/5,€22.85m,€33.95m
T1,03/10/2004,Istanbulspor,Kayserispor,2.0,0.0,H,0.0,0.0,2.1,3.25,3.0,2.0,3.45,3.1,1.9,3.3,3.3,2.0,3.3,3.1,2004/5,€27.55m,€30.03m
T1,03/10/2004,Konyaspor,Genclerbirligi,3.0,2.0,H,1.0,1.0,2.4,3.2,2.6,2.5,3.4,2.4,2.3,3.1,2.6,2.55,3.15,2.4,2004/5,€37.25m,€46.95m
T1,03/10/2004,Samsunspor,A. Sebatspor,3.0,0.0,H,1.0,0.0,1.66,3.4,4.33,1.65,3.5,4.5,1.65,3.3,4.4,1.65,3.3,4.7,2004/5,€34.65m,€26.73m
T1,03/10/2004,Trabzonspor,Besiktas,1.0,0.0,H,1.0,0.0,2.0,3.2,3.2,1.9,3.35,3.5,1.85,3.2,3.5,2.1,3.2,3.0,2004/5,€63.60m,€76.25m
T1,16/10/2004,Besiktas,Diyarbakirspor,4.0,0.0,H,2.0,0.0,1.5,3.4,6.0,1.4,4.0,6.75,1.5,3.7,5.0,1.5,3.4,6.0,2004/5,€76.25m,€22.93m
T1,16/10/2004,Gaziantepspor,Fenerbahce,0.0,1.0,A,0.0,0.0,3.5,3.2,1.9,4.0,3.45,1.75,3.2,3.1,2.0,3.5,3.2,1.9,2004/5,€38.60m,€90.60m
T1,16/10/2004,Genclerbirligi,Rizespor,2.0,1.0,H,2.0,0.0,1.8,3.3,3.75,1.8,3.45,3.75,1.75,3.2,4.0,1.8,3.3,3.75,2004/5,€46.95m,€22.85m
T1,16/10/2004,Sakaryaspor,Ankaragucu,1.0,0.0,H,1.0,0.0,3.0,3.2,2.1,3.6,3.4,1.85,2.7,3.0,2.3,3.2,3.2,2.0,2004/5,€14.85m,€32.76m
T1,17/10/2004,A. Sebatspor,Istanbulspor,2.0,2.0,D,1.0,2.0,2.0,3.2,3.2,2.1,3.5,2.85,2.2,3.1,2.8,2.3,3.15,2.7,2004/5,€26.73m,€27.55m
T1,17/10/2004,Ankaraspor,Trabzonspor,1.0,1.0,D,0.0,0.0,4.5,3.5,1.61,4.3,3.4,1.7,4.4,3.3,1.65,4.5,3.4,1.65,2004/5,€32.75m,€63.60m
T1,17/10/2004,Denizlispor,Konyaspor,2.0,1.0,H,1.0,0.0,1.57,3.5,5.0,1.55,3.5,5.5,1.65,3.3,4.4,1.5,3.6,5.5,2004/5,€27.24m,€37.25m
T1,17/10/2004,Galatasaray,Kayserispor,5.0,1.0,H,2.0,0.0,1.16,6.0,10.0,1.15,6.0,13.0,1.15,6.0,12.0,1.14,6.0,12.0,2004/5,€79.65m,€30.03m
T1,17/10/2004,Malatyaspor,Samsunspor,1.0,2.0,A,0.0,1.0,1.72,3.4,4.0,1.8,3.35,3.85,1.75,3.2,4.0,1.7,3.4,4.2,2004/5,€33.95m,€34.65m
T1,23/10/2004,Istanbulspor,Malatyaspor,0.0,2.0,A,0.0,0.0,2.75,3.25,2.2,2.85,3.35,2.15,3.1,3.0,2.1,2.75,3.25,2.2,2004/5,€27.55m,€33.95m
T1,23/10/2004,Konyaspor,Gaziantepspor,2.0,2.0,D,1.0,1.0,2.4,3.4,2.4,2.35,3.15,2.7,2.5,3.0,2.5,2.5,3.15,2.45,2004/5,€37.25m,€38.60m
T1,23/10/2004,Samsunspor,Genclerbirligi,2.0,0.0,H,1.0,0.0,1.8,3.4,3.75,1.85,3.35,3.7,1.9,3.1,3.5,1.9,3.3,3.3,2004/5,€34.65m,€46.95m
T1,23/10/2004,Trabzonspor,Galatasaray,0.0,1.0,A,0.0,0.0,2.2,3.25,2.75,2.35,3.25,2.65,2.3,3.0,2.7,2.37,3.1,2.62,2004/5,€63.60m,€79.65m
