Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA,isSuprise_H,isSuprise_D,isSuprise_A
P1,03/10/04,Porto,Belenenses,H,1.36,4.0,7.0,1.3,4.5,8.25,1.3,4.6,8.0,1.35,4.0,7.0,1.0,1.0,1.0,1.33,4.0,8.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,04/10/04,Sp Lisbon,Leiria,D,1.44,3.6,6.5,1.35,4.2,7.5,1.45,3.75,6.4,1.4,3.7,6.5,1.0,1.0,1.0,1.4,3.75,7.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,05/10/04,Sp Braga,Nacional,H,1.9,3.2,3.5,1.8,3.4,3.8,1.75,3.4,3.05,1.8,3.1,3.8,1.0,1.0,1.0,1.85,3.25,3.6,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,10/10/04,Beira Mar,Maritimo,D,2.1,3.2,3.0,2.1,3.25,3.05,2.2,3.05,3.0,2.2,2.9,3.0,1.0,1.0,1.0,2.25,3.0,2.88,2.25,3.0,2.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
P1,15/10/04,Gil Vicente,Sp Braga,A,2.4,3.1,2.6,2.35,3.2,2.65,2.5,3.2,2.5,2.3,3.0,2.7,2.5,3.2,2.5,2.5,3.1,2.5,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,16/10/04,Estoril,Sp Lisbon,A,3.5,3.2,1.9,3.4,3.25,1.95,3.5,3.2,1.95,3.5,3.1,1.9,1.0,1.0,1.0,3.5,3.2,1.91,3.3,3.25,1.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,16/10/04,Maritimo,Moreirense,H,1.53,3.5,5.5,1.55,3.6,5.3,1.5,3.6,5.9,1.55,3.5,4.8,1.0,1.0,1.0,1.57,3.5,5.0,1.57,3.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,16/10/04,Nacional,Guimaraes,H,1.72,3.4,4.0,1.75,3.4,4.05,1.8,3.2,4.1,1.9,3.1,3.5,1.0,1.0,1.0,1.8,3.1,4.0,1.8,3.4,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,17/10/04,Belenenses,Penafiel,H,1.66,3.4,4.33,1.7,3.45,4.3,1.7,3.3,4.5,1.7,3.2,4.2,1.0,1.0,1.0,1.73,3.25,4.2,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,17/10/04,Benfica,Porto,A,2.37,3.0,2.75,2.3,3.2,2.75,2.3,3.0,2.9,2.1,3.0,3.1,1.0,1.0,1.0,2.25,3.1,2.8,2.37,2.9,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
