Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP
SP1,2004/5,22/09/2004,Albacete,Mallorca,D,17.75,42.65,4,4,0,0,2.25,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.75,2.35,3.2,2.9,2.1,3.0,3.1,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.1,2.62,0,1,0,1,20,11,1,1,1,4,4,4,3,3,3,3,3,3,0,0
SP1,2004/5,22/09/2004,Betis,Ath Bilbao,H,85.15,53.05,4,4,2,1,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,3.0,2.3,3.2,3.0,2.2,2.9,3.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.1,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,0,0,0,0,12,18,3,4,4,1,2,2,5,6,6,4,5,5,0,0
SP1,2004/5,22/09/2004,Getafe,Espanol,H,13.85,45.15,4,4,1,0,2.62,3.2,2.37,1.0,1.0,1.0,1.0,1.0,1.0,2.65,3.25,2.35,2.85,3.2,2.4,2.8,2.9,2.3,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6,3.1,2.4,0,0,0,0,17,4,3,3,3,6,7,7,2,3,3,5,6,6,0,0
SP1,2004/5,22/09/2004,La Coruna,Valencia,A,144.45,195.9,4,4,1,5,2.4,3.2,2.6,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.65,2.4,3.2,2.85,2.2,3.0,2.9,2.38,3.0,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.6,0,0,0,0,15,1,3,4,4,7,10,10,4,5,5,10,12,12,0,0
SP1,2004/5,22/09/2004,Levante,Ath Madrid,H,24.25,125.65,4,4,1,0,2.62,3.2,2.37,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.15,2.35,2.75,3.25,2.4,2.8,2.9,2.3,2.6,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6,3.1,2.4,0,0,0,0,10,5,6,7,7,4,7,7,4,5,5,3,5,5,0,0
SP1,2004/5,22/09/2004,Malaga,Numancia,H,32.85,13.4,4,4,4,1,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.2,4.0,1.8,3.3,4.5,1.85,3.0,3.8,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.1,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.0,0,0,0,0,7,13,7,7,7,3,4,4,6,6,6,2,3,3,0,0
SP1,2004/5,22/09/2004,Sociedad,Santander,A,53.55,32.9,4,4,0,1,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.5,1.8,3.3,4.5,1.75,3.1,4.2,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,1,1,19,14,1,2,2,4,4,4,1,2,2,3,3,3,0,0
SP1,2004/5,22/09/2004,Villarreal,Sevilla,D,66.25,70.55,4,4,0,0,2.2,3.2,2.87,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.3,3.5,2.1,3.25,3.4,2.0,3.0,3.3,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,0,1,0,1,16,8,3,3,3,4,7,7,1,2,2,3,4,4,0,0
SP1,2004/5,23/09/2004,Barcelona,Zaragoza,H,273.03,51.13,4,4,4,1,1.33,4.0,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,9.0,1.33,4.5,9.0,1.3,4.2,8.0,1.33,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.36,3.75,8.0,0,0,0,0,2,9,7,10,10,4,7,7,7,9,9,5,8,8,0,0
SP1,2004/5,25/09/2004,Ath Bilbao,Real Madrid,H,53.05,303.7,5,5,2,1,3.0,3.25,2.3,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.2,2.1,3.1,3.2,2.25,2.7,3.0,2.3,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.2,2.25,0,0,0,0,11,8,3,5,5,3,9,9,4,7,7,2,4,4,0,0
