Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
SC0,03/10/04,Rangers,Kilmarnock,H,1.2,5.5,11.0,1.18,5.75,11.0,1.2,5.35,11.0,1.22,4.8,9.5,1.2,5.0,11.0,1.2,5.5,10.0,1.2,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,16/10/04,Celtic,Hearts,H,1.16,6.0,13.0,1.2,5.65,10.0,1.2,5.5,10.5,1.2,5.0,10.0,1.17,5.5,12.0,1.17,6.0,11.0,1.16,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,16/10/04,Dundee,Kilmarnock,H,2.3,3.25,2.75,2.4,3.05,2.7,2.5,3.2,2.5,2.5,3.0,2.5,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.25,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,16/10/04,Hibernian,Dundee United,H,1.8,3.3,4.0,2.0,3.15,3.4,1.91,3.25,3.6,1.9,3.1,3.5,1.73,3.4,4.0,1.83,3.25,3.75,1.9,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,16/10/04,Inverness C,Aberdeen,A,4.5,3.5,1.66,4.5,3.5,1.65,4.75,3.3,1.67,3.8,3.1,1.8,3.75,3.25,1.8,4.0,3.25,1.8,3.75,3.3,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,16/10/04,Livingston,Dunfermline,H,2.1,3.4,3.0,2.25,3.1,2.9,2.25,3.25,2.8,2.3,2.8,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,17/10/04,Motherwell,Rangers,A,6.5,3.75,1.53,6.0,3.6,1.5,5.75,3.4,1.55,5.0,3.7,1.5,5.5,3.5,1.53,6.5,3.75,1.44,6.0,3.25,1.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,23/10/04,Aberdeen,Motherwell,H,2.1,3.4,3.0,1.95,3.2,3.5,2.0,3.1,3.45,2.0,3.1,3.2,2.0,3.2,3.2,1.91,3.2,3.6,2.1,3.1,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,23/10/04,Dundee,Dunfermline,A,1.9,3.4,3.5,1.9,3.2,3.65,1.95,3.2,3.5,2.0,3.1,3.2,1.91,3.4,3.25,1.91,3.25,3.5,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,23/10/04,Kilmarnock,Inverness C,D,1.57,3.6,5.0,1.55,3.5,5.5,1.6,3.5,5.0,1.6,3.4,4.6,1.62,3.5,4.5,1.62,3.4,5.0,1.61,3.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
