Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
B1,12/09/04,Lokeren,Louvieroise,H,2.2,3.0,3.0,2.1,3.25,3.05,2.1,3.2,3.1,2.0,3.1,3.2,1.91,3.25,3.4,2.1,3.2,3.0,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,12/09/04,Mouscron,Beveren,H,1.571,3.5,5.0,1.6,3.55,4.9,1.55,3.7,5.0,1.55,3.5,4.8,1.615,3.5,4.5,1.61,3.4,4.75,1.55,3.35,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,17/09/04,Louvieroise,Mouscron,H,2.2,3.2,2.8,2.2,3.2,2.9,2.25,3.15,2.85,2.3,2.9,2.8,2.38,3.2,2.6,2.25,3.25,2.7,2.15,3.1,2.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,18/09/04,Anderlecht,Lierse,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.27,4.3,8.5,1.29,4.33,9.0,1.25,5.0,8.0,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,18/09/04,Bergen,Charleroi,A,2.1,3.0,3.2,2.0,3.25,3.3,2.05,3.0,3.45,2.0,3.0,3.3,2.1,3.2,3.0,2.1,3.2,3.0,2.1,3.1,3.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,18/09/04,Germinal,FC Brussels,H,1.72,3.2,4.33,1.75,3.4,4.05,1.85,3.45,3.55,1.85,3.1,3.6,1.73,3.2,4.33,1.73,3.4,4.0,1.8,3.1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,18/09/04,St Truiden,Oostende,D,1.8,3.2,4.0,1.75,3.4,4.05,1.8,3.25,4.0,1.75,3.2,4.0,1.91,3.2,3.5,1.8,3.3,3.75,1.72,3.2,4.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,18/09/04,Westerlo,Genk,D,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.25,2.7,2.4,2.9,2.7,2.38,3.2,2.6,2.25,3.25,2.7,2.3,3.1,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,19/09/04,Beveren,Gent,A,2.1,3.2,3.0,2.15,3.25,2.95,2.1,3.35,2.95,2.2,3.0,2.9,2.25,3.2,2.75,2.1,3.25,2.9,2.05,3.1,3.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,19/09/04,Club Brugge,Cercle Brugge,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.22,4.8,9.5,1.25,4.5,10.0,1.25,5.0,8.0,1.28,4.5,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
