Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
N1,18/09/04,Twente,Willem II,D,2.1,3.2,3.0,2.0,3.35,3.2,2.1,3.3,3.0,1.9,3.1,3.5,2.0,3.2,3.2,2.1,3.2,3.0,2.0,3.3,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,18/09/04,Waalwijk,Roosendaal,H,1.83,3.2,3.75,1.9,3.4,3.4,1.85,3.25,3.8,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.25,3.4,1.8,3.4,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,19/09/04,Den Bosch,Ajax,A,6.0,3.75,1.44,5.6,3.75,1.5,6.0,4.3,1.4,6.0,3.9,1.4,6.5,4.0,1.4,6.0,3.75,1.44,6.0,3.75,1.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,19/09/04,Feyenoord,Utrecht,A,1.33,4.33,7.0,1.3,4.5,8.25,1.3,4.3,9.0,1.35,4.0,7.0,1.33,4.0,8.0,1.33,4.0,8.0,1.33,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,19/09/04,Roda JC,AZ Alkmaar,D,2.2,3.25,2.75,2.1,3.3,3.0,2.15,3.3,2.9,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,3.0,2.15,3.3,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,25/09/04,Ajax,Roda JC,H,1.25,5.0,8.0,1.25,5.25,8.0,1.27,4.5,9.5,1.25,4.5,9.0,1.3,4.0,9.0,1.25,4.75,8.5,1.28,4.5,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,25/09/04,AZ Alkmaar,Willem II,H,1.83,3.2,3.75,1.8,3.4,3.8,1.8,3.4,3.8,1.8,3.1,3.8,1.67,3.25,4.5,1.8,3.25,3.8,1.75,3.35,3.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,25/09/04,PSV Eindhoven,Heerenveen,H,1.36,4.0,7.0,1.3,4.5,8.25,1.3,4.5,8.0,1.35,4.0,7.0,1.3,4.33,8.0,1.36,4.0,7.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,25/09/04,Roosendaal,Feyenoord,A,4.33,3.4,1.66,5.25,3.6,1.55,5.0,3.5,1.6,4.6,3.4,1.6,5.5,3.6,1.5,5.0,3.5,1.57,4.5,3.5,1.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,25/09/04,Vitesse,Den Bosch,D,1.53,3.6,5.0,1.5,3.75,5.6,1.5,3.6,6.0,1.45,3.8,5.4,1.5,3.6,5.5,1.53,3.6,5.25,1.55,3.5,5.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
