Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SP1,03/10/2004,Villarreal,Zaragoza,H,2.1,3.25,3.0,1.9,3.25,3.75,2.0,3.0,3.3,2.0,3.1,3.3,2004/5,€66.25m,€51.13m,47.619,52.6316,50.0,50.0,30.7692,30.7692,32.2581,33.3333,33.3333,26.6667,30.303,30.303,H,50.0626,2.0477,31.7825,1.2496,30.1515,2.7272
SP1,16/10/2004,Betis,Real Madrid,D,3.5,3.2,2.1,3.15,3.25,2.1,3.1,3.0,2.1,3.0,3.1,2.15,2004/5,€85.15m,€303.70m,28.5714,31.746,33.3333,32.2581,31.25,30.7692,32.2581,33.3333,47.619,47.619,46.5116,47.619,A,31.4772,2.047,31.9026,1.1378,47.3421,0.5537
SP1,16/10/2004,Espanol,Barcelona,A,4.5,3.25,1.83,3.95,3.4,1.8,4.2,3.1,1.75,4.33,3.2,1.72,2004/5,€45.15m,€273.03m,22.2222,25.3165,23.0947,23.8095,30.7692,29.4118,31.25,32.2581,54.6448,55.5556,58.1395,57.1429,A,23.6107,1.3094,30.9223,1.1828,56.3707,1.5672
SP1,16/10/2004,La Coruna,Getafe,H,1.4,3.75,7.5,1.3,4.5,9.0,1.35,4.0,7.0,1.4,3.75,7.0,2004/5,€144.45m,€13.85m,71.4286,76.9231,71.4286,74.0741,26.6667,22.2222,26.6667,25.0,13.3333,11.1111,14.2857,14.2857,H,73.4636,2.6219,25.1389,2.0972,13.254,1.4975
SP1,17/10/2004,Ath Bilbao,Malaga,H,1.8,3.25,4.0,1.85,3.2,4.0,1.8,3.1,3.8,1.8,3.1,4.0,2004/5,€53.05m,€32.85m,55.5556,54.0541,55.5556,55.5556,30.7692,31.25,32.2581,32.2581,25.0,25.0,25.0,26.3158,H,55.1802,0.7508,31.6338,0.7471,25.329,0.6579
SP1,17/10/2004,Ath Madrid,Santander,H,1.57,3.4,5.5,1.45,3.75,7.0,1.45,3.8,5.4,1.57,3.3,5.5,2004/5,€125.65m,€32.90m,63.6943,68.9655,63.6943,68.9655,29.4118,26.6667,30.303,26.3158,18.1818,14.2857,18.1818,18.5185,H,66.3299,3.0433,28.1743,1.9824,17.292,2.0104
SP1,17/10/2004,Mallorca,Villarreal,D,2.37,3.2,2.62,2.45,3.1,2.7,2.5,3.0,2.5,2.3,3.1,2.75,2004/5,€42.65m,€66.25m,42.1941,40.8163,43.4783,40.0,31.25,32.2581,32.2581,33.3333,38.1679,37.037,36.3636,40.0,H,41.6222,1.5333,32.2749,0.8507,37.8921,1.5903
SP1,17/10/2004,Numancia,Levante,A,2.2,3.0,3.1,2.25,3.1,3.0,2.3,2.8,2.9,2.15,3.1,3.0,2004/5,€13.40m,€24.25m,45.4545,44.4444,46.5116,43.4783,33.3333,32.2581,32.2581,35.7143,32.2581,33.3333,33.3333,34.4828,H,44.9722,1.3055,33.3909,1.6297,33.3519,0.9085
SP1,17/10/2004,Osasuna,Albacete,H,1.72,3.25,4.33,1.7,3.3,4.75,1.7,3.2,4.2,1.7,3.2,4.5,2004/5,€26.70m,€17.75m,58.1395,58.8235,58.8235,58.8235,30.7692,30.303,31.25,31.25,23.0947,21.0526,22.2222,23.8095,H,58.6525,0.342,30.893,0.454,22.5448,1.1878
SP1,17/10/2004,Valencia,Sevilla,A,1.53,3.5,7.0,1.5,3.55,6.5,1.45,3.8,5.4,1.5,3.4,6.0,2004/5,€195.90m,€70.55m,65.3595,66.6667,66.6667,68.9655,28.5714,28.169,29.4118,26.3158,14.2857,15.3846,16.6667,18.5185,H,66.9146,1.4997,28.117,1.3077,16.2139,1.8186
SP1,17/10/2004,Zaragoza,Sociedad,H,1.83,3.25,3.75,1.95,3.25,3.5,1.9,3.1,3.5,1.9,3.1,3.6,2004/5,€51.13m,€53.55m,54.6448,51.2821,52.6316,52.6316,30.7692,30.7692,32.2581,32.2581,26.6667,28.5714,27.7778,28.5714,H,52.7975,1.3861,31.5136,0.8596,27.8968,0.9014
SP1,23/10/2004,Malaga,La Coruna,D,2.4,3.2,2.6,2.55,3.15,2.55,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€32.85m,€144.45m,41.6667,39.2157,40.0,40.0,31.25,31.746,32.2581,33.3333,38.4615,39.2157,40.0,40.0,H,40.2206,1.0325,32.1468,0.8916,39.4193,0.7378
SP1,23/10/2004,Real Madrid,Valencia,H,2.0,3.25,3.5,1.95,3.25,3.55,1.85,3.1,3.6,1.9,3.25,3.4,2004/5,€303.70m,€195.90m,50.0,51.2821,52.6316,54.0541,30.7692,30.7692,30.7692,32.2581,28.5714,28.169,29.4118,27.7778,H,51.992,1.7448,31.1414,0.7444,28.4825,0.6991
SP1,24/10/2004,Albacete,Ath Bilbao,H,2.37,3.2,2.62,2.2,3.2,3.0,2.3,2.9,2.8,2.37,3.1,2.62,2004/5,€17.75m,€53.05m,42.1941,45.4545,42.1941,43.4783,31.25,31.25,32.2581,34.4828,38.1679,33.3333,38.1679,35.7143,H,43.3302,1.5401,32.3102,1.5244,36.3459,2.3176
