Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
E0,29/04/2006,Chelsea,Man United,3.0,0.0,H,1.0,0.0,H,M Dean,11.0,7.0,5.0,2.0,17.0,12.0,2.0,3.0,4.0,2.0,0.0,0.0,2.1,3.1,3.6,2.0,3.15,3.55,2.1,3.2,3.0,2005/6,€363.43m,€254.58m,2.2,3.2,3.1,47.61904761904761,50.0,47.61904761904761,45.45454545454545,32.25806451612903,31.746031746031743,31.25,31.25,27.77777777777778,28.169014084507044,33.33333333333333,32.25806451612903,H,47.67316017316017,1.8567257189693758,31.626024065540193,0.4818938922931255,30.384547427936795,2.8230740101558762
E0,29/04/2006,Liverpool,Aston Villa,3.0,1.0,H,1.0,0.0,H,M Halsey,15.0,7.0,9.0,3.0,7.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,1.36,4.33,9.0,1.3,4.5,9.0,1.29,4.5,8.0,2005/6,€216.35m,€89.00m,1.33,4.35,8.5,73.52941176470587,76.92307692307692,77.51937984496124,75.18796992481202,23.094688221709006,22.22222222222222,22.22222222222222,22.98850574712644,11.11111111111111,11.11111111111111,12.5,11.76470588235294,H,75.789959614389,1.8025276083160453,22.631909603319972,0.4750481940032235,11.62173202614379,0.6616302076937006
E0,29/04/2006,Man City,Fulham,1.0,2.0,A,0.0,0.0,D,P Walton,19.0,12.0,10.0,7.0,11.0,11.0,9.0,6.0,1.0,2.0,0.0,0.0,1.9,3.25,4.0,1.9,3.25,3.75,1.91,3.25,3.4,2005/6,€91.90m,€70.88m,1.85,3.4,4.0,52.63157894736842,52.63157894736842,52.35602094240838,54.05405405405405,30.76923076923077,30.76923076923077,30.76923076923077,29.411764705882355,25.0,26.666666666666668,29.411764705882355,25.0,H,52.91830822279982,0.7682258638534628,30.429864253393667,0.6787330316742074,26.51960784313726,2.082035351136795
E0,29/04/2006,Middlesbrough,Everton,0.0,1.0,A,0.0,0.0,D,L Mason,11.0,8.0,3.0,4.0,13.0,17.0,4.0,6.0,2.0,2.0,0.0,0.0,2.5,3.2,2.75,2.3,3.2,2.85,2.38,3.2,2.6,2005/6,€94.38m,€92.92m,2.35,3.25,2.8,40.0,43.47826086956522,42.016806722689076,42.5531914893617,31.25,31.25,31.25,30.76923076923077,36.36363636363637,35.08771929824561,38.46153846153846,35.714285714285715,H,42.012064770403995,1.4709380514462957,31.129807692307693,0.24038461538461497,36.40679495942654,1.4655332565755899
E0,29/04/2006,Wigan,Portsmouth,1.0,2.0,A,1.0,0.0,H,M Riley,13.0,16.0,7.0,8.0,11.0,8.0,3.0,9.0,3.0,1.0,1.0,0.0,2.4,3.25,2.8,2.35,3.35,2.65,2.2,3.25,2.75,2005/6,€51.92m,€86.13m,2.4,3.25,2.7,41.66666666666667,42.5531914893617,45.45454545454545,41.66666666666667,30.76923076923077,29.850746268656714,30.76923076923077,30.76923076923077,35.714285714285715,37.735849056603776,36.36363636363637,37.03703703703704,H,42.83526756931013,1.7954980455090181,30.539609644087257,0.45924225028702814,36.712702042890726,0.8700009604891701
E0,30/04/2006,Tottenham,Bolton,1.0,0.0,H,0.0,0.0,D,A Wiley,9.0,14.0,4.0,6.0,11.0,12.0,6.0,8.0,1.0,5.0,0.0,0.0,1.61,3.6,5.5,1.6,3.4,5.5,1.67,3.25,4.5,2005/6,€154.33m,€61.85m,1.6,3.5,5.5,62.11180124223602,62.5,59.88023952095809,62.5,27.77777777777778,29.411764705882355,30.76923076923077,28.57142857142857,18.181818181818183,18.181818181818183,22.22222222222222,18.181818181818183,H,61.74801019079853,1.258555858978578,29.13255045607987,1.2789253071826807,19.191919191919194,2.020202020202019
E0,01/05/2006,Man United,Middlesbrough,0.0,0.0,D,0.0,0.0,D,C Foy,17.0,10.0,6.0,6.0,11.0,10.0,10.0,2.0,2.0,2.0,0.0,0.0,1.25,5.5,10.0,1.25,5.0,10.0,1.2,5.0,11.0,2005/6,€254.58m,€94.38m,1.25,5.5,10.0,80.0,80.0,83.33333333333334,80.0,18.181818181818183,20.0,20.0,18.181818181818183,10.0,10.0,9.090909090909092,10.0,H,80.83333333333334,1.6666666666666714,19.090909090909093,1.049727762162955,9.772727272727273,0.45454545454545414
E0,01/05/2006,Sunderland,Arsenal,0.0,3.0,A,0.0,3.0,A,D Gallagher,7.0,7.0,2.0,4.0,17.0,8.0,5.0,3.0,3.0,0.0,0.0,0.0,10.0,5.0,1.28,10.0,5.0,1.25,8.0,4.0,1.33,2005/6,€34.35m,€232.33m,9.0,5.0,1.28,10.0,10.0,12.5,11.11111111111111,20.0,20.0,25.0,20.0,78.125,80.0,75.18796992481202,78.125,A,10.902777777777779,1.186667186849657,21.25,2.5,77.859492481203,1.9882818120517816
E0,01/05/2006,West Brom,West Ham,0.0,1.0,A,0.0,1.0,A,G Poll,16.0,10.0,4.0,5.0,8.0,15.0,9.0,6.0,0.0,0.0,0.0,0.0,2.3,3.25,3.0,2.3,3.2,2.85,2.25,3.2,2.75,2005/6,€65.55m,€62.55m,2.25,3.4,2.9,43.47826086956522,43.47826086956522,44.44444444444444,44.44444444444444,30.76923076923077,31.25,31.25,29.411764705882355,33.33333333333333,35.08771929824561,36.36363636363637,34.48275862068966,H,43.96135265700484,0.5578263470431151,30.67024886877828,0.8690612853692141,34.81686190397624,1.262056124069494
E0,02/05/2006,Blackburn,Chelsea,1.0,0.0,H,1.0,0.0,H,S Bennett,6.0,7.0,1.0,2.0,18.0,6.0,5.0,8.0,2.0,2.0,0.0,0.0,3.0,3.4,2.2,3.15,3.25,2.1,3.0,3.4,2.0,2005/6,€63.80m,€363.43m,2.8,3.4,2.3,33.33333333333333,31.746031746031743,33.33333333333333,35.714285714285715,29.411764705882355,30.76923076923077,29.411764705882355,29.411764705882355,45.45454545454545,47.61904761904761,50.0,43.47826086956522,A,33.53174603174603,1.636153026038756,29.751131221719454,0.6787330316742075,46.63796348578957,2.8077282904549734
