Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
N1,18/09/2004,Graafschap,Groningen,D,2.25,3.2,2.75,2.15,3.3,2.9,2.3,3.0,2.7,2.2,3.25,2.75,2004/5,€12.28m,€12.95m,44.4444,46.5116,45.4545,43.4783,31.25,30.303,30.7692,33.3333,36.3636,34.4828,36.3636,37.037,H,44.9722,1.3055,31.4139,1.3367,36.0617,1.0995
N1,18/09/2004,Heerenveen,NAC Breda,H,1.83,3.2,3.75,1.9,3.4,3.4,1.8,3.1,3.8,1.85,3.3,3.6,2004/5,€31.20m,€17.45m,54.6448,52.6316,54.0541,55.5556,31.25,29.4118,30.303,32.2581,26.6667,29.4118,27.7778,26.3158,H,54.2215,1.2268,30.8057,1.2251,27.543,1.393
N1,18/09/2004,Nijmegen,PSV Eindhoven,A,4.5,3.5,1.61,4.45,3.55,1.65,5.0,3.7,1.5,5.0,3.5,1.57,2004/5,€16.88m,€86.85m,22.2222,22.4719,20.0,20.0,28.5714,28.169,28.5714,27.027,62.1118,60.6061,63.6943,66.6667,A,21.1735,1.3589,28.0847,0.7302,63.2697,2.592
N1,18/09/2004,Twente,Willem II,D,2.1,3.2,3.0,2.0,3.35,3.2,1.9,3.1,3.5,2.0,3.3,3.1,2004/5,€13.25m,€13.98m,47.619,50.0,50.0,52.6316,31.25,29.8507,30.303,32.2581,33.3333,31.25,32.2581,28.5714,H,50.0626,2.0477,30.9154,1.0682,31.3532,2.0403
N1,18/09/2004,Waalwijk,Roosendaal,H,1.83,3.2,3.75,1.9,3.4,3.4,1.9,3.1,3.5,1.8,3.4,3.6,2004/5,€19.33m,€10.70m,54.6448,52.6316,55.5556,52.6316,31.25,29.4118,29.4118,32.2581,26.6667,29.4118,27.7778,28.5714,H,53.8659,1.473,30.5829,1.4135,28.1069,1.1692
N1,19/09/2004,Den Bosch,Ajax,A,6.0,3.75,1.44,5.6,3.75,1.5,6.0,3.9,1.4,6.0,3.75,1.44,2004/5,€8.35m,€114.50m,16.6667,17.8571,16.6667,16.6667,26.6667,26.6667,26.6667,25.641,69.4444,66.6667,69.4444,71.4286,A,16.9643,0.5952,26.4103,0.5129,69.246,1.9575
N1,19/09/2004,Feyenoord,Utrecht,A,1.33,4.33,7.0,1.3,4.5,8.25,1.35,4.0,7.0,1.33,4.0,8.0,2004/5,€66.43m,€20.30m,75.188,76.9231,75.188,74.0741,23.0947,22.2222,25.0,25.0,14.2857,12.1212,12.5,14.2857,H,75.3433,1.1768,23.8292,1.398,13.2982,1.1508
N1,19/09/2004,Roda,AZ Alkmaar,D,2.2,3.25,2.75,2.1,3.3,3.0,2.1,3.0,3.1,2.15,3.3,2.8,2004/5,€20.93m,€50.00m,45.4545,47.619,46.5116,47.619,30.7692,30.303,30.303,33.3333,36.3636,33.3333,35.7143,32.2581,H,46.801,1.0384,31.1771,1.4542,34.4173,1.9414
N1,25/09/2004,Ajax,Roda,H,1.25,5.0,8.0,1.25,5.25,8.0,1.25,4.5,9.0,1.28,4.5,8.0,2004/5,€114.50m,€20.93m,80.0,80.0,78.125,80.0,20.0,19.0476,22.2222,22.2222,12.5,12.5,12.5,11.1111,H,79.5312,0.9375,20.873,1.6057,12.1528,0.6944
N1,25/09/2004,AZ Alkmaar,Willem II,H,1.83,3.2,3.75,1.8,3.4,3.8,1.8,3.1,3.8,1.75,3.35,3.9,2004/5,€50.00m,€13.98m,54.6448,55.5556,57.1429,55.5556,31.25,29.4118,29.8507,32.2581,26.6667,26.3158,25.641,26.3158,H,55.7247,1.0384,30.6926,1.3052,26.2348,0.4291
N1,25/09/2004,PSV Eindhoven,Heerenveen,H,1.36,4.0,7.0,1.3,4.5,8.25,1.35,4.0,7.0,1.3,4.33,8.0,2004/5,€86.85m,€31.20m,73.5294,76.9231,76.9231,74.0741,25.0,22.2222,23.0947,25.0,14.2857,12.1212,12.5,14.2857,H,75.3624,1.8158,23.8292,1.398,13.2982,1.1508
N1,25/09/2004,Roosendaal,Feyenoord,A,4.33,3.4,1.66,5.25,3.6,1.55,4.6,3.4,1.6,4.5,3.5,1.61,2004/5,€10.70m,€66.43m,23.0947,19.0476,22.2222,21.7391,29.4118,27.7778,28.5714,29.4118,60.241,64.5161,62.1118,62.5,A,21.5259,1.7448,28.7932,0.7843,62.3422,1.753
