Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SC0,25/09/2004,Kilmarnock,Dundee United,H,2.0,3.25,3.25,2.2,3.2,2.9,2.0,3.1,3.2,2.0,3.2,3.2,2004/5,€3.78m,€8.13m,50.0,45.4545,50.0,50.0,30.7692,31.25,31.25,32.2581,30.7692,34.4828,31.25,31.25,H,48.8636,2.2727,31.3818,0.6266,31.938,1.7116
SC0,25/09/2004,Livingston,Motherwell,A,2.4,3.2,2.6,2.4,3.2,2.6,2.3,2.9,2.8,2.5,3.1,2.5,2004/5,€9.75m,€4.83m,41.6667,41.6667,40.0,43.4783,31.25,31.25,32.2581,34.4828,38.4615,38.4615,40.0,35.7143,H,41.7029,1.4206,32.3102,1.5244,38.1593,1.7841
SC0,26/09/2004,Dundee,Rangers,A,6.5,3.75,1.44,7.0,3.9,1.4,5.4,3.8,1.45,5.5,3.6,1.5,2004/5,€9.05m,€80.78m,15.3846,14.2857,18.1818,18.5185,26.6667,25.641,27.7778,26.3158,69.4444,71.4286,66.6667,68.9655,A,16.5926,2.0829,26.6003,0.893,69.1263,1.956
SC0,02/10/2004,Aberdeen,Dundee,D,1.8,3.3,4.0,1.8,3.25,4.0,1.9,3.1,3.5,1.8,3.3,3.75,2004/5,€6.88m,€9.05m,55.5556,55.5556,55.5556,52.6316,30.303,30.7692,30.303,32.2581,25.0,25.0,26.6667,28.5714,H,54.8246,1.462,30.9083,0.9263,26.3095,1.7003
SC0,02/10/2004,Dunfermline,Hibernian,D,2.5,3.25,2.5,2.5,3.2,2.5,2.3,2.8,2.9,2.4,3.1,2.6,2004/5,€6.03m,€13.25m,40.0,40.0,41.6667,43.4783,30.7692,31.25,32.2581,35.7143,40.0,40.0,38.4615,34.4828,H,41.2862,1.6592,32.4979,2.2322,38.2361,2.6052
SC0,03/10/2004,Dundee United,Celtic,A,10.0,5.0,1.28,9.0,5.0,1.25,9.0,4.5,1.25,10.0,4.5,1.25,2004/5,€8.13m,€77.55m,10.0,11.1111,10.0,11.1111,20.0,20.0,22.2222,22.2222,78.125,80.0,80.0,80.0,A,10.5556,0.6415,21.1111,1.283,79.5312,0.9375
SC0,03/10/2004,Hearts,Livingston,D,1.53,3.5,6.0,1.55,3.5,5.5,1.65,3.3,4.4,1.57,3.5,5.0,2004/5,€11.08m,€9.75m,65.3595,64.5161,63.6943,60.6061,28.5714,28.5714,28.5714,30.303,16.6667,18.1818,20.0,22.7273,H,63.544,2.0732,29.0043,0.8658,19.394,2.6068
SC0,03/10/2004,Inverness C,Motherwell,D,3.0,3.4,2.1,2.9,3.2,2.2,2.9,3.0,2.2,2.8,3.2,2.2,2004/5,€2.38m,€4.83m,33.3333,34.4828,35.7143,34.4828,29.4118,31.25,31.25,33.3333,47.619,45.4545,45.4545,45.4545,A,34.5033,0.9723,31.3113,1.6025,45.9956,1.0822
SC0,03/10/2004,Rangers,Kilmarnock,H,1.2,5.5,11.0,1.18,5.75,11.0,1.22,4.8,9.5,1.2,5.0,11.0,2004/5,€80.78m,€3.78m,83.3333,84.7458,83.3333,81.9672,18.1818,17.3913,20.0,20.8333,9.0909,9.0909,9.0909,10.5263,H,83.3449,1.1344,19.1016,1.5892,9.4498,0.7177
SC0,16/10/2004,Celtic,Hearts,H,1.16,6.0,13.0,1.2,5.65,10.0,1.2,5.0,10.0,1.16,5.5,12.0,2004/5,€77.55m,€11.08m,86.2069,83.3333,86.2069,83.3333,16.6667,17.6991,18.1818,20.0,7.6923,10.0,8.3333,10.0,H,84.7701,1.6591,18.1369,1.3936,9.0064,1.1768
SC0,16/10/2004,Dundee,Kilmarnock,H,2.3,3.25,2.75,2.4,3.05,2.7,2.5,3.0,2.5,2.5,3.25,2.4,2004/5,€9.05m,€3.78m,43.4783,41.6667,40.0,40.0,30.7692,32.7869,30.7692,33.3333,36.3636,37.037,41.6667,40.0,H,41.2862,1.6592,31.9146,1.3413,38.7668,2.4965
