Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,VCH,VCD,VCA,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
I1,20/09/2006,Chievo,Lazio,0.0,1.0,A,0.0,0.0,D,2.5,2.87,3.0,2.45,2.9,2.9,2.25,3.0,2.87,2006/7,€83.50m,€105.35m,L. Banti,5.0,7.0,2.0,6.0,16.0,12.0,5.0,6.0,4.0,1.0,0.0,0.0,2.3,2.9,2.9,40.0,40.81632653061224,44.44444444444444,43.47826086956522,34.843205574912886,34.48275862068966,33.33333333333333,34.48275862068966,33.33333333333333,34.48275862068966,34.843205574912886,34.48275862068966,H,42.18475796115547,2.1154278295224485,34.28551403740639,0.6571348911460546,34.28551403740639,0.6571348911460546
I1,20/09/2006,Fiorentina,Parma,1.0,0.0,H,1.0,0.0,H,1.5,3.75,7.0,1.46,3.6,7.5,1.53,3.25,6.0,2006/7,€159.60m,€46.90m,T. Pieri,11.0,10.0,6.0,5.0,23.0,28.0,8.0,4.0,2.0,6.0,1.0,0.0,1.5,3.4,6.0,66.66666666666666,68.4931506849315,65.359477124183,66.66666666666666,26.666666666666668,27.77777777777778,30.76923076923077,29.411764705882355,14.285714285714285,13.333333333333334,16.666666666666664,16.666666666666664,H,66.79649028561195,1.2880698325804292,28.656359979889395,1.8042214792956244,15.238095238095237,1.6947743257192542
I1,20/09/2006,Messina,Reggina,2.0,0.0,H,1.0,0.0,H,2.1,3.0,3.75,1.95,2.9,4.2,1.8,3.0,4.33,2006/7,€40.58m,€50.10m,M. Saccani,8.0,13.0,2.0,3.0,16.0,18.0,1.0,5.0,6.0,3.0,0.0,0.0,1.85,3.0,4.0,47.61904761904761,51.28205128205129,55.55555555555556,54.05405405405405,33.33333333333333,34.48275862068966,33.33333333333333,33.33333333333333,26.666666666666668,23.809523809523807,23.094688221709006,25.0,H,52.12767712767713,3.4882709038369764,33.62068965517241,0.5747126436781649,24.64271967447487,1.5614765860485504
I1,20/09/2006,Milan,Ascoli,1.0,0.0,H,0.0,0.0,D,1.16,6.0,19.0,1.13,6.15,19.0,1.14,6.0,12.0,2006/7,€274.35m,€25.80m,P. Dondarini,16.0,12.0,5.0,6.0,9.0,11.0,5.0,1.0,0.0,2.0,0.0,0.0,1.14,5.5,13.0,86.20689655172414,88.49557522123894,87.71929824561404,87.71929824561404,16.666666666666664,16.260162601626014,16.666666666666664,18.181818181818183,5.263157894736842,5.263157894736842,8.333333333333332,7.6923076923076925,H,87.53526706604778,0.9582092545222378,16.94382852919438,0.8472809208680799,6.637989203778677,1.6089439030528598
I1,20/09/2006,Palermo,Catania,5.0,3.0,H,1.0,1.0,D,1.57,3.4,7.0,1.55,3.35,6.5,1.53,3.25,6.0,2006/7,€127.28m,€38.60m,M. Trefoloni,16.0,9.0,9.0,5.0,29.0,20.0,8.0,8.0,1.0,2.0,1.0,0.0,1.53,3.5,5.5,63.69426751592356,64.51612903225806,65.359477124183,65.359477124183,29.411764705882355,29.850746268656714,30.76923076923077,28.57142857142857,14.285714285714285,15.384615384615385,16.666666666666664,18.181818181818183,H,64.7323376991369,0.7981110218936552,29.650792578799603,0.9152497743497524,16.12970362970363,1.6787849407413502
I1,20/09/2006,Roma,Inter,0.0,1.0,A,0.0,1.0,A,2.6,2.87,2.87,2.5,2.9,2.85,2.37,2.8,2.87,2006/7,€220.65m,€267.23m,N. Rizzoli,10.0,9.0,6.0,7.0,18.0,21.0,7.0,8.0,3.0,1.0,0.0,1.0,2.5,2.9,2.65,38.46153846153846,40.0,42.19409282700421,40.0,34.843205574912886,34.48275862068966,35.714285714285715,34.48275862068966,34.843205574912886,35.08771929824561,34.843205574912886,37.735849056603776,H,40.16390782213567,1.5355177348598912,34.88075213264448,0.5810868113106175,35.62749487616879,1.4102877296033047
I1,20/09/2006,Sampdoria,Udinese,3.0,3.0,D,1.0,3.0,A,2.1,3.0,3.75,2.15,2.95,3.4,2.0,3.0,3.5,2006/7,€69.45m,€104.58m,P. Bertini,14.0,9.0,8.0,7.0,21.0,20.0,8.0,2.0,4.0,2.0,0.0,0.0,2.0,3.0,3.4,47.61904761904761,46.51162790697674,50.0,50.0,33.33333333333333,33.89830508474576,33.33333333333333,33.33333333333333,26.666666666666668,29.411764705882355,28.57142857142857,29.411764705882355,H,48.53266888150609,1.75360881750976,33.474576271186436,0.28248587570621453,28.515406162464984,1.2945904771194785
I1,20/09/2006,Torino,Siena,1.0,2.0,A,1.0,2.0,A,2.0,3.0,4.0,1.85,3.0,4.5,1.9,3.0,3.75,2006/7,€55.55m,€46.08m,A. Giannoccaro,11.0,8.0,4.0,5.0,13.0,18.0,6.0,4.0,1.0,3.0,0.0,0.0,1.9,2.9,4.0,50.0,54.05405405405405,52.63157894736842,52.63157894736842,33.33333333333333,33.33333333333333,33.33333333333333,34.48275862068966,25.0,22.22222222222222,26.666666666666668,25.0,H,52.32930298719772,1.6914648642507577,33.62068965517241,0.5747126436781649,24.72222222222222,1.8425693279752229
I1,23/09/2006,Catania,Messina,2.0,2.0,D,0.0,1.0,A,2.3,2.87,3.4,2.25,2.8,3.4,2.25,2.75,3.2,2006/7,€38.60m,€40.58m,S. Farina,14.0,11.0,7.0,5.0,17.0,22.0,8.0,3.0,3.0,3.0,1.0,1.0,2.25,2.8,3.1,43.47826086956522,44.44444444444444,44.44444444444444,44.44444444444444,34.843205574912886,35.714285714285715,36.36363636363637,35.714285714285715,29.411764705882355,29.411764705882355,31.25,32.25806451612903,H,44.20289855072464,0.48309178743961206,35.65885334178017,0.6240047765136434,30.582898481973437,1.4135433397841801
I1,23/09/2006,Livorno,Milan,0.0,0.0,D,0.0,0.0,D,6.0,3.4,1.61,5.85,3.3,1.6,5.0,3.1,1.66,2006/7,€68.33m,€274.35m,N. Ayroldi,8.0,16.0,2.0,5.0,18.0,17.0,4.0,5.0,2.0,3.0,0.0,0.0,5.5,3.25,1.6,16.666666666666664,17.094017094017094,20.0,18.181818181818183,29.411764705882355,30.303030303030305,32.25806451612903,30.76923076923077,62.11180124223602,62.5,60.24096385542169,62.5,A,17.985625485625487,1.4866981478314816,30.685522573568115,1.1900496720231055,61.83819127441443,1.0804288378534292
I1,24/09/2006,Ascoli,Sampdoria,1.0,1.0,D,1.0,0.0,H,2.37,2.87,2.87,2.7,2.8,2.7,2.37,2.87,2.8,2006/7,€25.80m,€69.45m,P. Mazzoleni,12.0,9.0,5.0,6.0,23.0,17.0,11.0,7.0,4.0,2.0,0.0,1.0,2.6,2.8,2.65,42.19409282700421,37.03703703703704,42.19409282700421,38.46153846153846,34.843205574912886,35.714285714285715,34.843205574912886,35.714285714285715,34.843205574912886,37.03703703703704,35.714285714285715,37.735849056603776,H,39.97169028814598,2.6312794310688066,35.2787456445993,0.5029183529526395,36.33259434570985,1.2994803786231843
I1,24/09/2006,Empoli,Palermo,2.0,0.0,H,1.0,0.0,H,3.1,3.0,2.4,2.95,2.85,2.45,2.62,2.87,2.5,2006/7,€44.30m,€127.28m,P. Tagliavento,11.0,14.0,6.0,4.0,21.0,22.0,4.0,3.0,2.0,3.0,0.0,1.0,2.75,2.8,2.6,32.25806451612903,33.89830508474576,38.167938931297705,36.36363636363637,33.33333333333333,35.08771929824561,34.843205574912886,35.714285714285715,41.66666666666667,40.81632653061224,40.0,38.46153846153846,A,35.17198622395222,2.614636115138106,34.74463598019438,1.0098544277911905,40.23613291470434,1.3647949386944036
I1,24/09/2006,Inter,Chievo,4.0,3.0,H,1.0,0.0,H,1.22,5.5,13.0,1.22,5.0,12.5,1.25,4.5,10.0,2006/7,€267.23m,€83.50m,A. Giannoccaro,13.0,6.0,9.0,4.0,18.0,13.0,8.0,3.0,2.0,0.0,0.0,0.0,1.22,5.0,9.0,81.9672131147541,81.9672131147541,80.0,81.9672131147541,18.181818181818183,20.0,22.22222222222222,20.0,7.6923076923076925,8.0,10.0,11.11111111111111,H,81.47540983606558,0.983606557377051,20.101010101010104,1.653606620580292,9.200854700854702,1.6335522491013967
I1,24/09/2006,Lazio,Atalanta,1.0,0.0,H,0.0,0.0,D,1.7,3.25,4.5,1.66,3.3,5.2,1.66,3.1,5.0,2006/7,€105.35m,€53.48m,O. Girardi,15.0,7.0,9.0,4.0,20.0,23.0,6.0,2.0,2.0,4.0,0.0,0.0,1.7,3.0,5.0,58.82352941176471,60.24096385542169,60.24096385542169,58.82352941176471,30.76923076923077,30.303030303030305,32.25806451612903,33.33333333333333,22.22222222222222,19.23076923076923,20.0,20.0,H,59.5322466335932,0.8183561576040047,31.66591473043086,1.3895349647432453,20.363247863247864,1.291277344422062
I1,24/09/2006,Parma,Roma,0.0,4.0,A,0.0,2.0,A,4.0,3.1,2.0,3.95,3.15,1.9,3.75,3.0,1.9,2006/7,€46.90m,€220.65m,G. Rocchi,13.0,15.0,4.0,8.0,23.0,16.0,3.0,4.0,3.0,3.0,0.0,0.0,3.5,3.0,2.0,25.0,25.316455696202528,26.666666666666668,28.57142857142857,32.25806451612903,31.746031746031743,33.33333333333333,33.33333333333333,50.0,52.63157894736842,52.63157894736842,50.0,A,26.38863773357444,1.6247835759290195,32.66769073220686,0.7965360566361503,51.315789473684205,1.519342813656908
I1,24/09/2006,Reggina,Torino,1.0,1.0,D,0.0,0.0,D,2.2,3.1,3.4,2.2,2.8,3.5,2.1,3.0,3.2,2006/7,€50.10m,€55.55m,C. Brighi,11.0,11.0,3.0,3.0,21.0,26.0,7.0,2.0,3.0,5.0,0.0,0.0,2.1,2.9,3.3,45.45454545454545,45.45454545454545,47.61904761904761,47.61904761904761,32.25806451612903,35.714285714285715,33.33333333333333,34.48275862068966,29.411764705882355,28.57142857142857,31.25,30.303030303030305,H,46.53679653679654,1.2496759073368497,33.947110546109435,1.4876632563785093,29.88405589508531,1.1528793389412804
I1,24/09/2006,Siena,Cagliari,0.0,0.0,D,0.0,0.0,D,2.05,3.1,3.75,1.9,3.0,4.2,1.83,3.0,4.0,2006/7,€46.08m,€45.15m,A. Romeo,4.0,9.0,1.0,3.0,31.0,18.0,4.0,3.0,2.0,2.0,1.0,0.0,1.9,3.0,3.75,48.78048780487806,52.63157894736842,54.64480874316939,52.63157894736842,32.25806451612903,33.33333333333333,33.33333333333333,33.33333333333333,26.666666666666668,23.809523809523807,25.0,26.666666666666668,H,52.172113610696066,2.4521802282903824,33.064516129032256,0.5376344086021483,25.53571428571429,1.3934166560380523
I1,24/09/2006,Udinese,Fiorentina,1.0,0.0,H,1.0,0.0,H,2.37,2.9,3.2,2.35,2.9,3.05,2.37,3.0,2.75,2006/7,€104.58m,€159.60m,M. Bergonzi,12.0,10.0,5.0,7.0,19.0,20.0,4.0,7.0,2.0,2.0,0.0,0.0,2.35,2.9,2.8,42.19409282700421,42.5531914893617,42.19409282700421,42.5531914893617,34.48275862068966,34.48275862068966,33.33333333333333,34.48275862068966,31.25,32.786885245901644,36.36363636363637,35.714285714285715,H,42.37364215818296,0.20732570937773093,34.195402298850574,0.5747126436781649,34.02870183095593,2.41911861331894
I1,30/09/2006,Atalanta,Reggina,1.0,1.0,D,1.0,1.0,D,1.9,3.1,4.33,1.85,3.1,4.3,1.83,3.0,4.0,2006/7,€53.48m,€50.10m,O. Pantana,11.0,14.0,3.0,2.0,17.0,19.0,5.0,3.0,3.0,3.0,0.0,0.0,1.85,2.9,4.35,52.63157894736842,54.05405405405405,54.64480874316939,54.05405405405405,32.25806451612903,32.25806451612903,33.33333333333333,34.48275862068966,23.094688221709006,23.25581395348837,25.0,22.98850574712644,H,53.846123949661475,0.8562489549582412,33.08305524657026,1.0619209115031296,23.584751980580954,0.9498770518345153
I1,30/09/2006,Torino,Lazio,0.0,4.0,A,0.0,0.0,D,2.5,2.87,3.0,2.5,2.85,2.9,2.38,2.88,2.8,2006/7,€55.55m,€105.35m,T. Pieri,14.0,12.0,1.0,6.0,14.0,14.0,5.0,4.0,1.0,1.0,0.0,0.0,2.5,3.0,2.6,40.0,40.0,42.016806722689076,40.0,34.843205574912886,35.08771929824561,34.72222222222222,33.33333333333333,33.33333333333333,34.48275862068966,35.714285714285715,38.46153846153846,H,40.50420168067227,1.0084033613445378,34.496620107178515,0.7902852170029421,35.49797903246179,2.2019564450358713
I1,01/10/2006,Cagliari,Inter,1.0,1.0,D,1.0,1.0,D,6.0,3.4,1.61,6.0,3.25,1.6,5.5,2.88,1.67,2006/7,€45.15m,€267.23m,D. Messina,7.0,15.0,2.0,5.0,11.0,26.0,3.0,6.0,2.0,4.0,0.0,0.0,5.5,3.1,1.6,16.666666666666664,16.666666666666664,18.181818181818183,18.181818181818183,29.411764705882355,30.76923076923077,34.72222222222222,32.25806451612903,62.11180124223602,62.5,59.88023952095809,62.5,A,17.424242424242426,0.8747731351357988,31.790320553366094,2.2741287032918147,61.74801019079853,1.258555858978578
I1,01/10/2006,Chievo,Palermo,0.0,1.0,A,0.0,1.0,A,2.75,2.87,2.75,2.85,2.8,2.55,2.62,2.88,2.5,2006/7,€83.50m,€127.28m,S. Farina,6.0,7.0,3.0,3.0,19.0,15.0,5.0,4.0,1.0,2.0,0.0,0.0,2.65,2.8,2.65,36.36363636363637,35.08771929824561,38.167938931297705,37.735849056603776,34.843205574912886,35.714285714285715,34.72222222222222,35.714285714285715,36.36363636363637,39.21568627450981,40.0,37.735849056603776,A,36.838785912445864,1.3980190047861834,35.248499806426636,0.5401063270796992,38.32879292368749,1.6117211961827225
I1,01/10/2006,Fiorentina,Catania,3.0,0.0,H,0.0,0.0,D,1.4,4.0,9.0,1.4,3.8,8.0,1.36,3.75,8.0,2006/7,€159.60m,€38.60m,S. Farina,19.0,3.0,14.0,1.0,27.0,20.0,8.0,2.0,3.0,3.0,0.0,2.0,1.35,4.0,8.0,71.42857142857143,71.42857142857143,73.52941176470587,74.07407407407408,25.0,26.31578947368421,26.666666666666668,25.0,11.11111111111111,12.5,12.5,12.5,H,72.6151571739807,1.388076779871711,25.74561403508772,0.8727959974619474,12.152777777777779,0.6944444444444445
