Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
P1,27/11/2017,Sp Braga,Feirense,3.0,1.0,H,3.0,1.0,H,1.44,4.2,7.5,1.48,4.1,6.5,1.44,4.2,7.0,2017/18,€94.80m,€12.85m,1.44,4.5,7.5,10.0,8.0,7.0,4.0,16.0,20.0,6.0,3.0,0.0,2.0,0.0,0.0,69.44444444444444,67.56756756756756,69.44444444444444,69.44444444444444,23.809523809523807,24.39024390243903,23.809523809523807,22.22222222222222,13.333333333333334,15.384615384615385,14.285714285714285,13.333333333333334,68.97522522522523,0.938438438438439,23.557878435927215,0.9315686732881129,14.084249084249086,0.976266642619813
P1,01/12/2017,Porto,Benfica,0.0,0.0,D,0.0,0.0,D,1.75,3.5,4.75,1.78,3.5,4.5,1.75,3.4,4.6,2017/18,€276.50m,€229.08m,1.75,3.6,5.0,9.0,3.0,5.0,1.0,5.0,15.0,7.0,5.0,1.0,3.0,0.0,1.0,57.14285714285714,56.17977528089888,57.14285714285714,57.14285714285714,28.57142857142857,28.57142857142857,29.411764705882355,27.77777777777778,21.052631578947366,22.22222222222222,21.73913043478261,20.0,56.90208667736757,0.48154093097912914,28.583099906629315,0.6672084933686491,21.25349605898805,0.9636510494863372
P1,01/12/2017,Sp Lisbon,Belenenses,1.0,0.0,H,1.0,0.0,H,1.18,7.0,14.0,1.19,6.5,13.5,1.18,6.0,15.0,2017/18,€259.08m,€19.88m,1.18,7.0,17.0,8.0,8.0,4.0,3.0,15.0,16.0,5.0,3.0,1.0,3.0,0.0,0.0,84.74576271186442,84.03361344537815,84.74576271186442,84.74576271186442,14.285714285714285,15.384615384615385,16.666666666666664,14.285714285714285,7.142857142857142,7.4074074074074066,6.666666666666667,5.88235294117647,84.56772539524285,0.35607463324313215,15.155677655677655,1.132721325719137,6.7748210395269215,0.6692813960073852
P1,02/12/2017,Chaves,Boavista,0.0,0.0,D,0.0,0.0,D,2.04,3.0,4.09,2.05,3.1,3.8,2.1,3.0,3.6,2017/18,€23.75m,€16.43m,2.1,3.2,3.8,9.0,7.0,3.0,5.0,13.0,18.0,6.0,1.0,1.0,5.0,0.0,0.0,49.01960784313725,48.78048780487806,47.61904761904761,47.61904761904761,33.33333333333333,32.25806451612903,33.33333333333333,31.25,24.44987775061125,26.31578947368421,27.77777777777778,26.31578947368421,48.25954772152764,0.746000608010522,32.54368279569893,1.000381414042407,26.21480861893936,1.363604027019023
P1,02/12/2017,Moreirense,Maritimo,1.0,1.0,D,1.0,1.0,D,2.5,3.0,3.0,2.55,3.1,2.85,2.5,2.9,2.87,2017/18,€17.80m,€28.55m,2.6,3.0,3.0,11.0,2.0,5.0,2.0,15.0,15.0,8.0,3.0,3.0,1.0,1.0,0.0,40.0,39.21568627450981,40.0,38.46153846153846,33.33333333333333,32.25806451612903,34.48275862068966,33.33333333333333,33.33333333333333,35.08771929824561,34.843205574912886,33.33333333333333,39.419306184012065,0.7378325676401216,33.35187245087134,0.9084798153967164,34.14939788495629,0.9475826947398566
P1,02/12/2017,Tondela,Rio Ave,1.0,3.0,A,0.0,1.0,A,2.89,3.25,2.39,3.0,3.1,2.4,2.9,3.0,2.45,2017/18,€17.48m,€32.95m,3.0,3.25,2.45,4.0,7.0,2.0,3.0,14.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,34.602076124567475,33.33333333333333,34.48275862068966,33.33333333333333,30.76923076923077,32.25806451612903,33.33333333333333,30.76923076923077,41.84100418410041,41.66666666666667,40.81632653061224,40.81632653061224,33.93787535298095,0.6997624709962433,31.782464846980975,1.249623236537477,41.285080977997886,0.5459303108052633
P1,03/12/2017,Feirense,AVS,0.0,1.0,A,0.0,0.0,D,2.45,3.1,3.0,2.55,3.0,2.9,2.45,3.0,2.87,2017/18,€12.85m,€12.15m,2.5,3.13,3.0,6.0,15.0,3.0,8.0,18.0,14.0,4.0,9.0,3.0,2.0,1.0,0.0,40.81632653061224,39.21568627450981,40.81632653061224,40.0,32.25806451612903,33.33333333333333,33.33333333333333,31.948881789137378,33.33333333333333,34.48275862068966,34.843205574912886,33.33333333333333,40.21208483393357,0.767681818206955,32.71840324298327,0.7211918476630054,33.9981577155673,0.7816492905507624
P1,03/12/2017,Setubal,Guimaraes,1.0,2.0,A,0.0,1.0,A,3.1,3.1,2.39,2.85,3.2,2.45,3.0,3.0,2.4,2017/18,€23.95m,€50.33m,3.0,3.2,2.45,13.0,6.0,4.0,2.0,17.0,25.0,7.0,3.0,2.0,5.0,0.0,0.0,32.25806451612903,35.08771929824561,33.33333333333333,33.33333333333333,32.25806451612903,31.25,33.33333333333333,31.25,41.84100418410041,40.81632653061224,41.66666666666667,40.81632653061224,33.503112620260325,1.171718555236334,32.02284946236559,0.9945328351444026,41.28508097799789,0.5459303108052633
P1,03/12/2017,Sp Braga,Pacos Ferreira,3.0,0.0,H,0.0,0.0,D,1.44,4.2,7.5,1.44,4.1,7.5,1.44,4.2,7.0,2017/18,€94.80m,€15.73m,1.44,4.5,7.5,11.0,2.0,6.0,1.0,15.0,20.0,8.0,4.0,2.0,3.0,0.0,1.0,69.44444444444444,69.44444444444444,69.44444444444444,69.44444444444444,23.809523809523807,24.39024390243903,23.809523809523807,22.22222222222222,13.333333333333334,13.333333333333334,14.285714285714285,13.333333333333334,69.44444444444444,0.0,23.557878435927215,0.9315686732881129,13.571428571428571,0.47619047619047533
P1,04/12/2017,Estoril,Portimonense,0.0,0.0,D,0.0,0.0,D,2.45,3.1,3.0,2.55,3.2,2.75,2.45,3.25,2.7,2017/18,€26.20m,€35.78m,2.5,3.3,2.88,14.0,7.0,6.0,2.0,8.0,17.0,7.0,4.0,1.0,4.0,0.0,0.0,40.81632653061224,39.21568627450981,40.81632653061224,40.0,32.25806451612903,31.25,30.76923076923077,30.303030303030305,33.33333333333333,36.36363636363637,37.03703703703704,34.72222222222222,40.21208483393357,0.767681818206955,31.145081397097528,0.8366705994539201,35.36405723905724,1.6667144927328421
