Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
N1,29/09/2019,Waalwijk,Vitesse,A,6.0,4.2,1.53,6.25,4.6,1.48,2019/20,€10.78m,€30.53m,5.84,4.41,1.56,5.45,4.73,1.55,5.5,4.33,1.55
N1,29/09/2019,Utrecht,Willem II,H,1.5,4.33,6.0,1.53,4.4,6.0,2019/20,€48.58m,€21.80m,1.54,4.32,6.32,1.66,3.94,5.51,1.55,4.2,5.5
N1,29/09/2019,Zwolle,PSV Eindhoven,A,6.5,5.0,1.4,7.0,5.25,1.4,2019/20,€16.50m,€219.58m,7.18,5.15,1.41,7.69,6.04,1.34,8.0,5.25,1.33
N1,29/09/2019,AZ Alkmaar,Heracles,H,1.55,4.2,5.5,1.6,4.0,5.75,2019/20,€130.05m,€22.48m,1.56,4.44,5.76,1.52,4.61,6.14,1.45,4.5,6.0
N1,29/09/2019,Feyenoord,Twente,H,1.4,4.75,7.0,1.45,5.0,6.25,2019/20,€102.73m,€21.28m,1.44,5.02,6.78,1.35,5.59,8.27,1.33,5.25,8.0
N1,04/10/2019,Groningen,Waalwijk,H,1.36,5.0,7.5,1.35,5.25,8.25,2019/20,€30.40m,€10.78m,1.4,5.2,7.42,1.43,5.09,6.93,1.4,5.0,7.0
N1,05/10/2019,Heracles,FC Emmen,H,1.57,4.2,5.25,1.67,4.25,4.6,2019/20,€22.48m,€13.23m,1.63,4.44,5.03,1.64,4.4,4.97,1.6,4.5,4.75
N1,05/10/2019,Sparta Rotterdam,Twente,H,1.75,4.0,4.2,1.78,4.0,4.25,2019/20,€15.50m,€21.28m,1.79,4.23,4.12,1.87,4.19,3.83,1.8,4.0,3.8
N1,05/10/2019,Vitesse,Utrecht,H,2.3,3.75,2.75,2.4,3.75,2.7,2019/20,€30.53m,€48.58m,2.39,3.81,2.82,2.43,3.77,2.79,2.4,3.75,2.62
N1,05/10/2019,Heerenveen,Zwolle,H,1.61,4.2,4.75,1.67,4.33,4.6,2019/20,€26.75m,€16.50m,1.68,4.35,4.66,1.59,4.59,5.2,1.53,4.5,5.25
N1,06/10/2019,Den Haag,Ajax,A,17.0,9.0,1.12,20.0,9.5,1.12,2019/20,€19.40m,€400.40m,19.97,10.27,1.12,21.42,10.9,1.1,17.0,9.0,1.12
N1,06/10/2019,For Sittard,Feyenoord,H,7.5,5.0,1.36,7.0,5.25,1.4,2019/20,€13.08m,€102.73m,7.29,5.45,1.39,8.81,6.65,1.28,10.0,5.75,1.25
N1,06/10/2019,PSV Eindhoven,VVV Venlo,H,1.1,9.0,21.0,1.11,9.5,21.0,2019/20,€219.58m,€12.03m,1.11,9.89,24.73,1.16,7.89,16.77,1.1,9.0,21.0
N1,06/10/2019,Willem II,AZ Alkmaar,D,4.2,4.0,1.72,4.4,3.8,1.78,2019/20,€21.80m,€130.05m,4.26,4.14,1.78,4.28,4.12,1.79,4.33,4.0,1.7
N1,19/10/2019,AZ Alkmaar,Heerenveen,A,1.53,4.33,5.5,1.6,4.2,5.25,2019/20,€130.05m,€26.75m,1.59,4.25,5.76,1.42,5.02,7.31,1.4,4.75,7.5
N1,19/10/2019,Waalwijk,Ajax,A,26.0,13.0,1.05,29.0,13.0,1.07,2019/20,€10.78m,€400.40m,29.56,13.69,1.07,32.95,15.38,1.06,26.0,13.0,1.05
N1,19/10/2019,Twente,Willem II,A,2.37,3.6,2.55,2.3,3.75,2.85,2019/20,€21.28m,€21.80m,2.44,3.87,2.72,2.63,3.72,2.59,2.5,3.6,2.45
N1,19/10/2019,Utrecht,PSV Eindhoven,H,3.2,4.0,2.05,3.4,3.7,2.05,2019/20,€48.58m,€219.58m,3.43,3.59,2.15,3.38,3.92,2.07,3.3,4.0,2.0
N1,19/10/2019,VVV Venlo,Vitesse,A,4.5,4.0,1.7,4.4,3.9,1.78,2019/20,€12.03m,€30.53m,4.55,3.89,1.79,4.44,3.85,1.81,4.2,4.0,1.75
N1,20/10/2019,Zwolle,Den Haag,H,1.9,3.8,3.6,1.91,3.8,3.75,2019/20,€16.50m,€19.40m,2.02,3.88,3.56,2.22,3.63,3.24,2.15,3.6,3.1
N1,20/10/2019,FC Emmen,For Sittard,H,1.75,4.2,4.0,1.75,4.25,4.1,2019/20,€13.23m,€13.08m,1.76,4.37,4.14,1.64,4.79,4.54,1.65,4.33,4.5
N1,20/10/2019,Groningen,Sparta Rotterdam,H,2.15,3.5,3.2,2.15,3.6,3.25,2019/20,€30.40m,€15.50m,2.11,3.87,3.3,2.11,3.76,3.39,2.0,3.6,3.5
N1,20/10/2019,Feyenoord,Heracles,D,1.4,5.25,6.5,1.42,5.0,7.0,2019/20,€102.73m,€22.48m,1.44,5.02,6.74,1.34,5.68,8.19,1.3,5.75,8.5
N1,25/10/2019,Twente,FC Emmen,H,1.75,4.2,4.0,1.75,4.0,4.33,2019/20,€21.28m,€13.23m,1.81,4.02,4.28,1.96,3.83,3.81,1.85,4.0,3.6
N1,26/10/2019,Willem II,Waalwijk,H,1.4,4.5,7.0,1.45,4.6,7.0,2019/20,€21.80m,€10.78m,1.49,4.4,7.15,1.54,4.37,6.25,1.53,4.2,6.0
N1,26/10/2019,For Sittard,VVV Venlo,H,2.3,3.4,2.9,2.4,3.4,2.95,2019/20,€13.08m,€12.03m,2.37,3.88,2.82,2.18,3.73,3.24,2.05,3.4,3.5
N1,26/10/2019,Vitesse,Den Haag,A,1.44,4.75,6.5,1.45,4.75,6.75,2019/20,€30.53m,€19.40m,1.45,4.69,7.28,1.42,5.01,7.17,1.4,4.75,7.0
N1,26/10/2019,Heracles,Zwolle,H,1.65,4.2,4.5,1.67,4.2,4.33,2019/20,€22.48m,€16.50m,1.71,4.16,4.68,1.76,4.01,4.57,1.75,3.75,3.8
N1,27/10/2019,Heerenveen,Groningen,D,2.0,3.4,3.75,2.05,3.5,3.6,2019/20,€26.75m,€30.40m,2.06,3.54,3.77,2.16,3.48,3.5,2.05,3.3,3.6
N1,27/10/2019,PSV Eindhoven,AZ Alkmaar,A,1.75,3.6,4.5,1.8,3.8,4.33,2019/20,€219.58m,€130.05m,1.81,3.74,4.58,2.07,3.59,3.67,2.0,3.5,3.6
N1,27/10/2019,Sparta Rotterdam,Utrecht,A,3.5,3.5,2.05,3.2,3.8,2.1,2019/20,€15.50m,€48.58m,3.28,3.99,2.09,3.32,3.97,2.08,3.6,3.5,2.0
N1,27/10/2019,Ajax,Feyenoord,H,1.22,6.25,11.0,1.28,6.25,9.25,2019/20,€400.40m,€102.73m,1.27,6.41,10.1,1.23,7.35,10.68,1.22,6.0,9.0
N1,01/11/2019,Zwolle,Ajax,A,17.0,9.0,1.12,18.5,9.5,1.12,2019/20,€16.50m,€400.40m,18.23,9.48,1.14,14.86,9.12,1.16,17.0,9.0,1.12
