Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
F1,24/09/2019,Dijon,Marseille,D,3.6,3.5,2.0,3.5,3.3,2.15,2019/20,€50.23m,€216.15m,3.75,3.49,2.1,3.4,3.33,2.3,3.25,3.4,2.2
F1,24/09/2019,Monaco,Nice,H,2.0,3.5,3.8,2.0,3.5,3.75,2019/20,€331.03m,€173.45m,2.01,3.59,3.96,1.93,3.71,4.18,1.8,3.5,4.5
F1,25/09/2019,Amiens,Bordeaux,A,2.5,3.0,3.2,2.45,3.0,3.25,2019/20,€61.93m,€125.35m,2.58,3.06,3.17,2.74,2.96,3.07,2.62,3.0,3.0
F1,25/09/2019,Brest,Lyon,D,4.75,3.8,1.72,4.75,3.75,1.75,2019/20,€47.78m,€384.55m,4.72,4.05,1.75,4.6,4.02,1.77,4.5,3.75,1.75
F1,25/09/2019,Lille,Strasbourg,H,1.83,3.4,4.75,1.8,3.5,4.75,2019/20,€247.78m,€91.13m,1.83,3.56,4.95,1.81,3.5,5.18,1.75,3.5,5.25
F1,25/09/2019,Montpellier,Nimes,H,1.9,3.4,4.33,1.9,3.6,4.1,2019/20,€81.68m,€49.65m,1.93,3.67,4.2,2.14,3.25,3.91,2.0,3.4,3.75
F1,25/09/2019,Nantes,Stade Rennais FC,H,2.3,3.1,3.4,2.3,3.1,3.4,2019/20,€106.15m,€171.88m,2.33,3.18,3.5,2.6,2.95,3.26,2.5,3.1,3.0
F1,25/09/2019,St Etienne,Metz,A,1.8,3.5,4.75,1.78,3.6,4.75,2019/20,€104.83m,€54.10m,1.81,3.7,4.83,2.01,3.42,4.2,1.9,3.3,4.2
F1,25/09/2019,Toulouse,Angers,A,2.75,3.1,2.75,2.6,3.2,2.85,2019/20,€71.88m,€89.48m,2.76,3.22,2.8,2.72,3.2,2.86,2.62,3.1,2.87
F1,25/09/2019,Paris SG,Reims,A,1.14,8.0,19.0,1.16,7.75,17.0,2019/20,€874.15m,€81.68m,1.17,8.19,17.64,1.29,5.83,11.65,1.3,5.5,9.5
F1,28/09/2019,Lyon,Nantes,A,1.55,3.8,7.0,1.53,4.1,6.75,2019/20,€384.55m,€106.15m,1.57,4.12,6.48,1.52,4.43,6.74,1.5,3.8,7.5
F1,28/09/2019,Bordeaux,Paris SG,A,6.0,4.75,1.5,6.0,4.6,1.5,2019/20,€125.35m,€874.15m,5.86,4.83,1.53,7.82,5.03,1.41,6.5,5.0,1.4
F1,28/09/2019,Angers,Amiens,D,1.75,3.4,5.5,1.75,3.5,5.25,2019/20,€89.48m,€61.93m,1.72,3.52,6.0,1.67,3.65,6.23,1.66,3.5,6.0
F1,28/09/2019,Metz,Toulouse,D,2.1,3.25,3.8,2.1,3.25,3.8,2019/20,€54.10m,€71.88m,2.13,3.32,3.87,2.14,3.36,3.79,2.1,3.25,3.8
F1,28/09/2019,Monaco,Brest,H,1.5,4.0,7.5,1.53,4.2,6.5,2019/20,€331.03m,€47.78m,1.52,4.49,6.67,1.41,5.09,7.8,1.4,4.5,9.5
F1,28/09/2019,Nice,Lille,D,2.9,3.2,2.55,2.85,3.1,2.65,2019/20,€173.45m,€247.78m,3.01,3.2,2.59,3.12,3.14,2.56,3.1,3.2,2.45
F1,28/09/2019,Reims,Dijon,A,1.72,3.4,5.75,1.75,3.4,5.5,2019/20,€81.68m,€50.23m,1.79,3.47,5.48,1.72,3.63,5.76,1.72,3.4,5.75
F1,29/09/2019,Strasbourg,Montpellier,H,2.3,3.2,3.25,2.6,3.1,2.9,2019/20,€91.13m,€81.68m,2.5,3.09,3.27,2.31,3.06,3.71,2.25,3.2,3.3
F1,29/09/2019,Nimes,St Etienne,A,2.37,3.2,3.2,2.35,3.3,3.1,2019/20,€49.65m,€104.83m,2.37,3.43,3.17,2.55,3.26,3.03,2.55,3.2,2.9
F1,29/09/2019,Marseille,Stade Rennais FC,D,1.9,3.6,4.0,1.91,3.5,4.1,2019/20,€216.15m,€171.88m,2.02,3.53,4.0,2.0,3.46,4.19,2.0,3.6,3.75
F1,04/10/2019,Amiens,Marseille,H,3.2,3.25,2.3,3.3,3.2,2.3,2019/20,€61.93m,€216.15m,3.3,3.32,2.35,3.2,3.4,2.37,3.1,3.4,2.3
F1,05/10/2019,Paris SG,Angers,H,1.2,7.5,12.0,1.19,7.25,13.5,2019/20,€874.15m,€89.48m,1.2,7.6,14.19,1.17,8.22,17.48,1.2,7.0,13.0
F1,05/10/2019,Brest,Metz,H,2.5,3.25,2.9,2.45,3.2,3.0,2019/20,€47.78m,€54.10m,2.51,3.31,3.04,2.71,3.25,2.83,2.6,3.2,2.8
F1,05/10/2019,Dijon,Strasbourg,H,2.7,3.1,2.8,2.75,2.95,2.9,2019/20,€50.23m,€91.13m,2.79,3.05,2.92,3.16,2.87,2.74,3.0,3.0,2.5
