Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HF,AF
B1,20/09/2019,Kortrijk,Mechelen,2.0,3.0,A,1.0,0.0,H,2.4,3.3,2.87,2.3,3.5,3.0,2019/20,€19.90m,€23.63m,11.0,9.0,7.0,6.0,6.0,2.0,0.0,3.0,0.0,0.0,19.0,18.0
B1,21/09/2019,Charleroi,St Truiden,0.0,3.0,A,0.0,1.0,A,1.57,4.0,5.75,1.62,4.0,5.5,2019/20,€31.65m,€26.75m,12.0,5.0,2.0,5.0,12.0,2.0,2.0,3.0,0.0,0.0,13.0,13.0
B1,21/09/2019,Antwerp,Cercle Brugge,3.0,1.0,H,1.0,1.0,D,1.36,4.75,8.0,1.4,5.1,7.0,2019/20,€49.98m,€31.93m,13.0,5.0,8.0,1.0,5.0,2.0,1.0,2.0,0.0,0.0,14.0,13.0
B1,21/09/2019,Waasland-Beveren,Mouscron,1.0,1.0,D,0.0,1.0,A,3.4,3.5,2.05,3.5,3.5,2.1,2019/20,€14.93m,€26.15m,7.0,6.0,2.0,4.0,2.0,4.0,1.0,2.0,0.0,0.0,11.0,11.0
B1,21/09/2019,Genk,Oostende,3.0,1.0,H,2.0,1.0,H,1.33,4.75,10.0,1.35,5.25,8.25,2019/20,€113.53m,€23.85m,14.0,14.0,3.0,5.0,8.0,4.0,2.0,2.0,0.0,0.0,11.0,11.0
B1,22/09/2019,Standard,Eupen,3.0,0.0,H,2.0,0.0,H,1.28,5.75,9.0,1.26,6.25,10.5,2019/20,€76.68m,€26.05m,15.0,4.0,8.0,1.0,6.0,3.0,0.0,2.0,0.0,1.0,9.0,14.0
B1,22/09/2019,Club Brugge,Anderlecht,2.0,1.0,H,1.0,1.0,D,1.5,4.33,6.0,1.55,4.4,5.5,2019/20,€160.73m,€137.28m,17.0,5.0,8.0,4.0,8.0,3.0,1.0,2.0,0.0,0.0,11.0,14.0
B1,22/09/2019,Waregem,Gent,2.0,2.0,D,1.0,1.0,D,3.4,3.75,2.0,3.5,3.9,1.95,2019/20,€30.08m,€95.10m,6.0,13.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,11.0,17.0
B1,28/09/2019,Mechelen,Club Brugge,0.0,5.0,A,0.0,1.0,A,6.0,4.33,1.5,6.0,4.2,1.55,2019/20,€23.63m,€160.73m,2.0,22.0,0.0,12.0,1.0,12.0,2.0,1.0,1.0,0.0,6.0,19.0
B1,28/09/2019,Cercle Brugge,Eupen,1.0,2.0,A,1.0,0.0,H,2.0,3.6,3.25,2.1,3.7,3.3,2019/20,€31.93m,€26.05m,7.0,7.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,0.0,22.0,19.0
B1,28/09/2019,Gent,Kortrijk,2.0,0.0,H,0.0,0.0,D,1.3,5.5,9.0,1.3,5.75,9.25,2019/20,€95.10m,€19.90m,13.0,3.0,8.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,9.0,14.0
B1,28/09/2019,Mouscron,Waregem,2.0,2.0,D,1.0,0.0,H,2.15,3.5,2.9,2.35,3.4,3.0,2019/20,€26.15m,€30.08m,9.0,13.0,4.0,7.0,4.0,6.0,3.0,1.0,0.0,0.0,23.0,13.0
B1,28/09/2019,St Truiden,Genk,3.0,3.0,D,0.0,1.0,A,4.75,3.8,1.7,4.5,3.8,1.78,2019/20,€26.75m,€113.53m,8.0,8.0,4.0,4.0,10.0,13.0,6.0,1.0,0.0,0.0,19.0,10.0
B1,29/09/2019,Anderlecht,Waasland-Beveren,0.0,0.0,D,0.0,0.0,D,1.36,4.75,6.5,1.4,5.0,7.25,2019/20,€137.28m,€14.93m,12.0,4.0,5.0,2.0,7.0,1.0,2.0,3.0,0.0,0.0,14.0,17.0
B1,29/09/2019,Standard,Charleroi,1.0,1.0,D,0.0,1.0,A,1.57,4.0,4.75,1.65,4.1,5.0,2019/20,€76.68m,€31.65m,9.0,10.0,3.0,5.0,9.0,2.0,2.0,4.0,0.0,1.0,13.0,21.0
B1,29/09/2019,Oostende,Antwerp,1.0,1.0,D,0.0,1.0,A,3.8,3.8,1.75,3.8,3.8,1.9,2019/20,€23.85m,€49.98m,12.0,7.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,14.0,12.0
B1,04/10/2019,Charleroi,Anderlecht,1.0,2.0,A,1.0,1.0,D,2.37,3.3,2.87,2.5,3.4,2.9,2019/20,€31.65m,€137.28m,11.0,11.0,3.0,6.0,4.0,4.0,2.0,5.0,0.0,0.0,23.0,17.0
B1,05/10/2019,Eupen,Mechelen,0.0,2.0,A,0.0,1.0,A,2.7,3.4,2.5,2.65,3.5,2.6,2019/20,€26.05m,€23.63m,13.0,10.0,5.0,4.0,10.0,6.0,1.0,5.0,0.0,1.0,10.0,11.0
B1,05/10/2019,Waasland-Beveren,Oostende,3.0,1.0,H,2.0,1.0,H,2.5,3.3,2.75,2.5,3.6,2.7,2019/20,€14.93m,€23.85m,14.0,7.0,8.0,5.0,8.0,1.0,1.0,3.0,0.0,0.0,16.0,16.0
