Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
SC0,22/01/2005,Dunfermline,Dundee United,D,2.1,3.2,3.2,1.9,3.1,3.8,2004/5,€6.03m,€8.13m
SC0,22/01/2005,Hibernian,Kilmarnock,H,1.66,3.5,4.5,1.65,3.5,4.5,2004/5,€13.25m,€3.78m
SC0,22/01/2005,Livingston,Inverness C,A,2.1,3.4,3.0,2.2,3.2,2.9,2004/5,€9.75m,€2.38m
SC0,23/01/2005,Aberdeen,Rangers,A,7.0,4.0,1.4,7.0,3.9,1.4,2004/5,€6.88m,€80.78m
SC0,25/01/2005,Livingston,Hearts,A,3.2,3.2,2.1,3.2,3.2,2.05,2004/5,€9.75m,€11.08m
SC0,29/01/2005,Dundee United,Dundee,D,2.2,3.2,3.0,2.5,3.2,2.5,2004/5,€8.13m,€9.05m
SC0,29/01/2005,Hearts,Aberdeen,H,1.9,3.25,3.6,2.1,3.1,3.2,2004/5,€11.08m,€6.88m
SC0,29/01/2005,Inverness C,Dunfermline,H,2.0,3.25,3.39,2.1,3.15,3.15,2004/5,€2.38m,€6.03m
SC0,29/01/2005,Rangers,Livingston,H,1.1,7.5,15.0,1.12,7.0,13.5,2004/5,€80.78m,€9.75m
SC0,30/01/2005,Kilmarnock,Celtic,A,10.0,5.0,1.28,9.0,4.5,1.28,2004/5,€3.78m,€77.55m
SC0,12/02/2005,Dundee,Motherwell,H,2.3,3.25,2.75,2.35,3.15,2.7,2004/5,€9.05m,€4.83m
SC0,12/02/2005,Dunfermline,Aberdeen,H,2.4,3.25,2.62,2.6,3.15,2.45,2004/5,€6.03m,€6.88m
SC0,12/02/2005,Hearts,Kilmarnock,H,1.66,3.5,4.5,1.7,3.3,4.5,2004/5,€11.08m,€3.78m
SC0,12/02/2005,Livingston,Dundee United,A,2.37,3.2,2.7,2.3,3.15,2.8,2004/5,€9.75m,€8.13m
SC0,12/02/2005,Rangers,Hibernian,H,1.25,5.0,9.5,1.18,5.25,13.0,2004/5,€80.78m,€13.25m
SC0,15/02/2005,Motherwell,Hibernian,D,2.7,3.2,2.3,2.6,3.2,2.4,2004/5,€4.83m,€13.25m
SC0,19/02/2005,Aberdeen,Livingston,H,1.57,3.5,5.5,1.5,3.6,6.0,2004/5,€6.88m,€9.75m
SC0,19/02/2005,Dundee United,Inverness C,D,2.2,3.2,3.0,2.15,3.2,3.0,2004/5,€8.13m,€2.38m
SC0,19/02/2005,Hibernian,Dundee,H,1.61,3.5,5.0,1.4,3.9,7.0,2004/5,€13.25m,€9.05m
SC0,19/02/2005,Kilmarnock,Dunfermline,H,1.83,3.4,3.75,1.9,3.35,3.5,2004/5,€3.78m,€6.03m
