Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
T1,29/11/2009,Trabzonspor,Eskisehirspor,H,1.73,3.4,4.5,1.65,3.5,4.75,2009/10,€66.95m,€24.70m
T1,04/12/2009,Besiktas,Diyarbakirspor,D,1.22,5.75,14.0,1.2,6.0,10.0,2009/10,€93.60m,€17.75m
T1,05/12/2009,Eskisehirspor,Fenerbahce,H,3.5,3.2,2.0,3.55,3.25,1.95,2009/10,€24.70m,€119.45m
T1,05/12/2009,Kasimpasa,Sivasspor,D,2.0,3.2,3.5,1.9,3.25,3.75,2009/10,€20.20m,€33.65m
T1,06/12/2009,Galatasaray,Buyuksehyr,D,1.3,4.5,9.0,1.3,4.5,9.0,2009/10,€129.23m,€24.00m
T1,06/12/2009,Gaziantepspor,Antalyaspor,D,1.91,3.25,3.75,1.9,3.25,3.75,2009/10,€32.45m,€23.95m
T1,06/12/2009,Genclerbirligi,Denizlispor,H,1.5,3.75,6.0,1.5,3.75,6.0,2009/10,€29.00m,€18.35m
T1,06/12/2009,Kayserispor,Bursaspor,H,2.3,3.25,2.8,2.3,3.2,2.8,2009/10,€38.50m,€51.75m
T1,06/12/2009,Trabzonspor,Ankaragucu,H,1.62,3.5,5.0,1.6,3.5,5.25,2009/10,€66.95m,€44.70m
T1,11/12/2009,Antalyaspor,Galatasaray,A,4.75,3.6,1.73,4.35,3.5,1.7,2009/10,€23.95m,€129.23m
T1,12/12/2009,Fenerbahce,Ankaragucu,H,1.36,4.5,9.0,1.3,4.75,8.0,2009/10,€119.45m,€44.70m
T1,13/12/2009,Buyuksehyr,Kayserispor,A,3.25,3.25,2.25,3.0,3.2,2.2,2009/10,€24.00m,€38.50m
T1,13/12/2009,Denizlispor,Trabzonspor,A,4.33,3.5,1.83,3.85,3.3,1.85,2009/10,€18.35m,€66.95m
T1,13/12/2009,Diyarbakirspor,Kasimpasa,D,2.2,3.3,3.25,2.1,3.2,3.2,2009/10,€17.75m,€20.20m
T1,13/12/2009,Genclerbirligi,Gaziantepspor,D,2.0,3.4,3.75,1.9,3.2,3.8,2009/10,€29.00m,€32.45m
T1,13/12/2009,Manisaspor,Besiktas,D,4.33,3.5,1.83,3.8,3.35,1.85,2009/10,€19.88m,€93.60m
T1,13/12/2009,Sivasspor,Eskisehirspor,H,2.4,3.2,3.0,2.3,3.15,2.85,2009/10,€33.65m,€24.70m
T1,18/12/2009,Besiktas,Bursaspor,A,1.62,3.75,5.75,1.5,3.75,6.0,2009/10,€93.60m,€51.75m
T1,19/12/2009,Ankaragucu,Sivasspor,A,2.2,3.2,3.4,2.2,3.2,3.0,2009/10,€44.70m,€33.65m
T1,19/12/2009,Eskisehirspor,Diyarbakirspor,D,1.73,3.5,5.0,1.65,3.4,4.95,2009/10,€24.70m,€17.75m
T1,19/12/2009,Galatasaray,Genclerbirligi,H,1.36,4.5,9.0,1.35,4.35,7.5,2009/10,€129.23m,€29.00m
T1,19/12/2009,Gaziantepspor,Denizlispor,H,1.62,3.75,5.75,1.55,3.6,5.55,2009/10,€32.45m,€18.35m
T1,19/12/2009,Kasimpasa,Manisaspor,H,2.15,3.25,3.4,2.25,3.2,2.9,2009/10,€20.20m,€19.88m
T1,19/12/2009,Kayserispor,Antalyaspor,A,1.57,3.75,6.0,1.6,3.45,5.35,2009/10,€38.50m,€23.95m
T1,20/12/2009,Trabzonspor,Fenerbahce,A,2.7,3.2,2.6,2.8,3.25,2.3,2009/10,€66.95m,€119.45m
T1,22/01/2010,Fenerbahce,Denizlispor,H,1.22,5.75,11.0,1.15,6.5,13.0,2009/10,€119.45m,€18.35m
T1,23/01/2010,Eskisehirspor,Manisaspor,H,1.83,3.3,4.0,1.8,3.3,4.1,2009/10,€24.70m,€19.88m
T1,24/01/2010,Ankaragucu,Diyarbakirspor,D,1.8,3.4,4.0,1.85,3.3,3.85,2009/10,€44.70m,€17.75m
T1,24/01/2010,Galatasaray,Gaziantepspor,H,1.25,5.0,10.0,1.28,4.75,8.75,2009/10,€129.23m,€32.45m
T1,24/01/2010,Kayserispor,Genclerbirligi,D,1.75,3.4,4.33,1.75,3.45,4.11,2009/10,€38.50m,€29.00m
T1,24/01/2010,Trabzonspor,Sivasspor,H,1.5,3.75,6.0,1.5,3.75,5.75,2009/10,€66.95m,€33.65m
T1,29/01/2010,Antalyaspor,Besiktas,A,4.0,3.4,1.91,3.5,3.3,1.95,2009/10,€23.95m,€93.60m
T1,30/01/2010,Buyuksehyr,Kasimpasa,H,2.25,3.25,3.25,2.1,3.2,3.15,2009/10,€24.00m,€20.20m
T1,30/01/2010,Diyarbakirspor,Trabzonspor,A,3.75,3.4,2.0,3.45,3.2,2.0,2009/10,€17.75m,€66.95m
T1,31/01/2010,Bursaspor,Eskisehirspor,H,1.67,3.6,5.25,1.7,3.35,4.6,2009/10,€51.75m,€24.70m
T1,31/01/2010,Denizlispor,Galatasaray,A,6.0,3.75,1.57,6.5,3.75,1.45,2009/10,€18.35m,€129.23m
T1,31/01/2010,Gaziantepspor,Kayserispor,A,2.7,3.1,2.7,2.6,3.2,2.45,2009/10,€32.45m,€38.50m
T1,31/01/2010,Manisaspor,Ankaragucu,D,2.2,3.2,3.4,2.1,3.2,3.15,2009/10,€19.88m,€44.70m
T1,31/01/2010,Sivasspor,Fenerbahce,A,4.0,3.4,1.91,3.8,3.3,1.85,2009/10,€33.65m,€119.45m
T1,05/02/2010,Besiktas,Genclerbirligi,H,1.53,3.7,7.0,1.45,3.75,6.5,2009/10,€93.60m,€29.00m
