Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,28/10/2017,Boavista,Porto,0.0,3.0,A,0.0,0.0,D,9.0,4.5,1.36,8.0,4.75,1.36,2017/18,€16.43m,€276.50m,6.0,12.0,1.0,6.0,18.0,19.0,7.0,5.0,6.0,5.0,0.0,0.0
P1,28/10/2017,Maritimo,Tondela,2.0,0.0,H,1.0,0.0,H,1.95,3.2,4.2,1.95,3.25,4.0,2017/18,€28.55m,€17.48m,7.0,9.0,4.0,3.0,18.0,21.0,3.0,2.0,4.0,3.0,0.0,0.0
P1,29/10/2017,AVS,Guimaraes,1.0,3.0,A,1.0,2.0,A,2.45,3.0,3.1,2.4,3.1,3.0,2017/18,€12.15m,€50.33m,12.0,9.0,4.0,5.0,18.0,12.0,6.0,1.0,1.0,2.0,0.0,0.0
P1,29/10/2017,Pacos Ferreira,Estoril,1.0,0.0,H,1.0,0.0,H,2.04,3.1,4.0,2.0,3.3,3.7,2017/18,€15.73m,€26.20m,5.0,6.0,1.0,1.0,25.0,13.0,6.0,7.0,5.0,1.0,1.0,0.0
P1,29/10/2017,Sp Braga,Chaves,1.0,0.0,H,0.0,0.0,D,1.53,4.0,6.0,1.5,4.2,6.0,2017/18,€94.80m,€23.75m,8.0,6.0,5.0,2.0,20.0,12.0,12.0,5.0,3.0,1.0,0.0,0.0
P1,30/10/2017,Portimonense,Setubal,5.0,2.0,H,3.0,1.0,H,2.14,3.1,3.6,2.1,3.25,3.5,2017/18,€35.78m,€23.95m,13.0,7.0,11.0,4.0,23.0,9.0,4.0,2.0,3.0,3.0,0.0,1.0
P1,03/11/2017,Setubal,AVS,0.0,1.0,A,0.0,0.0,D,2.1,3.2,3.6,2.1,3.1,3.7,2017/18,€23.95m,€12.15m,7.0,6.0,4.0,5.0,12.0,23.0,2.0,7.0,3.0,4.0,1.0,0.0
P1,04/11/2017,Estoril,Rio Ave,0.0,2.0,A,0.0,1.0,A,3.6,3.1,2.14,3.4,3.1,2.2,2017/18,€26.20m,€32.95m,8.0,12.0,3.0,8.0,22.0,22.0,2.0,5.0,3.0,2.0,0.0,0.0
P1,04/11/2017,Moreirense,Portimonense,1.0,1.0,D,1.0,1.0,D,2.39,3.1,3.1,2.4,3.25,2.9,2017/18,€17.80m,€35.78m,7.0,12.0,5.0,4.0,18.0,9.0,3.0,4.0,2.0,1.0,0.0,0.0
P1,04/11/2017,Porto,Belenenses,2.0,0.0,H,1.0,0.0,H,1.1,9.0,21.0,1.11,8.25,20.0,2017/18,€276.50m,€19.88m,17.0,6.0,9.0,3.0,12.0,10.0,8.0,3.0,0.0,1.0,0.0,0.0
P1,04/11/2017,Tondela,Boavista,3.0,2.0,H,0.0,0.0,D,2.37,3.0,3.25,2.35,3.0,3.25,2017/18,€17.48m,€16.43m,15.0,11.0,6.0,4.0,14.0,18.0,3.0,9.0,1.0,2.0,0.0,0.0
P1,05/11/2017,Chaves,Pacos Ferreira,4.0,2.0,H,1.0,1.0,D,2.04,3.1,4.0,2.05,3.25,3.6,2017/18,€23.75m,€15.73m,12.0,12.0,7.0,6.0,10.0,19.0,7.0,4.0,3.0,2.0,0.0,0.0
P1,05/11/2017,Feirense,Maritimo,0.0,1.0,A,0.0,1.0,A,2.39,3.0,3.2,2.35,2.95,3.25,2017/18,€12.85m,€28.55m,8.0,6.0,1.0,4.0,15.0,17.0,9.0,4.0,3.0,6.0,0.0,1.0
P1,05/11/2017,Guimaraes,Benfica,1.0,3.0,A,0.0,1.0,A,6.5,3.6,1.57,5.5,4.0,1.57,2017/18,€50.33m,€229.08m,6.0,9.0,1.0,5.0,19.0,22.0,7.0,5.0,0.0,4.0,0.0,0.0
P1,05/11/2017,Sp Lisbon,Sp Braga,2.0,2.0,D,0.0,0.0,D,1.44,4.2,7.5,1.48,4.2,6.5,2017/18,€259.08m,€94.80m,11.0,8.0,6.0,4.0,15.0,22.0,5.0,9.0,1.0,3.0,0.0,0.0
P1,24/11/2017,Belenenses,Chaves,0.0,1.0,A,0.0,1.0,A,2.25,3.1,3.39,2.2,3.1,3.4,2017/18,€19.88m,€23.75m,8.0,8.0,4.0,1.0,17.0,27.0,10.0,4.0,4.0,2.0,1.0,0.0
P1,25/11/2017,AVS,Porto,1.0,1.0,D,0.0,1.0,A,11.0,5.0,1.3,10.5,5.25,1.28,2017/18,€12.15m,€276.50m,11.0,8.0,3.0,1.0,17.0,15.0,2.0,4.0,4.0,3.0,0.0,1.0
P1,25/11/2017,Boavista,Moreirense,1.0,0.0,H,1.0,0.0,H,2.04,3.25,3.75,2.0,3.1,4.0,2017/18,€16.43m,€17.80m,10.0,6.0,3.0,1.0,14.0,21.0,3.0,6.0,2.0,3.0,0.0,0.0
P1,25/11/2017,Portimonense,Tondela,2.0,0.0,H,1.0,0.0,H,1.9,3.5,3.89,1.9,3.4,4.0,2017/18,€35.78m,€17.48m,13.0,8.0,7.0,3.0,16.0,22.0,5.0,5.0,1.0,0.0,0.0,0.0
